Gene	Start	Stop	Strand	Leaderless?
Rv0107c	130541	125643	-	N
Rv0108c	131128	130895	-	Y
Rv0109	131382	132872	+	N
Rv0110	132915	133769	+	Y
Rv0111	133950	136007	+	N
Rv0112	136289	137245	+	N
Rv0113	137319	137909	+	N
Rv0114	137941	138513	+	N
Rv0115	138513	139673	+	N
Rv0116c	141022	140267	-	N
Rv0117	141200	142144	+	N
Rv0118c	143876	142128	-	Y
Rv0119	144049	145626	+	N
Rv0120c	147771	145627	-	N
Rv0121c	148342	147908	-	N
Rv0122	148635	148859	+	Y
Rv0123	148856	149224	+	N
Rv0124	149533	150996	+	N
Rv0125	151148	152215	+	N
Rv0126	152324	154129	+	N
Rv0127	154232	155599	+	N
Rv0128	155667	156446	+	Y
Rv0129c	157600	156578	-	N
Rv0130	157847	158302	+	N
Rv0131c	159658	158315	-	N
Rv0132c	160782	159700	-	N
Rv0133	160869	161474	+	Y
Rv0134	161771	162673	+	N
Rv0135c	163249	162644	-	N
Rv0136	163366	164691	+	N
Rv0137c	165260	164712	-	N
Rv0138	165323	165826	+	N
Rv0139	165827	166849	+	N
Rv0140	166910	167290	+	Y
Rv0141c	167684	167271	-	Y
Rv0142	167711	168637	+	N
Rv0143c	170128	168704	-	Y
Rv0144	170485	171126	+	Y
Rv0145	171215	172168	+	N
Rv0146	172211	173143	+	N
Rv0147	173238	174758	+	N
Rv0148	174833	175693	+	N
Rv0149	175700	176668	+	N
Rv0150c	176952	176665	-	N
Rv0151c	179309	177543	-	N
Rv0152c	180896	179319	-	N
Rv0153c	181985	181155	-	N
Rv0154c	183210	181987	-	Y
Rv0155	183622	184722	+	N
Rv0156	184723	185055	+	N
Rv0157	185052	186479	+	N
Rv0157A	186623	186495	-	N
Rv0158	186785	187429	+	N
Rv0159c	188839	187433	-	N
Rv0160c	190439	188931	-	N
Rv0161	190607	191956	+	Y
Rv0163	193117	193572	+	Y
Rv0162c	193135	191984	-	N
Rv0164	193671	194111	+	Y
Rv0165c	194938	194144	-	N
Rv0166	194993	196657	+	N
Rv0167	196861	197658	+	N
Rv0168	197660	198529	+	N
Rv0169	198534	199898	+	N
Rv0170	199895	200935	+	N
Rv0171	200932	202479	+	N
Rv0172	202476	204068	+	N
Rv0173	204065	205237	+	N
Rv0174	205231	206778	+	N
Rv0175	206814	207455	+	N
Rv0176	208328	208420	+	Y
Rv0177	208417	208971	+	N
Rv0178	208938	209672	+	N
Rv0179c	210812	209703	-	N
Rv0180c	212250	210892	-	N
Rv0181c	213011	212277	-	N
Rv0182c	214026	213028	-	Y
Rv0183	214088	214927	+	Y (1 nt leader)
Rv0184	214969	215718	+	Y
Rv0185	215715	216224	+	N
Rv0186	218015	218344	+	Y
Rv0187	218711	219367	+	Y
Rv0188	219486	219917	+	N
Rv0189c	221723	219996	-	Y
Rv0190	221871	222161	+	N
Rv0191	222289	223530	+	N
Rv0192	223564	224664	+	N
Rv0192A	223607	223909	+	N
Rv0193c	226571	224724	-	N
Rv0194	226878	230462	+	N
Rv0195	230899	231534	+	N
Rv0196	231647	232231	+	N
Rv0197	232231	234519	+	N
Rv0198c	236507	234516	-	Y
Rv0199	236550	237209	+	Y
Rv0200	237206	237895	+	N
Rv0201c	238395	237892	-	N
Rv0202c	241292	238392	-	N
Rv0203	241514	241924	+	N
Rv0204c	243214	241976	-	Y
Rv0205	243384	244487	+	Y
Rv0206c	247318	244484	-	N
Rv0207c	248112	247384	-	N
Rv0208c	248906	248115	-	N
Rv0209	249038	250123	+	N
Rv0210	250120	251598	+	N
Rv0211	251782	253602	+	N
Rv0212c	254640	253669	-	N
Rv0213c	256070	254637	-	Y
Rv0214	256160	257677	+	Y
Rv0215c	258856	257783	-	N
Rv0216	258913	259926	+	Y
Rv0217c	260831	259923	-	Y
Rv0218	260924	262252	+	N
Rv0219	262254	262802	+	N
Rv0220	262812	264023	+	Y
Rv0221	264067	265476	+	N
Rv0222	265507	266295	+	N
Rv0223c	267764	266301	-	N
Rv0224c	268627	267863	-	Y
Rv0225	268663	269817	+	Y (1 nt leader)
Rv0226c	271564	269834	-	N
Rv0227c	272839	271574	-	N
Rv0228	273121	274278	+	Y
Rv0229c	274986	274306	-	N
Rv0230c	275963	274983	-	Y
Rv0231	276058	277764	+	N
Rv0232	277899	278588	+	N
Rv0233	278585	279529	+	N
Rv0234c	281140	279605	-	N
Rv0235c	282614	281166	-	N
Rv0236c	286851	282649	-	N
Rv0236A	287071	286898	-	N
Rv0237	287186	288352	+	Y
Rv0238	288428	289042	+	N
Rv0239	289104	289337	+	Y
Rv0240	289345	289782	+	N
Rv0241c	290654	289812	-	N
Rv0242c	292029	290665	-	N
Rv0243	292171	293493	+	N
Rv0244c	295633	293798	-	N
Rv0245	296005	296493	+	N
Rv0246	296809	298119	+	N
Rv0247c	298862	298116	-	N
Rv0248c	300803	298863	-	N
Rv0249c	301655	300834	-	N
Rv0250c	302028	301735	-	N
Rv0251c	302652	302173	-	N
Rv0252	302866	305427	+	N
Rv0253	305453	305809	+	N
Rv0254c	306349	305825	-	N
Rv0255c	307858	306374	-	N
Rv0256c	309547	307877	-	N
Rv0257	309855	310073	+	Y
Rv0258c	310749	310294	-	Y
Rv0259c	311517	310774	-	N
Rv0260c	312659	311514	-	N
Rv0261c	314168	312759	-	N
Rv0262c	314854	314309	-	Y
Rv0263c	315766	314864	-	N
Rv0264c	316436	315783	-	Y
Rv0265c	317503	316511	-	Y
Rv0266c	321154	317525	-	N
Rv0267	321331	322722	+	N
Rv0268c	323273	322764	-	N
Rv0269c	324522	323338	-	Y
Rv0270	324567	326249	+	Y
Rv0271c	328461	326266	-	N
Rv0272c	329708	328575	-	N
Rv0273c	330325	329705	-	N
Rv0274	330422	331003	+	N
Rv0275c	331658	330933	-	N
Rv0276	331748	332668	+	N
Rv0277c	333136	332708	-	N
Rv0278c	336310	333437	-	N
Rv0279c	339073	336560	-	N
Rv0280	339364	340974	+	N
Rv0281	340998	341906	+	Y
Rv0282	342130	344025	+	N
Rv0283	344022	345638	+	N
Rv0284	345635	349627	+	N
Rv0285	349624	349932	+	N
Rv0286	349935	351476	+	N
Rv0287	351525	351818	+	N
Rv0288	351848	352138	+	N
Rv0289	352149	353036	+	N
Rv0290	353083	354501	+	N
Rv0291	354498	355883	+	N
Rv0292	355880	356875	+	N
Rv0293c	358064	356862	-	N
Rv0294	358171	358956	+	N
Rv0295c	359748	358945	-	Y
Rv0296c	361155	359758	-	N
Rv0297	361334	363109	+	N
Rv0298	363252	363479	+	Y
Rv0299	363476	363778	+	N
Rv0300	363826	364047	+	N
Rv0301	364044	364469	+	N
Rv0302	364605	365237	+	N
Rv0303	365234	366142	+	N
Rv0304c	372764	366150	-	N
Rv0305c	375711	372820	-	N
Rv0306	375914	376585	+	N
Rv0307c	377055	376573	-	Y
Rv0308	377113	377829	+	Y
Rv0309	377931	378587	+	N
Rv0310c	379130	378657	-	Y
Rv0311	379172	380401	+	Y
Rv0312	380556	382418	+	N
Rv0313	382490	382876	+	N
Rv0314c	383514	382879	-	Y
Rv0315	383608	384486	+	Y
Rv0316	384535	385149	+	N
Rv0317c	385967	385173	-	Y
Rvnt04	386274	386204	-	N
Rv0318c	387099	386305	-	N
Rv0319	387148	387816	+	N
Rv0320	387888	388550	+	N
Rv0321	388582	389154	+	Y
Rv0322	389260	390591	+	N
Rv0323c	391251	390580	-	N
Rv0324	391352	392032	+	N
Rv0325	392039	392263	+	N
Rv0326	392273	392728	+	N
Rv0327c	394045	392696	-	N
Rv0328	394111	394713	+	N
Rv0329c	395320	394694	-	N
Rv0330c	396087	395347	-	N
Rv0331	396201	397367	+	N
Rv0332	397472	398227	+	Y
Rv0333	398254	398628	+	Y
Rv0334	398658	399524	+	N
Rv0335c	400050	399535	-	N
Rv0336	400192	401703	+	N
Rv0337c	403162	401873	-	N
Rv0338c	405841	403193	-	N
Rv0339c	408448	405950	-	N
Rv0340	408634	409173	+	N
Rv0341	409362	410801	+	N
Rv0342	410838	412760	+	N
Rv0343	412757	414238	+	N
Rv0344c	414941	414381	-	N
Rv0345	415044	415460	+	Y
Rv0346c	416965	415502	-	N
Rv0347	417487	418290	+	Y
Rv0348	418293	418946	+	N
Rv0349	418949	419608	+	N
Rv0350	419835	421712	+	N
Rv0351	421709	422416	+	N
Rv0352	422452	423639	+	N
Rv0353	423639	424019	+	N
Rv0354c	424694	424269	-	N
Rv0355c	434679	424777	-	N
Rv0356c	435474	434830	-	N
Rv0357c	436769	435471	-	N
Rv0358	436860	437507	+	N
Rv0359	437518	438297	+	Y
Rv0360c	438715	438302	-	Y
Rv0361	438822	439649	+	N
Rv0362	439871	441253	+	N
Rv0363c	442299	441265	-	N
Rv0364	442395	443078	+	Y
Rv0365c	444197	443067	-	N
Rv0366c	444815	444222	-	N
Rv0367c	445233	444844	-	N
Rv0368c	446525	445314	-	N
Rv0369c	447046	446531	-	N
Rv0370c	448043	447147	-	N
Rv0371c	448633	448040	-	N
Rv0372c	449385	448630	-	N
Rv0373c	451803	449404	-	N
Rv0374c	452279	451800	-	N
Rv0375c	453154	452294	-	N
Rv0376c	454372	453230	-	N
Rv0377	454421	455386	+	Y
Rv0378	455637	455858	+	N
Rv0379	455977	456192	+	Y
Rv0380c	456819	456268	-	N
Rv0381c	457823	456915	-	N
Rv0382c	458380	457841	-	N
Rv0383c	459315	458461	-	Y (1 nt leader)
Rv0384c	462002	459456	-	N
Rv0385	462135	463307	+	N
Rv0386	463411	466668	+	N
Rv0387c	467406	466672	-	N
Rv0388c	468001	467459	-	N
Rv0389	468335	469594	+	N
Rv0390	469591	470013	+	Y
Rv0391	470010	471230	+	N
Rv0392c	472639	471227	-	N
Rv0393	472781	474106	+	N
Rv0394c	474841	474122	-	Y
Rv0395	474940	475344	+	N
Rv0396	475350	475742	+	N
Rv0397	475816	476184	+	N
Rv0398c	477320	476679	-	N
Rv0399c	478556	477327	-	N
Rv0400c	479753	478566	-	Y
Rv0401	479789	480160	+	Y
Rv0402c	483231	480355	-	N
Rv0403c	483656	483228	-	N
Rv0404	483977	485734	+	N
Rv0405	485731	489939	+	N
Rv0406c	490645	489887	-	Y
Rv0407	490783	491793	+	Y
Rv0408	491786	493858	+	N
Rv0409	493851	495008	+	N
Rv0410c	497314	495062	-	N
Rv0411c	498300	497314	-	N
Rv0412c	498872	498300	-	Y
Rv0413	499746	500366	+	Y
Rv0414c	501018	500350	-	N
Rv0415	501148	502170	+	N
Rv0416	502167	502373	+	N
Rv0417	502366	503124	+	N
Rv0418	503496	504998	+	Y (1 nt leader)
Rv0419	505086	506582	+	N
Rv0420c	506971	506561	-	N
Rv0421c	507761	507132	-	N
Rv0422c	508555	507758	-	N
Rv0423c	510225	508582	-	N
Rv0424c	510652	510377	-	N
Rv0425c	515321	510702	-	N
Rv0426c	515816	515373	-	N
Rv0427c	516892	516017	-	Y
Rv0428c	517803	516895	-	N
Rv0429c	518396	517803	-	Y
Rv0430	518733	519041	+	N
Rv0431	519073	519567	+	N
Rv0432	519600	520322	+	Y
Rv0433	520324	521454	+	N
Rv0434	521514	522167	+	N
Rv0435c	524533	522347	-	N
Rv0436c	525390	524530	-	N
Rv0437c	526082	525387	-	Y
Rv0438c	527360	526143	-	Y
Rv0439c	528314	527379	-	Y
Rv0440	528608	530230	+	N
Rv0441c	530724	530296	-	N
Rv0442c	532214	530751	-	N
Rv0443	532396	532911	+	Y
Rv0444c	533789	533091	-	N
Rv0445c	534396	533833	-	Y (1 nt leader)
Rv0446c	535215	534445	-	N
Rv0447c	536507	535224	-	N
Rv0448c	537169	536504	-	N
Rv0449c	538548	537229	-	N
Rv0450c	541491	538588	-	N
Rv0451c	541910	541488	-	N
Rv0452	542160	542852	+	Y
Rv0453	543174	544730	+	N
Rv0454	544835	545185	+	N
Rv0455c	545821	545375	-	Y
Rv0456c	546803	545889	-	N
Rv0456A	547357	547076	-	N
Rv0457c	549607	547586	-	Y
Rv0458	549675	551198	+	N
Rv0459	551198	551689	+	N
Rv0460	551710	551988	+	Y
Rv0461	552026	552550	+	N
Rv0462	552614	554008	+	Y
Rv0463	554016	554309	+	N
Rv0464c	554885	554313	-	N
Rv0465c	556306	554882	-	Y
Rv0466	556458	557252	+	N
Rv0467	557527	558813	+	N
Rv0468	558895	559755	+	N
Rv0469	559888	560748	+	N
Rv0470c	561711	560848	-	N
Rv0470A	562294	561854	-	N
Rv0471c	562713	562225	-	Y
Rv0472c	563427	562723	-	N
Rv0473	563567	564934	+	Y
Rv0474	565021	565443	+	N
Rv0475	565797	566396	+	N
Rv0476	566484	566771	+	Y
Rv0477	566776	567222	+	N
Rv0478	567222	567896	+	N
Rv0479c	568967	567921	-	Y
Rv0480c	569806	568964	-	Y
Rv0481c	570512	569988	-	Y
Rv0482	570539	571648	+	N
Rv0483	571752	573065	+	Y
Rv0484c	573801	573046	-	Y (1 nt leader)
Rv0485	573984	575300	+	N
Rv0486	575357	576790	+	Y
Rv0487	576787	577338	+	N
Rv0488	577664	578269	+	N
Rv0489	578426	579175	+	Y
Rv0490	579349	580581	+	Y
Rv0491	580809	581492	+	N
Rv0492c	583378	581489	-	N
Rv0492A	583704	583375	-	N
Rv0493c	584690	583701	-	N
Rv0494	584695	585423	+	N
Rv0495c	586218	585424	-	Y
Rv0496	586346	587380	+	Y
Rv0497	587377	588309	+	N
Rv0498	588325	589167	+	N
Rv0499	589183	590058	+	N
Rv0500	590095	590970	+	Y
Rv0500A	591111	591347	+	N
Rv0500B	591475	591576	+	N
Rv0501	591654	592784	+	N
Rv0502	592791	593867	+	N
Rv0503c	594779	593871	-	Y
Rv0504c	595302	594802	-	N
Rv0505c	596585	595464	-	N
Rv0506	596759	597202	+	N
Rv0507	597199	600105	+	N
Rv0508	600098	600391	+	N
Rv0509	600441	601847	+	N
Rv0510	601857	602786	+	N
Rv0511	602819	604516	+	N
Rv0512	604602	605591	+	N
Rv0513	605604	606152	+	N
Rv0514	606149	606448	+	N
Rv0515	606551	608062	+	N
Rv0516c	608535	608059	-	N
Rv0517	608746	610056	+	N
Rv0518	610188	610883	+	N
Rv0519c	612020	611172	-	Y
Rv0520	612255	612605	+	N
Rv0521	612598	612903	+	N
Rv0522	613038	614342	+	N
Rv0523c	614721	614326	-	N
Rv0524	614835	616223	+	Y
Rv0525	616223	616831	+	N
Rv0526	616846	617496	+	N
Rv0527	617493	618272	+	N
Rv0528	618305	619894	+	N
Rv0529	619891	620865	+	N
Rv0530	620907	622124	+	N
Rv0531	622329	622646	+	N
Rv0532	622793	624577	+	N
Rv0533c	625480	624473	-	N
Rv0534c	626440	625562	-	N
Rv0535	626475	627251	+	Y
Rv0536	627248	628288	+	N
Rv0537c	629731	628298	-	N
Rv0538	630040	631686	+	N
Rv0539	631719	632375	+	Y
Rv0540	632372	633034	+	N
Rv0541c	634404	633055	-	N
Rv0542c	635504	634416	-	N
Rv0543c	635875	635573	-	N
Rv0544c	636213	635935	-	N
Rv0545c	637463	636210	-	N
Rv0546c	637969	637583	-	Y
Rv0547c	638916	638032	-	Y
Rv0548c	639956	639012	-	N
Rv0549c	640641	640228	-	N
Rv0550c	640856	640638	-	Y
Rv0551c	642811	641096	-	Y
Rv0552	642889	644493	+	N
Rv0553	644490	645470	+	N
Rv0554	645467	646255	+	Y
Rv0555	646298	647962	+	N
Rv0556	647959	648474	+	N
Rv0557	648536	649672	+	N
Rv0558	649689	650393	+	N
Rv0559c	650745	650407	-	Y
Rv0560c	651504	650779	-	N
Rv0561c	652749	651529	-	Y
Rv0562	652771	653778	+	Y
Rv0563	653879	654739	+	N
Rv0564c	655949	654924	-	N
Rv0565c	657470	656010	-	N
Rv0566c	658039	657548	-	N
Rvnt05	658109	658189	+	N
Rv0567	658321	659340	+	N
Rv0568	659450	660868	+	N
Rv0569	661003	661269	+	N
Rv0570	661295	663373	+	N
Rv0571c	664818	663487	-	N
Rv0572c	665383	665042	-	N
Rv0573c	667242	665851	-	N
Rv0574c	668394	667252	-	N
Rv0575c	669745	668579	-	N
Rv0576	669848	671152	+	N
Rv0577	671166	671951	+	N
Rv0578c	675916	671996	-	N
Rv0579	676238	676996	+	N
Rv0580c	677616	677125	-	Y
Rv0581	677710	677925	+	Y
Rv0582	677922	678329	+	N
Rv0583c	679075	678389	-	N
Rv0584	679229	681862	+	N
Rv0585c	684272	681885	-	N
Rv0586	684410	685132	+	Y
Rv0587	685129	685926	+	N
Rv0588	685928	686815	+	N
Rv0589	686821	688035	+	N
Rv0590	688032	688859	+	N
Rv0590A	688808	689062	+	N
Rv0591	689059	690504	+	N
Rv0592	690501	692027	+	N
Rv0593	692024	693232	+	N
Rv0594	693237	694787	+	N
Rv0595c	695231	694839	-	N
Rv0596c	695485	695228	-	N
Rv0597c	696903	695668	-	N
Rv0598c	697567	697154	-	N
Rv0599c	697800	697564	-	Y
Rv0600c	698410	697904	-	N
Rv0601c	698994	698524	-	N
Rv0602c	699799	699038	-	N
Rv0603	699856	700167	+	N
Rv0604	700239	701189	+	N
Rv0605	701430	702014	+	Y
Rv0606	702016	702759	+	N
Rv0607	702813	703199	+	N
Rv0608	703244	703489	+	N
Rv0609	703486	703887	+	N
Rv0609A	703830	704057	+	N
Rv0610c	705909	704752	-	N
Rv0612	706324	706929	+	N
Rv0611c	706344	705961	-	N
Rv0614	709356	710348	+	N
Rv0613c	709515	706948	-	Y
Rv0615	710345	710587	+	N
Rv0616c	710850	710584	-	N
Rv0617	711006	711407	+	N
Rv0618	711638	712231	+	Y
Rv0619	712174	712719	+	N
Rv0620	712716	713807	+	N
Rv0621	714202	715266	+	N
Rv0622	715370	716317	+	N
Rv0623	716410	716664	+	Y
Rv0624	716664	717059	+	N
Rv0625c	717893	717153	-	N
Rv0626	718025	718285	+	Y
Rv0627	718282	718689	+	N
Rv0628c	719912	718761	-	N
Rv0629c	721732	720005	-	N
Rv0630c	725013	721729	-	N
Rv0631c	728306	725013	-	N
Rv0632c	729278	728583	-	Y
Rv0633c	730163	729327	-	Y
Rv0634c	731033	730320	-	Y
Rv0634A	731152	731364	+	Y
Rvnt06	731494	731566	+	N
Rvnt07	731603	731676	+	N
Rv0634B	731712	731879	+	N
Rv0635	731930	732406	+	Y
Rv0636	732393	732821	+	N
Rv0637	732825	733325	+	N
Rvnt08	733524	733596	+	N
Rv0638	733737	734222	+	N
Rv0639	734254	734970	+	N
Rv0640	735022	735450	+	N
Rv0641	735517	736224	+	N
Rv0642c	737203	736298	-	N
Rv0643c	738149	737268	-	N
Rv0644c	739160	738297	-	N
Rv0645c	740187	739327	-	N
Rv0646c	741139	740234	-	N
Rv0647c	742497	741151	-	Y
Rv0648	742719	746366	+	N
Rv0649	746363	747037	+	N
Rv0650	747037	747945	+	N
Rv0651	748276	748812	+	N
Rv0652	748849	749241	+	N
Rv0653c	749929	749234	-	N
Rv0654	750000	751505	+	N
Rv0655	751517	752596	+	N
Rv0656c	753367	752984	-	N
Rv0657c	753617	753462	-	N
Rv0658c	754409	753693	-	N
Rv0659c	754993	754685	-	N
Rv0660c	755231	754980	-	Y
Rv0661c	755772	755335	-	N
Rv0662c	756017	755769	-	Y
Rv0663	756137	758500	+	N
Rv0664	758532	758804	+	N
Rv0665	758801	759139	+	N
Rv0666	759136	759309	+	N
Rv0667	759807	763325	+	N
Rv0668	763370	767320	+	N
Rv0669c	769597	767684	-	N
Rv0670	769792	770550	+	Y
Rv0671	770582	771424	+	N
Rv0672	771484	773112	+	Y
Rv0673	773123	774061	+	N
Rv0674	774064	774786	+	N
Rv0675	774783	775574	+	N
Rv0676c	778480	775586	-	N
Rv0677c	778965	778477	-	Y
Rv0678	778990	779487	+	Y
Rv0679c	780040	779543	-	N
Rv0680c	780416	780042	-	N
Rv0681	780721	781311	+	N
Rv0682	781560	781934	+	N
Rv0683	781934	782404	+	N
Rv0684	782485	784590	+	N
Rv0685	784821	786011	+	N
Rv0686	786149	786946	+	N
Rv0687	787099	787926	+	N
Rv0688	787952	789160	+	Y
Rv0689c	789411	789157	-	N
Rv0690c	791073	790024	-	N
Rv0691c	791666	791070	-	N
Rv0692	791831	792160	+	N
Rv0693	792157	793332	+	N
Rv0694	793335	794525	+	N
Rv0695	794739	795470	+	Y
Rv0696	795519	796931	+	N
Rv0697	796933	798372	+	N
Rv0698	798833	799444	+	N
Rv0699	799629	799850	+	N
Rv0700	800487	800792	+	N
Rv0701	800809	801462	+	N
Rv0702	801462	802133	+	N
Rv0703	802133	802435	+	N
Rv0704	802528	803370	+	N
Rv0705	803411	803692	+	N
Rv0706	803689	804282	+	N
Rv0707	804282	805106	+	N
Rv0708	805110	805526	+	N
Rv0709	805526	805759	+	N
Rv0710	805756	806166	+	N
Rv0711	806335	808698	+	N
Rv0712	808746	809645	+	Y
Rv0713	809946	810887	+	N
Rv0714	811373	811741	+	N
Rv0715	811742	812059	+	N
Rv0716	812059	812622	+	N
Rv0717	812627	812812	+	N
Rv0718	812976	813374	+	N
Rv0719	813398	813937	+	N
Rv0720	813940	814308	+	N
Rv0721	814328	814990	+	N
Rv0722	814993	815190	+	N
Rv0723	815190	815630	+	N
Rv0724	815663	817534	+	N
Rv0724A	817866	817531	-	N
Rv0725c	818444	817539	-	N
Rv0726c	819640	818537	-	N
Rv0727c	820499	819843	-	N
Rv0728c	821476	820496	-	N
Rv0729	821507	822853	+	Y
Rv0730	822908	823594	+	Y
Rv0731c	824639	823683	-	N
Rv0732	824800	826125	+	N
Rv0733	826122	826667	+	N
Rv0734	826670	827470	+	N
Rv0735	827543	828076	+	N
Rv0736	828140	828892	+	N
Rv0737	829207	829704	+	N
Rv0738	830062	830610	+	N
Rv0739	830855	831661	+	N
Rv0740	831776	832303	+	N
Rv0741	832534	832848	+	N
Rv0742	832981	833508	+	N
Rv0743c	834443	833886	-	N
Rv0744c	834946	834440	-	Y
Rv0745	835154	835681	+	N
Rv0746	835701	838052	+	N
Rv0747	838451	840856	+	N
Rv0748	840947	841204	+	Y
Rv0749	841228	841656	+	N
Rv0749A	841874	841737	-	N
Rv0750	842033	842278	+	N
Rv0751c	843231	842347	-	N
Rv0752c	844414	843242	-	N
Rv0753c	845953	844421	-	N
Rv0754	846159	847913	+	N
Rv0755c	850040	848103	-	N
Rv0755A	850527	850342	-	N
Rvnt09	850713	850642	-	N
Rv0756c	851466	850741	-	Y
Rv0757	851608	852351	+	Y
Rv0758	852396	853853	+	N
Rv0759c	854157	853825	-	N
Rv0760c	854686	854267	-	N
Rv0761c	855826	854699	-	N
Rv0762c	856470	855925	-	N
Rv0763c	856679	856473	-	N
Rv0764c	858037	856682	-	N
Rv0765c	858864	858037	-	N
Rv0766c	860072	858864	-	N
Rv0767c	860710	860069	-	N
Rv0768	860912	862381	+	N
Rv0769	862412	863158	+	N
Rv0770	863256	864143	+	N
Rv0771	864140	864574	+	N
Rv0772	864586	865854	+	Y
Rv0773c	867389	865851	-	N
Rv0774c	868339	867440	-	Y
Rv0775	868407	869030	+	N
Rv0776c	869763	868984	-	N
Rv0777	870008	871426	+	N
Rv0778	871431	872675	+	N
Rv0779c	873292	872672	-	N
Rv0780	873343	874236	+	Y
Rv0781	874233	874943	+	N
Rv0782	874732	876390	+	N
Rv0783c	878440	876818	-	N
Rv0784	878620	879324	+	Y
Rv0785	879340	881040	+	N
Rv0786c	881713	881075	-	Y
Rv0787	881732	882418	+	Y
Rv0787A	882524	882763	+	N
Rv0788	882760	883434	+	N
Rv0789c	884050	883451	-	N
Rv0790c	884800	884072	-	N
Rv0791c	885840	884797	-	N
Rv0792c	886646	885837	-	Y
Rv0793	886719	887024	+	N
Rv0794c	888636	887137	-	N
Rv0795	889072	889398	+	N
Rv0796	889395	890333	+	N
Rv0797	890388	891482	+	N
Rv0798c	892269	891472	-	N
Rv0799c	893267	892266	-	Y
Rv0800	893318	894619	+	N
Rv0801	894631	894978	+	Y
Rv0802c	895628	894972	-	Y
Rv0803	895781	898084	+	Y
Rv0804	898081	898710	+	N
Rv0805	898831	899787	+	N
Rv0806c	901330	899732	-	N
Rv0807	901635	902024	+	N
Rv0808	902111	903694	+	N
Rv0809	903725	904819	+	Y (1 nt leader)
Rv0810c	905087	904905	-	N
