operon_no.	single/multi	strand	start_gene	last_gene	operon_left_cord	operon_right_cord	locus_tag	gene/RNA_type	name_gene	kegg_nomenclature	start_position	last_position	first_gene/in_operon	form	leaderless?	changed
9		-			46581	52697	Rv0043c				48100	47366		1	N	
9		-			46581	52697	Rv0044c				49027	48233		1	Y	
9		-			46581	52697	Rv0045c				49939	49043		1	N	
9		-			46581	52697	Rv0046c				51124	50021		1	N	
9		-			46581	52697	Rv0047c				51727	51185		1	N	
9		-			46581	52697	Rv0048c				52697	51828		1	Y	
10		+			52831	72222	Rv0049				52810	53244		1	Y	
10		+			52831	72222	Rv0050				53663	55699		1	N	
10		+			52831	72222	Rv0051				55696	57378		1	N	
10		+			52831	72222	Rv0052				57410	57973		1	N	
10		+			52831	72222	Rv0053				58192	58482		1	N	
10		+			52831	72222	Rv0054				58586	59080		1	N	
10		+			52831	72222	Rv0055				59122	59376		1	N	
10		+			52831	72222	Rv0056				59409	59867		1	N	
10		+			52831	72222	Rv0057				59896	60417		1	N	
10		+			52831	72222	Rv0058				60396	63020		1	N	
10		+			52831	72222	Rv0059				63200	63892		1	N	
10		+			52831	72222	Rv0060				63909	64967		1	N	
10		+			52831	72222	Rv0061				64991	65416		1	N	
10		+			52831	72222	Rv0062				65678	66694		1	Y	
10		+			52831	72222	Rv0063				66923	68362		1	N	
10		+			52831	72222	Rv0064				68620	71559		1	N	
10		+			52831	72222	Rv0065				71821	72222		1	N	
11		-			72274	75198	Rv0066c				74511	72274		1	N	
11		-			72274	75198	Rv0067c				75198	74629		1	N	
12		-			76237	78896	Rv0069c				77622	76237		1	N	
12		-			76237	78896	Rv0070c				78896	77619		1	N	
13		+			79486	85168	Rv0071				79486	80193		1	N	
13		+			79486	85168	Rv0072				80624	81673		1	Y	
13		+			79486	85168	Rv0073				81676	82668		1	N	
13		+			79486	85168	Rv0074				82748	83983		1	N	
13		+			79486	85168	Rv0075				83996	85168		1	N	
14		-			85183	87801	Rv0076c				85563	85183		1	Y	
14		-			85183	87801	Rv0077c				86466	85636		1	N	
15		+			88204	102868	Rv0079				88204	89025		1	N	
15		+			88204	102868	Rv0080				89022	89480		1	N	
15		+			88204	102868	Rv0081				89575	89919		1	N	
15		+			88204	102868	Rv0082				89924	90403		1	N	
15		+			88204	102868	Rv0083				90400	92322		1	N	
15		+			88204	102868	Rv0084				92328	93278		1	N	
15		+			88204	102868	Rv0085				93289	93951		1	N	
15		+			88204	102868	Rv0086				93951	95417		1	N	
15		+			88204	102868	Rv0087				95414	96892		1	N	
15		+			88204	102868	Rv0088				96927	97601		1	N	
15		+			88204	102868	Rv0089				97758	98351		1	N	
15		+			88204	102868	Rv0090				98480	99250		1	N	
15		+			88204	102868	Rv0091				99684	100451		1	N	
15		+			88204	102868	Rv0092				100583	102868		1	N	
16		-			102815	105215	Rv0093c				103525	102815		1	Y	
16		-			102815	105215	Rv0094c				104663	103710		1	N	
16		-			102815	105215	Rv0095c				105215	104805		1	N	
17		+			105324	119699	Rv0096				105324	106715		1	N	
17		+			105324	119699	Rv0097				106734	107603		1	N	
17		+			105324	119699	Rv0098				107600	108151		1	N	
17		+			105324	119699	Rv0099				108156	109778		1	N	
17		+			105324	119699	Rv0100				109783	110019		1	N	
17		+			105324	119699	Rv0101				110001	117539		1	N	
17		+			105324	119699	Rv0102				117714	119699		1	Y	
18		+			122317	125570	Rv0104				122317	123831		1	N	
18		+			122317	125570	Rv0106				124374	125570		1	N	
19		-			125643	131104	Rv0107c				130541	125643		1	N	
19		-			125643	131104	Rv0108c				131128	130895		1	Y	
20		+			131382	139673	Rv0109				131382	132872		1	N	
20		+			131382	139673	Rv0110				132915	133769		1	Y	
20		+			131382	139673	Rv0111				133950	136007		1	N	
20		+			131382	139673	Rv0112				136289	137245		1	N	
20		+			131382	139673	Rv0113				137319	137909		1	N	
20		+			131382	139673	Rv0114				137941	138513		1	N	
20		+			131382	139673	Rv0115				138513	139673		1	N	
21		-			145627	148342	Rv0120c				147771	145627		1	N	
21		-			145627	148342	Rv0121c				148342	147908		1	N	
22		+			148491	156446	Rv0122				148635	148859		1	Y	
22		+			148491	156446	Rv0123				148856	149224		1	N	
22		+			148491	156446	Rv0124				149533	150996		1	N	
22		+			148491	156446	Rv0125				151148	152215		1	N	
22		+			148491	156446	Rv0126				152324	154129		1	N	
22		+			148491	156446	Rv0127				154232	155599		1	N	
22		+			148491	156446	Rv0128				155667	156446		1	Y	
24		-			158315	160782	Rv0131c				159658	158315		1	N	
24		-			158315	160782	Rv0132c				160782	159700		1	N	
25		+			160869	168637	Rv0133				160869	161474		1	Y	
25		+			160869	168637	Rv0134				161771	162673		1	N	
25		+			160869	168637	Rv0136				163366	164691		1	N	
25		+			160869	168637	Rv0138				165323	165826		1	N	
25		+			160869	168637	Rv0139				165827	166849		1	N	
25		+			160869	168637	Rv0140				166910	167290		1	Y	
25		+			160869	168637	Rv0142				167711	168637		1	N	
28		+			170284	176668	Rv0144				170485	171126		1	Y	
28		+			170284	176668	Rv0145				171215	172168		1	N	
28		+			170284	176668	Rv0146				172211	173143		1	N	
28		+			170284	176668	Rv0147				173238	174758		1	N	
28		+			170284	176668	Rv0148				174833	175693		1	N	
28		+			170284	176668	Rv0149				175700	176668		1	N	
29		-			176665	183198	Rv0150c				176952	176665		1	N	
29		-			176665	183198	Rv0151c				179309	177543		1	N	
29		-			176665	183198	Rv0152c				180896	179319		1	N	
29		-			176665	183198	Rv0153c				181985	181155		1	N	
29		-			176665	183198	Rv0154c				183210	181987		1	Y	
30		+			183622	187429	Rv0155				183622	184722		1	N	
30		+			183622	187429	Rv0156				184723	185055		1	N	
30		+			183622	187429	Rv0157				185052	186479		1	N	
30		+			183622	187429	Rv0158				186785	187429		1	N	
31		-			187433	190439	Rv0159c				188839	187433		1	N	
31		-			187433	190439	Rv0160c				190439	188931		1	N	
32		+			193117	209672	Rv0163				193117	193572		1	Y	
32		+			193117	209672	Rv0164				193671	194111		1	Y	
32		+			193117	209672	Rv0166				194993	196657		1	N	
32		+			193117	209672	Rv0167				196861	197658		1	N	
32		+			193117	209672	Rv0168				197660	198529		1	N	
32		+			193117	209672	Rv0169				198534	199898		1	N	
32		+			193117	209672	Rv0170				199895	200935		1	N	
32		+			193117	209672	Rv0171				200932	202479		1	N	
32		+			193117	209672	Rv0172				202476	204068		1	N	
32		+			193117	209672	Rv0173				204065	205237		1	N	
32		+			193117	209672	Rv0174				205231	206778		1	N	
32		+			193117	209672	Rv0175				206814	207455		1	N	
32		+			193117	209672	Rv0176				208328	208420		1	Y	
32		+			193117	209672	Rv0177				208417	208971		1	N	
32		+			193117	209672	Rv0178				208938	209672		1	N	
34		-			209703	214140	Rv0179c				210812	209703		1	N	
34		-			209703	214140	Rv0180c				212250	210892		1	N	
34		-			209703	214140	Rv0181c				213011	212277		1	N	
34		-			209703	214140	Rv0182c				214026	213028		1	Y	
35		+			214088	219917	Rv0183				214088	214927		1	Y (1 nt leader)	
35		+			214088	219917	Rv0184				214969	215718		1	Y	
35		+			214088	219917	Rv0185				215715	216224		1	N	
35		+			214088	219917	Rv0186				218015	218344		1	Y	
35		+			214088	219917	Rv0187				218711	219367		1	Y	
35		+			214088	219917	Rv0188				219486	219917		1	N	
36		+			221871	224664	Rv0190				221871	222161		1	N	
36		+			221871	224664	Rv0191				222289	223530		1	N	
36		+			221871	224664	Rv0192				223564	224664		1	N	
36		+			221871	224664	Rv0192A				223607	223909		1	N	
37		+			226878	234519	Rv0194				226878	230462		1	N	
37		+			226878	234519	Rv0195				230899	231534		1	N	
37		+			226878	234519	Rv0196				231647	232231		1	N	
37		+			226878	234519	Rv0197				232231	234519		1	N	
38		+			236550	237895	Rv0199				236550	237209		1	Y	
38		+			236550	237895	Rv0200				237206	237895		1	N	
39		-			237892	243214	Rv0201c				238395	237892		1	N	
39		-			237892	243214	Rv0202c				241292	238392		1	N	
39		-			237892	243214	Rv0204c				243214	241976		1	Y	
40		-			244484	248906	Rv0206c				247318	244484		1	N	
40		-			244484	248906	Rv0207c				248112	247384		1	N	
40		-			244484	248906	Rv0208c				248906	248115		1	N	
41		+			249038	253602	Rv0209				249038	250123		1	N	
41		+			249038	253602	Rv0210				250120	251598		1	N	
41		+			249038	253602	Rv0211				251782	253602		1	N	
42		-			253669	255950	Rv0212c				254640	253669		1	N	
42		-			253669	255950	Rv0213c				256070	254637		1	Y	
43		+			258913	266295	Rv0216				258913	259926		1	Y	
43		+			258913	266295	Rv0218				260924	262252		1	N	
43		+			258913	266295	Rv0219				262254	262802		1	N	
43		+			258913	266295	Rv0220				262812	264023		1	Y	
43		+			258913	266295	Rv0221				264067	265476		1	N	
43		+			258913	266295	Rv0222				265507	266295		1	N	
45		-			266301	268627	Rv0223c				267764	266301		1	N	
45		-			266301	268627	Rv0224c				268627	267863		1	Y	
46		-			269834	272839	Rv0226c				271564	269834		1	N	
46		-			269834	272839	Rv0227c				272839	271574		1	N	
47		-			274306	275963	Rv0229c				274986	274306		1	N	
47		-			274306	275963	Rv0230c				275963	274983		1	Y	
48		+			276058	279529	Rv0231				276058	277764		1	N	
48		+			276058	279529	Rv0232				277899	278588		1	N	
48		+			276058	279529	Rv0233				278585	279529		1	N	
49		-			279605	287071	Rv0234c				281140	279605		1	N	
49		-			279605	287071	Rv0235c				282614	281166		1	N	
49		-			279605	287071	Rv0236c				286851	282649		1	N	
49		-			279605	287071	Rv0236A				287071	286898		1	N	
50		+			287186	289782	Rv0237				287186	288352		1	Y	
50		+			287186	289782	Rv0238				288428	289042		1	N	
50		+			287186	289782	Rv0239				289104	289337		1	Y	
50		+			287186	289782	Rv0240				289345	289782		1	N	
51		-			289812	292029	Rv0241c				290654	289812		1	N	
51		-			289812	292029	Rv0242c				292029	290665		1	N	
52		+			296005	298119	Rv0245				296005	296493		1	N	
52		+			296005	298119	Rv0246				296809	298119		1	N	
53		-			298116	302652	Rv0247c				298862	298116		1	N	
53		-			298116	302652	Rv0248c				300803	298863		1	N	
53		-			298116	302652	Rv0249c				301655	300834		1	N	
53		-			298116	302652	Rv0250c				302028	301735		1	N	
53		-			298116	302652	Rv0251c				302652	302173		1	N	
54		+			302866	305809	Rv0252				302866	305427		1	N	
54		+			302866	305809	Rv0253				305453	305809		1	N	
55		-			305825	310749	Rv0254c				306349	305825		1	N	
55		-			305825	310749	Rv0255c				307858	306374		1	N	
55		-			305825	310749	Rv0256c				309547	307877		1	N	
56		-			310294	321154	Rv0258c				310749	310294		1	Y	
56		-			310294	321154	Rv0259c				311517	310774		1	N	
56		-			310294	321154	Rv0260c				312659	311514		1	N	
56		-			310294	321154	Rv0261c				314168	312759		1	N	
56		-			310294	321154	Rv0262c				314854	314309		1	Y	
56		-			310294	321154	Rv0263c				315766	314864		1	N	
56		-			310294	321154	Rv0264c				316436	315783		1	Y	
56		-			310294	321154	Rv0265c				317503	316511		1	Y	
56		-			310294	321154	Rv0266c				321154	317525		1	N	
57		-			322764	324531	Rv0268c				323273	322764		1	N	
57		-			322764	324531	Rv0269c				324522	323338		1	Y	
58		-			326266	331658	Rv0271c				328461	326266		1	N	
58		-			326266	331658	Rv0272c				329708	328575		1	N	
58		-			326266	331658	Rv0273c				330325	329705		1	N	
58		-			326266	331658	Rv0275c				331658	330933		1	N	
59		+			330422	332668	Rv0274				330422	331003		1	N	
59		+			330422	332668	Rv0276				331748	332668		1	N	
61		+			339364	356875	Rv0280				339364	340974		1	N	
61		+			339364	356875	Rv0281				340998	341906		1	Y	
61		+			339364	356875	Rv0282				342130	344025		1	N	
61		+			339364	356875	Rv0283				344022	345638		1	N	
61		+			339364	356875	Rv0284				345635	349627		1	N	
61		+			339364	356875	Rv0285				349624	349932		1	N	
61		+			339364	356875	Rv0286				349935	351476		1	N	
61		+			339364	356875	Rv0287				351525	351818		1	N	
61		+			339364	356875	Rv0288				351848	352138		1	N	
61		+			339364	356875	Rv0289				352149	353036		1	N	
61		+			339364	356875	Rv0290				353083	354501		1	N	
61		+			339364	356875	Rv0291				354498	355883		1	N	
61		+			339364	356875	Rv0292				355880	356875		1	N	
62		-			356862	361155	Rv0293c				358064	356862		1	N	
62		-			356862	361155	Rv0295c				359748	358945		1	Y	
62		-			356862	361155	Rv0296c				361155	359758		1	N	
64		+			361334	366142	Rv0297				361334	363109		1	N	
64		+			361334	366142	Rv0298				363252	363479		1	Y	
64		+			361334	366142	Rv0299				363476	363778		1	N	
64		+			361334	366142	Rv0300				363826	364047		1	N	
64		+			361334	366142	Rv0301				364044	364469		1	N	
64		+			361334	366142	Rv0302				364605	365237		1	N	
64		+			361334	366142	Rv0303				365234	366142		1	N	
65		-			366150	377055	Rv0304c				372764	366150		1	N	
65		-			366150	377055	Rv0305c				375711	372820		1	N	
65		-			366150	377055	Rv0307c				377055	376573		1	Y	
66		+			375914	384486	Rv0306				375914	376585		1	N	
66		+			375914	384486	Rv0308				377113	377829		1	Y	
66		+			375914	384486	Rv0309				377931	378587		1	N	
66		+			375914	384486	Rv0311				379172	380401		1	Y	
66		+			375914	384486	Rv0312				380556	382418		1	N	
66		+			375914	384486	Rv0313				382490	382876		1	N	
69		+			383602	385149	Rv0315				383608	384486		1	Y	
69		+			383602	385149	Rv0316				384535	385149		1	N	
70		-			385173	387099	Rv0317c				385967	385173		1	Y	
70		-			385173	387099	Rv0318c				387099	386305		1	N	
71		+			387148	392032	Rv0319				387148	387816		1	N	
71		+			387148	392032	Rv0320				387888	388550		1	N	
71		+			387148	392032	Rv0321				388582	389154		1	Y	
71		+			387148	392032	Rv0322				389260	390591		1	N	
72		+			391352	392728	Rv0324				391352	392032		1	N	
72		+			391352	392728	Rv0325				392039	392263		1	N	
72		+			391352	392728	Rv0326				392273	392728		1	N	
74		-			394694	396087	Rv0329c				395320	394694		1	N	
74		-			394694	396087	Rv0330c				396087	395347		1	N	
75		+			396201	401703	Rv0331				396201	397367		1	N	
75		+			396201	401703	Rv0332				397472	398227		1	Y	
75		+			396201	401703	Rv0333				398254	398628		1	Y	
75		+			396201	401703	Rv0334				398658	399524		1	N	
76		-			401873	408448	Rv0337c				403162	401873		1	N	
76		-			401873	408448	Rv0338c				405841	403193		1	N	
76		-			401873	408448	Rv0339c				408448	405950		1	N	
77		+			408634	415460	Rv0340				408634	409173		1	N	
77		+			408634	415460	Rv0341				409362	410801		1	N	
77		+			408634	415460	Rv0342				410838	412760		1	N	
77		+			408634	415460	Rv0343				412757	414238		1	N	
77		+			408634	415460	Rv0345				415044	415460		1	Y	
78		-			414381	416965	Rv0344c				414941	414381		1	N	
78		-			414381	416965	Rv0346c				416965	415502		1	N	
79		+			417304	424019	Rv0347				417487	418290		1	Y	
79		+			417304	424019	Rv0348				418293	418946		1	N	
79		+			417304	424019	Rv0349				418949	419608		1	N	
79		+			417304	424019	Rv0350				419835	421712		1	N	
79		+			417304	424019	Rv0351				421709	422416		1	N	
79		+			417304	424019	Rv0352				422452	423639		1	N	
79		+			417304	424019	Rv0353				423639	424019		1	N	
80		-			424777	436769	Rv0355c				434679	424777		1	N	
80		-			424777	436769	Rv0356c				435474	434830		1	N	
80		-			424777	436769	Rv0357c				436769	435471		1	N	
81		+			436860	441253	Rv0358				436860	437507		1	N	
81		+			436860	441253	Rv0359				437518	438297		1	Y	
81		+			436860	441253	Rv0361				438822	439649		1	N	
81		+			436860	441253	Rv0362				439871	441253		1	N	
83		-			441265	454372	Rv0363c				442299	441265		1	N	
83		-			441265	454372	Rv0365c				444197	443067		1	N	
83		-			441265	454372	Rv0366c				444815	444222		1	N	
83		-			441265	454372	Rv0367c				445233	444844		1	N	
83		-			441265	454372	Rv0368c				446525	445314		1	N	
83		-			441265	454372	Rv0369c				447046	446531		1	N	
83		-			441265	454372	Rv0370c				448043	447147		1	N	
83		-			441265	454372	Rv0371c				448633	448040		1	N	
83		-			441265	454372	Rv0372c				449385	448630		1	N	
83		-			441265	454372	Rv0373c				451803	449404		1	N	
83		-			441265	454372	Rv0374c				452279	451800		1	N	
83		-			441265	454372	Rv0375c				453154	452294		1	N	
83		-			441265	454372	Rv0376c				454372	453230		1	N	
85		+			454421	456192	Rv0377				454421	455386		1	Y	
85		+			454421	456192	Rv0378				455637	455858		1	N	
85		+			454421	456192	Rv0379				455977	456192		1	Y	
86		-			456268	462002	Rv0380c				456819	456268		1	N	
86		-			456268	462002	Rv0381c				457823	456915		1	N	
86		-			456268	462002	Rv0382c				458380	457841		1	N	
86		-			456268	462002	Rv0383c				459315	458461		1	Y (1 nt leader)	
86		-			456268	462002	Rv0384c				462002	459456		1	N	
87		+			462135	466668	Rv0385				462135	463307		1	N	
87		+			462135	466668	Rv0386				463411	466668		1	N	
88		+			468335	471230	Rv0389				468335	469594		1	N	
88		+			468335	471230	Rv0390				469591	470013		1	Y	
88		+			468335	471230	Rv0391				470010	471230		1	N	
89		+			472781	476184	Rv0393				472781	474106		1	N	
89		+			472781	476184	Rv0395				474940	475344		1	N	
89		+			472781	476184	Rv0396				475350	475742		1	N	
89		+			472781	476184	Rv0397				475816	476184		1	N	
91		-			476679	483656	Rv0398c				477320	476679		1	N	
91		-			476679	483656	Rv0399c				478556	477327		1	N	
91		-			476679	483656	Rv0400c				479753	478566		1	Y	
91		-			476679	483656	Rv0402c				483231	480355		1	N	
91		-			476679	483656	Rv0403c				483656	483228		1	N	
93		+			483977	495008	Rv0404				483977	485734		1	N	
93		+			483977	495008	Rv0405				485731	489939		1	N	
93		+			483977	495008	Rv0407				490783	491793		1	Y	
93		+			483977	495008	Rv0408				491786	493858		1	N	
93		+			483977	495008	Rv0409				493851	495008		1	N	
95		-			495062	501018	Rv0410c				497314	495062		1	N	
95		-			495062	501018	Rv0411c				498300	497314		1	N	
95		-			495062	501018	Rv0412c				498872	498300		1	Y	
95		-			495062	501018	Rv0414c				501018	500350		1	N	
96		+			499713	506582	Rv0413				499746	500366		1	Y	
96		+			499713	506582	Rv0415				501148	502170		1	N	
96		+			499713	506582	Rv0416				502167	502373		1	N	
96		+			499713	506582	Rv0417				502366	503124		1	N	
96		+			499713	506582	Rv0418				503496	504998		1	Y (1 nt leader)	
96		+			499713	506582	Rv0419				505086	506582		1	N	
98		-			506561	518396	Rv0420c				506971	506561		1	N	
98		-			506561	518396	Rv0421c				507761	507132		1	N	
98		-			506561	518396	Rv0422c				508555	507758		1	N	
98		-			506561	518396	Rv0423c				510225	508582		1	N	
98		-			506561	518396	Rv0424c				510652	510377		1	N	
98		-			506561	518396	Rv0425c				515321	510702		1	N	
98		-			506561	518396	Rv0426c				515816	515373		1	N	
98		-			506561	518396	Rv0427c				516892	516017		1	Y	
98		-			506561	518396	Rv0428c				517803	516895		1	N	
98		-			506561	518396	Rv0429c				518396	517803		1	Y	
99		+			518733	522167	Rv0430				518733	519041		1	N	
99		+			518733	522167	Rv0431				519073	519567		1	N	
99		+			518733	522167	Rv0432				519600	520322		1	Y	
99		+			518733	522167	Rv0433				520324	521454		1	N	
99		+			518733	522167	Rv0434				521514	522167		1	N	
100		-			522347	528314	Rv0435c				524533	522347		1	N	
100		-			522347	528314	Rv0436c				525390	524530		1	N	
100		-			522347	528314	Rv0437c				526082	525387		1	Y	
100		-			522347	528314	Rv0438c				527360	526143		1	Y	
100		-			522347	528314	Rv0439c				528314	527379		1	Y	
101		-			530296	541910	Rv0441c				530724	530296		1	N	
101		-			530296	541910	Rv0442c				532214	530751		1	N	
101		-			530296	541910	Rv0444c				533789	533091		1	N	
101		-			530296	541910	Rv0445c				534396	533833		1	Y (1 nt leader)	
101		-			530296	541910	Rv0446c				535215	534445		1	N	
101		-			530296	541910	Rv0447c				536507	535224		1	N	
101		-			530296	541910	Rv0448c				537169	536504		1	N	
101		-			530296	541910	Rv0449c				538548	537229		1	N	
101		-			530296	541910	Rv0450c				541491	538588		1	N	
101		-			530296	541910	Rv0451c				541910	541488		1	N	
103		+			542142	545185	Rv0452				542160	542852		1	Y	
103		+			542142	545185	Rv0453				543174	544730		1	N	
103		+			542142	545185	Rv0454				544835	545185		1	N	
104		-			545375	549607	Rv0455c				545821	545375		1	Y	
104		-			545375	549607	Rv0456c				546803	545889		1	N	
105		+			549675	554309	Rv0458				549675	551198		1	N	
105		+			549675	554309	Rv0459				551198	551689		1	N	
105		+			549675	554309	Rv0460				551710	551988		1	Y	
105		+			549675	554309	Rv0461				552026	552550		1	N	
105		+			549675	554309	Rv0462				552614	554008		1	Y	
105		+			549675	554309	Rv0463				554016	554309		1	N	
106		-			554313	556306	Rv0464c				554885	554313		1	N	
106		-			554313	556306	Rv0465c				556306	554882		1	Y	
107		+			556458	560748	Rv0466				556458	557252		1	N	
107		+			556458	560748	Rv0467				557527	558813		1	N	
107		+			556458	560748	Rv0468				558895	559755		1	N	
107		+			556458	560748	Rv0469				559888	560748		1	N	
108		-			560848	563427	Rv0470c				561711	560848		1	N	
108		-			560848	563427	Rv0470A				562294	561854		1	N	
108		-			560848	563427	Rv0471c				562713	562225		1	Y	
108		-			560848	563427	Rv0472c				563427	562723		1	N	
109		+			563564	567896	Rv0473				563567	564934		1	Y	
109		+			563564	567896	Rv0474				565021	565443		1	N	
109		+			563564	567896	Rv0475				565797	566396		1	N	
109		+			563564	567896	Rv0476				566484	566771		1	Y	
109		+			563564	567896	Rv0477				566776	567222		1	N	
109		+			563564	567896	Rv0478				567222	567896		1	N	
110		-			567921	570512	Rv0479c				568967	567921		1	Y	
110		-			567921	570512	Rv0480c				569806	568964		1	Y	
110		-			567921	570512	Rv0481c				570512	569988		1	Y	
111		+			570539	581492	Rv0482				570539	571648		1	N	
111		+			570539	581492	Rv0483				571752	573065		1	Y	
111		+			570539	581492	Rv0485				573984	575300		1	N	
111		+			570539	581492	Rv0486				575357	576790		1	Y	
111		+			570539	581492	Rv0487				576787	577338		1	N	
111		+			570539	581492	Rv0488				577664	578269		1	N	
111		+			570539	581492	Rv0489				578426	579175		1	Y	
111		+			570539	581492	Rv0490				579349	580581		1	Y	
111		+			570539	581492	Rv0491				580809	581492		1	N	
113		-			581489	586314	Rv0492c				583378	581489		1	N	
113		-			581489	586314	Rv0492A				583704	583375		1	N	
113		-			581489	586314	Rv0493c				584690	583701		1	N	
114		+			584695	593867	Rv0494				584695	585423		1	N	
114		+			584695	593867	Rv0496				586346	587380		1	Y	
114		+			584695	593867	Rv0497				587377	588309		1	N	
114		+			584695	593867	Rv0498				588325	589167		1	N	
114		+			584695	593867	Rv0499				589183	590058		1	N	
114		+			584695	593867	Rv0500				590095	590970		1	Y	
114		+			584695	593867	Rv0500A				591111	591347		1	N	
114		+			584695	593867	Rv0501				591654	592784		1	N	
114		+			584695	593867	Rv0502				592791	593867		1	N	
116		-			593871	596585	Rv0503c				594779	593871		1	Y	
116		-			593871	596585	Rv0504c				595302	594802		1	N	
116		-			593871	596585	Rv0505c				596585	595464		1	N	
117		+			596759	610056	Rv0506				596759	597202		1	N	
117		+			596759	610056	Rv0507				597199	600105		1	N	
117		+			596759	610056	Rv0508				600098	600391		1	N	
117		+			596759	610056	Rv0509				600441	601847		1	N	
117		+			596759	610056	Rv0510				601857	602786		1	N	
117		+			596759	610056	Rv0511				602819	604516		1	N	
117		+			596759	610056	Rv0512				604602	605591		1	N	
117		+			596759	610056	Rv0513				605604	606152		1	N	
117		+			596759	610056	Rv0514				606149	606448		1	N	
117		+			596759	610056	Rv0515				606551	608062		1	N	
118		+			608746	610883	Rv0517				608746	610056		1	N	
118		+			608746	610883	Rv0518				610188	610883		1	N	
119		+			612255	624577	Rv0520				612255	612605		1	N	
119		+			612255	624577	Rv0521				612598	612903		1	N	
119		+			612255	624577	Rv0522				613038	614342		1	N	
119		+			612255	624577	Rv0524				614835	616223		1	Y	
119		+			612255	624577	Rv0525				616223	616831		1	N	
119		+			612255	624577	Rv0526				616846	617496		1	N	
119		+			612255	624577	Rv0527				617493	618272		1	N	
119		+			612255	624577	Rv0528				618305	619894		1	N	
119		+			612255	624577	Rv0529				619891	620865		1	N	
119		+			612255	624577	Rv0530				620907	622124		1	N	
119		+			612255	624577	Rv0531				622329	622646		1	N	
119		+			612255	624577	Rv0532				622793	624577		1	N	
121		-			624473	626440	Rv0533c				625480	624473		1	N	
121		-			624473	626440	Rv0534c				626440	625562		1	N	
122		+			626457	628288	Rv0535				626475	627251		1	Y	
122		+			626457	628288	Rv0536				627248	628288		1	N	
123		+			630040	633034	Rv0538				630040	631686		1	N	
123		+			630040	633034	Rv0539				631719	632375		1	Y	
123		+			630040	633034	Rv0540				632372	633034		1	N	
124		-			633055	642811	Rv0541c				634404	633055		1	N	
124		-			633055	642811	Rv0542c				635504	634416		1	N	
124		-			633055	642811	Rv0543c				635875	635573		1	N	
124		-			633055	642811	Rv0544c				636213	635935		1	N	
124		-			633055	642811	Rv0545c				637463	636210		1	N	
124		-			633055	642811	Rv0546c				637969	637583		1	Y	
124		-			633055	642811	Rv0547c				638916	638032		1	Y	
124		-			633055	642811	Rv0548c				639956	639012		1	N	
124		-			633055	642811	Rv0549c				640641	640228		1	N	
124		-			633055	642811	Rv0550c				640856	640638		1	Y	
124		-			633055	642811	Rv0551c				642811	641096		1	Y	
125		+			642889	650393	Rv0552				642889	644493		1	N	
125		+			642889	650393	Rv0553				644490	645470		1	N	
125		+			642889	650393	Rv0554				645467	646255		1	Y	
125		+			642889	650393	Rv0555				646298	647962		1	N	
125		+			642889	650393	Rv0556				647959	648474		1	N	
125		+			642889	650393	Rv0557				648536	649672		1	N	
125		+			642889	650393	Rv0558				649689	650393		1	N	
