operon no.	locus tag	start	end	sense		in operon	strand	in_operon	P1	P2	P3	P4	TSS_type	number_of_TSS	internal 	flag	non-coding	RNA	distance_between_start_and_first_tss
40	CCNA_00087	3945193	3946302	-	CDS	n	-	n					NO	0	n	simple	0	0	
42	CCNA_00089	3941035	3943464	-	CDS	n	-	n	3941033				POTENTIAL	1	n	simple	0	0	2
43	CCNA_00090	3939987	3940970	-	CDS	n	-	n					NO	0	n	simple	0	0	
44	CCNA_00091	3938888	3939781	-	CDS	y	-	y	3937959				TRUE	1	y	complex	0	0	929
44	CCNA_00092	3938001	3938891	-	CDS	y	-	y	3937959				TRUE	1	y	complex	0	0	42
45	CCNA_00093	3937693	3937902	-	CDS	n	-	n					NO	0	n	simple	0	0	
47	CCNA_00094	3936700	3937620	-	CDS	y	-	y	3935570				TRUE	1	n	simple	0	0	1130
47	CCNA_00095	3935598	3936596	-	CDS	y	-	y	3935570				TRUE	1	n	simple	0	0	28
49	CCNA_00101	3929896	3931185	-	CDS	n	-	n	3929896				POTENTIAL	1	n	simple	0	0	0
49.1	CCNA_00098	3933697	3933987	-	CDS	y	-	y	3931292				TRUE	1	y	complex	0	0	2405
49.1	CCNA_00099	3931961	3933691	-	CDS	y	-	y	3931292				TRUE	1	y	complex	0	0	669
49.1	CCNA_00100	3931292	3931951	-	CDS	y	-	y	3931292				TRUE	1	y	complex	0	0	0
52	CCNA_00104	3926940	3927641	-	CDS	n	-	n	3926705	3926728			TRUE	multiple	n	complex	0	0	235
54	CCNA_00107	3924473	3924670	-	CDS	y	-	y	3922255				TRUE	1	n	simple	0	0	2218
54	CCNA_00108	3923786	3924463	-	CDS	y	-	y	3922255				TRUE	1	n	simple	0	0	1531
54	CCNA_00109	3922871	3923770	-	CDS	y	-	y	3922255				TRUE	1	n	simple	0	0	616
54	CCNA_00110	3922255	3922761	-	CDS	y	-	y	3922255				TRUE	1	n	simple	0	0	0
60	CCNA_00116	3915177	3916523	-	CDS	n	-	n	3915046	3915064	3915070		TRUE	multiple	n	complex	0	0	131
63	CCNA_00121	3909522	3909980	-	CDS	y	-	y	3909085	3909103			TRUE	multiple	n	complex	0	0	437
63	CCNA_00122	3909103	3909513	-	CDS	y	-	y	3909085	3909103			TRUE	multiple	n	complex	0	0	18
65	CCNA_00126	3906339	3906746	-	CDS	n	-	n	3906301				TRUE	1	n	simple	0	0	38
65.1	CCNA_00124	3907517	3908104	-	CDS	y	-	y					NO	0	y	complex	0	0	
65.1	CCNA_00125	3906753	3907421	-	CDS	y	-	y					NO	0	y	complex	0	0	
67	CCNA_00128	3904458	3905684	-	CDS	n	-	n					NO	0	n	simple	0	0	
68	CCNA_00129	3904013	3904375	-	CDS	y	-	y	3901953				TRUE	1	n	simple	0	0	2060
68	CCNA_00130	3902012	3904009	-	CDS	y	-	y	3901953				TRUE	1	n	simple	0	0	59
74	CCNA_00136	3895978	3897657	-	CDS	y	-	y	3894400				TRUE	1	y	complex	0	0	1578
74	CCNA_00137	3894400	3895944	-	CDS	y	-	y	3894400				TRUE	1	y	complex	0	0	0
76	CCNA_00139	3890330	3891937	-	CDS	n	-	n	3890286	3890302	3890313		TRUE	multiple	n	complex	0	0	44
77	CCNA_00140	3889268	3890221	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	3932
77	CCNA_00141	3888397	3889212	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	3061
77	CCNA_00142	3888018	3888395	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	2682
77	CCNA_00143	3887146	3888018	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	1810
77	CCNA_00144	3885957	3887111	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	621
77	CCNA_00145	3885362	3885964	-	CDS	y	-	y	3885336	3885345			TRUE	multiple	n	complex	0	0	26
81	CCNA_00150	3882633	3883610	-	CDS	n	-	n	3882514				TRUE	1	n	simple	0	0	119
82	CCNA_00151	3881750	3882466	-	CDS	n	-	n	3881712				POTENTIAL	1	n	simple	0	0	38
84	CCNA_00154	3879695	3879955	-	CDS	n	-	n	3879670				POTENTIAL	1	n	simple	0	0	25
90	CCNA_00165	3865185	3865838	-	CDS	n	-	n	3865132				TRUE	1	y	complex	0	0	53
91	CCNA_00166	3863860	3864678	-	CDS	n	-	n	3863840				TRUE	1	n	simple	0	0	20
97	CCNA_00183	3845919	3846680	-	CDS	y	-	y					NO	0	n	simple	0	0	
97	CCNA_00184	3845663	3845860	-	CDS	y	-	y					NO	0	n	simple	0	0	
97	CCNA_00185	3843120	3845645	-	CDS	y	-	y					NO	0	n	simple	0	0	
98	CCNA_00186	3841328	3842644	-	CDS	y	-	y					NO	0	y	complex	0	0	
98	CCNA_00187	3840249	3841331	-	CDS	y	-	y					NO	0	y	complex	0	0	
98	CCNA_00188	3839205	3840167	-	CDS	y	-	y					NO	0	y	complex	0	0	
100	CCNA_00192	3836137	3837756	-	CDS	n	-	n	3836113				TRUE	1	n	simple	0	0	24
101	CCNA_00193	3834889	3835941	-	CDS	y	-	y					NO	0	n	simple	0	0	
101	CCNA_00194	3834585	3834887	-	CDS	y	-	y					NO	0	n	simple	0	0	
102	CCNA_00195	3833835	3834443	-	CDS	y	-	y	3832399				TRUE	1	n	simple	0	0	1436
102	CCNA_00196	3832399	3833838	-	CDS	y	-	y	3832399				TRUE	1	n	simple	0	0	0
103	CCNA_00197	3831408	3831809	-	CDS	y	-	y	3830674				POTENTIAL	1	y	complex	0	0	734
103	CCNA_00198	3830674	3831411	-	CDS	y	-	y	3830674				POTENTIAL	1	y	complex	0	0	0
105	CCNA_00200	3827675	3828610	-	CDS	n	-	n	3827549				TRUE	1	n	simple	0	0	126
108	CCNA_00204	3822693	3824594	-	CDS	y	-	y					NO	0	y	complex	0	0	
108	CCNA_00205	3822108	3822689	-	CDS	y	-	y					NO	0	y	complex	0	0	
108	CCNA_03916	3821845	3822108	-	CDS	y	-	y					NO	0	y	complex	0	0	
110	CCNA_00208	3819658	3820647	-	CDS	n	-	n					NO	0	n	simple	0	0	
111	CCNA_00209	3818003	3819577	-	CDS	n	-	n	3817880				TRUE	1	n	simple	0	0	123
115	CCNA_00216	3809068	3809460	-	CDS	n	-	n	3809046				TRUE	1	n	simple	0	0	22
117	CCNA_00218	3806053	3806799	-	CDS	n	-	n	3806015				TRUE	1	n	simple	0	0	38
119	CCNA_00221	3804794	3805288	-	CDS	n	-	n	3804747				POTENTIAL	1	n	simple	0	0	47
121	CCNA_00224	3800237	3802282	-	CDS	n	-	n	3800223				POTENTIAL	1	n	simple	0	0	14
124	CCNA_00227	3798874	3799440	-	CDS	y	-	y	3798203	3798239			TRUE	multiple	n	complex	0	0	671
124	CCNA_00228	3798260	3798874	-	CDS	y	-	y	3798203	3798239			TRUE	multiple	n	complex	0	0	57
126	CCNA_00230	3795927	3797165	-	CDS	n	-	n	3795885				TRUE	1	n	simple	0	0	42
128	CCNA_00232	3794977	3795393	-	CDS	n	-	n	3794977				POTENTIAL	1	n	simple	0	0	0
130	CCNA_00235	3792382	3792657	-	CDS	y	-	y	3790604				POTENTIAL	1	n	simple	0	0	1778
130	CCNA_00236	3790622	3792319	-	CDS	y	-	y	3790604				POTENTIAL	1	n	simple	0	0	18
132	CCNA_00243	3786120	3786518	-	CDS	n	-	n					NO	0	n	simple	0	0	
134	CCNA_00247	3783494	3784051	-	CDS	n	-	n	3783448				TRUE	1	n	simple	0	0	46
135	CCNA_00248	3782016	3783416	-	CDS	n	-	n	3782016				POTENTIAL	1	n	simple	0	0	0
137	CCNA_00252	3777185	3779146	-	CDS	n	-	n	3777118	3777135			TRUE	multiple	y	complex	0	0	67
140	CCNA_00255	3773743	3774867	-	CDS	y	-	y	3772873				POTENTIAL	1	n	simple	0	0	870
140	CCNA_00256	3772873	3773724	-	CDS	y	-	y	3772873				POTENTIAL	1	n	simple	0	0	0
141	CCNA_00257	3771363	3772754	-	CDS	n	-	n	3771305				TRUE	1	n	simple	0	0	58
143	CCNA_00259	3770310	3771020	-	CDS	n	-	n	3770241				TRUE	1	n	simple	0	0	69
144	CCNA_00260	3769372	3770058	-	CDS	n	-	n	3769130				TRUE	1	n	simple	0	0	242
147	CCNA_00263	3766693	3767115	-	CDS	n	-	n	3766669				TRUE	1	n	simple	0	0	24
148	CCNA_00264	3765293	3766546	-	CDS	n	-	n	3765187				POTENTIAL	1	n	simple	0	0	106
150	CCNA_00266	3762093	3763331	-	CDS	n	-	n					NO	0	n	simple	0	0	
151	CCNA_00267	3761058	3761999	-	CDS	n	-	n					NO	0	n	simple	0	0	
154	CCNA_00275	3753403	3754848	-	CDS	n	-	n					NO	0	n	simple	0	0	
155	CCNA_00276	3752834	3753313	-	CDS	n	-	n					NO	0	n	simple	0	0	
157	CCNA_00280	3749289	3750032	-	CDS	y	-	y	3748363				TRUE	1	n	simple	0	0	926
157	CCNA_00281	3748363	3749289	-	CDS	y	-	y	3748363				TRUE	1	n	simple	0	0	0
159	CCNA_00283	3746961	3747821	-	CDS	y	-	y	3745365				TRUE	1	n	simple	0	0	1596
159	CCNA_00284	3746299	3746964	-	CDS	y	-	y	3745365				TRUE	1	n	simple	0	0	934
159	CCNA_00285	3745388	3746302	-	CDS	y	-	y	3745365				TRUE	1	n	simple	0	0	23
160	CCNA_00286	3744737	3745195	-	CDS	y	-	y	3743590				TRUE	1	n	simple	0	0	1147
160	CCNA_00287	3743612	3744718	-	CDS	y	-	y	3743590				TRUE	1	n	simple	0	0	22
161	CCNA_00288	3742396	3743445	-	CDS	y	-	y	3742093				TRUE	1	n	simple	0	0	303
161	CCNA_00289	3742133	3742381	-	CDS	y	-	y	3742093				TRUE	1	n	simple	0	0	40
162	CCNA_00290	3738625	3741882	-	CDS	n	-	n	3738547	3738612			TRUE	multiple	y	complex	0	0	78
164	CCNA_00297	3731034	3731891	-	CDS	y	-	y					NO	0	n	simple	0	0	
164	CCNA_00298	3730264	3731037	-	CDS	y	-	y					NO	0	n	simple	0	0	
166	CCNA_00300	3728545	3728952	-	CDS	n	-	n	3728394				TRUE	1	n	simple	0	0	151
168	CCNA_00303	3724896	3725903	-	CDS	y	-	y	3720062				POTENTIAL	1	n	simple	0	0	4834
168	CCNA_00304	3723622	3724899	-	CDS	y	-	y	3720062				POTENTIAL	1	n	simple	0	0	3560
168	CCNA_00305	3722627	3723652	-	CDS	y	-	y	3720062				POTENTIAL	1	n	simple	0	0	2565
168	CCNA_00306	3721882	3722595	-	CDS	y	-	y	3720062				POTENTIAL	1	n	simple	0	0	1820
168	CCNA_00307	3720062	3721885	-	CDS	y	-	y	3720062				POTENTIAL	1	n	simple	0	0	0
170	CCNA_00309	3718885	3719118	-	CDS	y	-	y	3716261				TRUE	1	y	complex	0	0	2624
170	CCNA_00310	3718085	3718864	-	CDS	y	-	y	3716261				TRUE	1	y	complex	0	0	1824
170	CCNA_00311	3716757	3718088	-	CDS	y	-	y	3716261				TRUE	1	y	complex	0	0	496
170	CCNA_00312	3716300	3716701	-	CDS	y	-	y	3716261				TRUE	1	y	complex	0	0	39
171	CCNA_00313	3714386	3716215	-	CDS	y	-	y	3709959				TRUE	1	y	complex	0	0	4427
171	CCNA_00314	3713732	3714343	-	CDS	y	-	y	3709959				TRUE	1	y	complex	0	0	3773
171	CCNA_00315	3712177	3713706	-	CDS	y	-	y	3709959				TRUE	1	y	complex	0	0	2218
171	CCNA_00316	3711020	3712153	-	CDS	y	-	y	3709959				TRUE	1	y	complex	0	0	1061
171	CCNA_00317	3709959	3711023	-	CDS	y	-	y	3709959				TRUE	1	y	complex	0	0	0
173	CCNA_00319	3708173	3708706	-	CDS	n	-	n					NO	0	n	simple	0	0	
174	CCNA_00320	3707721	3707990	-	CDS	y	-	y	3707106	3707146	3707175		TRUE	multiple	n	complex	0	0	615
174	CCNA_00321	3707175	3707690	-	CDS	y	-	y	3707106	3707146	3707175		TRUE	multiple	n	complex	0	0	69
176	CCNA_00324	3704540	3704998	-	CDS	n	-	n	3704492	3704501			TRUE	multiple	n	complex	0	0	48
178	CCNA_00327	3702440	3703102	-	CDS	n	-	n					NO	0	n	simple	0	0	
180	CCNA_00330	3700328	3701098	-	CDS	n	-	n	3700273				TRUE	1	n	simple	0	0	55
182	CCNA_00333	3697973	3698800	-	CDS	n	-	n	3697925				TRUE	1	n	simple	0	0	48
186	CCNA_00345	3682754	3683587	-	CDS	n	-	n	3682731				TRUE	1	n	simple	0	0	23
189	CCNA_00348	3678709	3680712	-	CDS	n	-	n					NO	0	n	simple	0	0	
190	CCNA_00349	3677621	3678535	-	CDS	y	-	y	3676917				TRUE	1	n	simple	0	0	704
190	CCNA_00350	3676944	3677624	-	CDS	y	-	y	3676917				TRUE	1	n	simple	0	0	27
192	CCNA_00352	3673775	3674572	-	CDS	n	-	n	3673593	3673728			TRUE	multiple	n	complex	0	0	182
198	CCNA_00358	3667094	3667954	-	CDS	n	-	n	3667076				TRUE	1	n	simple	0	0	18
201	CCNA_00361	3664180	3665127	-	CDS	y	-	y	3660201				TRUE	1	y	complex	0	0	3979
201	CCNA_00362	3663643	3664128	-	CDS	y	-	y	3660201				TRUE	1	y	complex	0	0	3442
201	CCNA_00363	3662830	3663606	-	CDS	y	-	y	3660201				TRUE	1	y	complex	0	0	2629
201	CCNA_00364	3661657	3662751	-	CDS	y	-	y	3660201				TRUE	1	y	complex	0	0	1456
201	CCNA_00365	3660275	3661534	-	CDS	y	-	y	3660201				TRUE	1	y	complex	0	0	74
206	CCNA_00370	3654845	3655354	-	CDS	y	-	y	3652686				TRUE	1	y	complex	0	0	2159
206	CCNA_00371	3654301	3654834	-	CDS	y	-	y	3652686				TRUE	1	y	complex	0	0	1615
206	CCNA_00372	3653950	3654174	-	CDS	y	-	y	3652686				TRUE	1	y	complex	0	0	1264
206	CCNA_00373	3653139	3653900	-	CDS	y	-	y	3652686				TRUE	1	y	complex	0	0	453
206	CCNA_00374	3652753	3653133	-	CDS	y	-	y	3652686				TRUE	1	y	complex	0	0	67
208	CCNA_00377	3647534	3650977	-	CDS	y	-	y					NO	0	n	simple	0	0	
208	CCNA_00378	3646904	3647512	-	CDS	y	-	y					NO	0	n	simple	0	0	
208	CCNA_00379	3646290	3646904	-	CDS	y	-	y					NO	0	n	simple	0	0	
209	CCNA_00380	3645512	3646051	-	CDS	n	-	n	3645512				TRUE	1	n	simple	0	0	0
211	CCNA_00382	3643217	3644293	-	CDS	n	-	n	3643194				TRUE	1	y	complex	0	0	23
212	CCNA_00383	3642443	3643078	-	CDS	n	-	n	3642443				TRUE	1	n	simple	0	0	0
214	CCNA_00386	3639485	3640072	-	CDS	n	-	n	3639485				TRUE	1	n	simple	0	0	0
216	CCNA_00388	3637924	3638805	-	CDS	n	-	n	3637872				TRUE	1	n	simple	0	0	52
217	CCNA_00389	3637035	3637826	-	CDS	n	-	n	3636757	3637035			POTENTIAL	multiple	n	simple	0	0	278
220	CCNA_00393	3632378	3633604	-	CDS	y	-	y	3632014				TRUE	1	n	simple	0	0	364
220	CCNA_00394	3632031	3632381	-	CDS	y	-	y	3632014				TRUE	1	n	simple	0	0	17
222	CCNA_00396	3629320	3629997	-	CDS	n	-	n	3629297				TRUE	1	n	simple	0	0	23
224	CCNA_00398	3626166	3627524	-	CDS	n	-	n	3626148				TRUE	1	n	simple	0	0	18
226	CCNA_00406	3620392	3620760	-	CDS	n	-	n	3620201	3620337	3620356		TRUE	multiple	n	complex	0	0	191
228	CCNA_00408	3618622	3619890	-	CDS	n	-	n					NO	0	n	simple	0	0	
230	CCNA_00415	3613346	3614317	-	CDS	n	-	n					NO	0	n	simple	0	0	
231	CCNA_00416	3612807	3613205	-	CDS	y	-	y	3612388	3612408			POTENTIAL	multiple	n	simple	0	0	419
231	CCNA_00417	3612432	3612803	-	CDS	y	-	y	3612388	3612408			POTENTIAL	multiple	n	simple	0	0	44
233	CCNA_00420	3611045	3611596	-	CDS	y	-	y	3609733				TRUE	1	n	simple	0	0	1312
233	CCNA_00421	3610644	3611048	-	CDS	y	-	y	3609733				TRUE	1	n	simple	0	0	911
233	CCNA_00422	3609842	3610594	-	CDS	y	-	y	3609733				TRUE	1	n	simple	0	0	109
233	CCNA_03919	3609760	3609840	-	CDS	y	-	y	3609733				TRUE	1	n	simple	0	0	27
236	CCNA_00425	3606836	3607297	-	CDS	n	-	n	3606774	3606798			TRUE	multiple	y	complex	0	0	62
239	CCNA_00430	3605189	3605374	-	CDS	n	-	n					NO	0	n	simple	0	0	
241	CCNA_00432	3604280	3604774	-	CDS	n	-	n					NO	0	n	simple	0	0	
245	CCNA_00438	3597730	3598041	-	CDS	n	-	n	3597675	3597709			TRUE	multiple	n	complex	0	0	55
250	CCNA_00452	3583073	3584209	-	CDS	y	-	y					NO	0	n	simple	0	0	
250	CCNA_00453	3581982	3583073	-	CDS	y	-	y					NO	0	n	simple	0	0	
250	CCNA_00454	3581141	3581953	-	CDS	y	-	y					NO	0	n	simple	0	0	
250	CCNA_03920	3581062	3581130	-	CDS	y	-	y					NO	0	n	simple	0	0	
257	CCNA_00468	3560997	3561110	-	CDS	n	-	n	3560993				POTENTIAL	1	n	simple	0	0	4
258	CCNA_00469	3559476	3560699	-	CDS	n	-	n	3559436				TRUE	1	y	complex	0	0	40
259	CCNA_00470	3556798	3558141	-	CDS	y	-	y	3554720				TRUE	1	y	complex	0	0	2078
259	CCNA_00471	3555803	3556771	-	CDS	y	-	y	3554720				TRUE	1	y	complex	0	0	1083
259	CCNA_00472	3554761	3555837	-	CDS	y	-	y	3554720				TRUE	1	y	complex	0	0	41
261	CCNA_00473	3554162	3554656	-	CDS	y	-	y					NO	0	n	simple	0	0	
261	CCNA_00474	3551352	3554162	-	CDS	y	-	y					NO	0	n	simple	0	0	
261	CCNA_00475	3549601	3551418	-	CDS	y	-	y					NO	0	n	simple	0	0	
261	CCNA_00476	3549221	3549604	-	CDS	y	-	y					NO	0	n	simple	0	0	
262	CCNA_00477	3548646	3548840	-	CDS	n	-	n	3548441				POTENTIAL	1	n	simple	0	0	205
263	CCNA_00478	3547787	3548524	-	CDS	n	-	n	3547733				TRUE	1	n	simple	0	0	54
265	CCNA_00480	3545908	3547206	-	CDS	n	-	n					NO	0	n	simple	0	0	
267	CCNA_00483	3542706	3543551	-	CDS	n	-	n	3542668				TRUE	1	n	simple	0	0	38
268	CCNA_00484	3541915	3542616	-	CDS	y	-	y	3540712				TRUE	1	n	simple	0	0	1203
268	CCNA_00485	3540788	3541816	-	CDS	y	-	y	3540712				TRUE	1	n	simple	0	0	76
271	CCNA_00488	3535589	3536215	-	CDS	y	-	y	3535183				TRUE	1	n	simple	0	0	406
271	CCNA_00489	3535183	3535602	-	CDS	y	-	y	3535183				TRUE	1	n	simple	0	0	0
273	CCNA_00491	3533422	3534060	-	CDS	n	-	n	3533160	3533292			TRUE	multiple	n	complex	0	0	262
275	CCNA_00498	3527526	3527645	-	CDS	n	-	n					NO	0	n	simple	0	0	
276	CCNA_00499	3527085	3527450	-	CDS	y	-	y	3524348				TRUE	1	n	simple	0	0	2737
276	CCNA_00500	3526189	3527088	-	CDS	y	-	y	3524348				TRUE	1	n	simple	0	0	1841
276	CCNA_00501	3524513	3526192	-	CDS	y	-	y	3524348				TRUE	1	n	simple	0	0	165
279	CCNA_00504	3522737	3523201	-	CDS	n	-	n	3522644				TRUE	1	n	simple	0	0	93
281	CCNA_00508	3519003	3519776	-	CDS	n	-	n	3519003				TRUE	1	n	simple	0	0	0
282	CCNA_00509	3518404	3518937	-	CDS	y	-	y	3515865				TRUE	1	y	complex	0	0	2539
282	CCNA_00510	3517730	3518407	-	CDS	y	-	y	3515865				TRUE	1	y	complex	0	0	1865
282	CCNA_00511	3517050	3517730	-	CDS	y	-	y	3515865				TRUE	1	y	complex	0	0	1185
282	CCNA_00512	3515885	3516985	-	CDS	y	-	y	3515865				TRUE	1	y	complex	0	0	20
286	CCNA_00516	3510498	3511247	-	CDS	y	-	y	3509107				TRUE	1	n	simple	0	0	1391
286	CCNA_00517	3509878	3510495	-	CDS	y	-	y	3509107				TRUE	1	n	simple	0	0	771
286	CCNA_00518	3509197	3509790	-	CDS	y	-	y	3509107				TRUE	1	n	simple	0	0	90
287	CCNA_00519	3507963	3509039	-	CDS	n	-	n	3507914	3507937			TRUE	multiple	n	complex	0	0	49
288	CCNA_00520	3506794	3507732	-	CDS	n	-	n	3506764				POTENTIAL	1	n	simple	0	0	30
289	CCNA_00521	3506402	3506653	-	CDS	y	-	y					NO	0	y	complex	0	0	
289	CCNA_00522	3506125	3506421	-	CDS	y	-	y					NO	0	y	complex	0	0	
289	CCNA_00523	3505292	3506077	-	CDS	y	-	y					NO	0	y	complex	0	0	
289	CCNA_00524	3504171	3505295	-	CDS	y	-	y					NO	0	y	complex	0	0	
289	CCNA_00525	3503276	3504184	-	CDS	y	-	y					NO	0	y	complex	0	0	
294	CCNA_00533	3496743	3498065	-	CDS	n	-	n					NO	0	n	simple	0	0	
