operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	changed
443	CCNA_00782	CCNA_00782	842489	844108	-	n	0
446	CCNA_00785	CCNA_00785	848157	849932	-	n	0
449	CCNA_00789	CCNA_00789	852873	853523	-	n	0
454	CCNA_00795	CCNA_00799	858980	864705	-	y	0
457	CCNA_00804	CCNA_00804	868374	868859	-	n	0
460	CCNA_00814	CCNA_00814	877757	878080	-	n	0
461	CCNA_00815	CCNA_00817	878273	881284	-	y	0
462	CCNA_00818	CCNA_00821	881445	883889	-	y	0
463	CCNA_00822	CCNA_00822	883961	884305	-	n	0
465	CCNA_00825	CCNA_00826	886217	887742	-	y	0
470	CCNA_00832	CCNA_00832	897582	898481	-	n	0
475	CCNA_00837	CCNA_00837	903123	904739	-	n	0
476	CCNA_00838	CCNA_00838	904900	906873	-	n	0
479	CCNA_00841	CCNA_00841	911803	913419	-	n	0
481	CCNA_00843	CCNA_00843	915317	916645	-	n	0
484	CCNA_00848	CCNA_00851	921330	927470	-	y	0
486	CCNA_00853	CCNA_00853	928249	929016	-	n	0
488	CCNA_00855	CCNA_00855	930735	931592	-	n	0
489	CCNA_00856	CCNA_00856	931733	933355	-	n	0
494	CCNA_00864	CCNA_00866	942458	945817	-	y	0
504	CCNA_00882	CCNA_00882	961855	962853	-	n	0
509	CCNA_00889	CCNA_00889	967313	967756	-	n	0
510	CCNA_00890	CCNA_00890	967847	968767	-	n	0
515	CCNA_00896	CCNA_00896	975549	975920	-	n	0
517	CCNA_00898	CCNA_00899	976253	978094	-	y	0
519	CCNA_00901	CCNA_00901	980770	981606	-	n	0
521	CCNA_00905	CCNA_00913	985509	993209	-	y	0
522	CCNA_00914	CCNA_00914	993288	993815	-	n	0
531	CCNA_00927	CCNA_00928	1003804	1005102	-	y	0
534	CCNA_00935	CCNA_00935	1010693	1011679	-	n	0
537	CCNA_00938	CCNA_00938	1013086	1014273	-	n	0
540	CCNA_00941	CCNA_03944	1017151	1021586	-	y	0
551	CCNA_00964	CCNA_00964	1039648	1039740	-	n	0
552	CCNA_00965	CCNA_00965	1039915	1040613	-	n	0
558	CCNA_00971	CCNA_00971	1049148	1050041	-	n	0
560	CCNA_00973	CCNA_00973	1050375	1050782	-	n	0
568	CCNA_00988	CCNA_00988	1068127	1069569	-	n	0
570	CCNA_00990	CCNA_00991	1071582	1072560	-	y	0
571	CCNA_00992	CCNA_00992	1072625	1073638	-	n	0
572	CCNA_00993	CCNA_00993	1073710	1075248	-	n	0
573	CCNA_00994	CCNA_00994	1075409	1077076	-	n	0
584	CCNA_01014	CCNA_01014	1094791	1095267	-	n	0
587	CCNA_01018	CCNA_01018	1099898	1100821	-	n	0
593	CCNA_01027	CCNA_01027	1113648	1114013	-	n	0
595	CCNA_01029	CCNA_01029	1115733	1118816	-	n	0
596	CCNA_01030	CCNA_01030	1118884	1119501	-	n	0
600	CCNA_01036	CCNA_01036	1129199	1132048	-	n	0
603	CCNA_01041	CCNA_01041	1136570	1136704	-	n	0
606	CCNA_01045	CCNA_01046	1140749	1141746	-	y	0
621	CCNA_01068	CCNA_01068	1172841	1174130	-	n	0
623	CCNA_01070	CCNA_01071	1176508	1178732	-	y	0
624	CCNA_01072	CCNA_01072	1178906	1179061	-	n	0
625	CCNA_01073	CCNA_01074	1179165	1179754	-	y	0
627	CCNA_01075	CCNA_01076	1179849	1180887	-	y	0
628	CCNA_01077	CCNA_01077	1180973	1183075	-	n	0
630	CCNA_01079	CCNA_01079	1184014	1184190	-	n	0
632	CCNA_01082	CCNA_01082	1185664	1186698	-	n	0
635	CCNA_01086	CCNA_01086	1191305	1193113	-	n	0
638	CCNA_01091	CCNA_01093	1197735	1198962	-	y	0
640	CCNA_01095	CCNA_01096	1199533	1203163	-	y	0
645	CCNA_01103	CCNA_01104	1208972	1211112	-	y	0
650	CCNA_01113	CCNA_01115	1218139	1220338	-	y	0
659	CCNA_01124	CCNA_01124	1229340	1230383	-	n	0
664	CCNA_01134	CCNA_01137	1238520	1240868	-	y	0
670	CCNA_01143	CCNA_01145	1247757	1250288	-	y	0
673	CCNA_01149	CCNA_01149	1251371	1254007	-	n	0
685	CCNA_01166	CCNA_01168	1284624	1287783	-	y	0
686	CCNA_01169	CCNA_01170	1287879	1291355	-	y	0
693	CCNA_01180	CCNA_01180	1299008	1301185	-	n	0
694	CCNA_01181	CCNA_01181	1301278	1301802	-	n	0
696	CCNA_01185	CCNA_01185	1304093	1304443	-	n	0
701	CCNA_01191	CCNA_01193	1311323	1315289	-	y	0
702	CCNA_01194	CCNA_01194	1315500	1317953	-	n	0
703	CCNA_01195	CCNA_01195	1318104	1319129	-	n	0
705	CCNA_01197	CCNA_01197	1321300	1321470	-	n	0
707	CCNA_01200	CCNA_01200	1323479	1325734	-	n	0
710	CCNA_01204	CCNA_01204	1330891	1331838	-	n	0
714	CCNA_01216	CCNA_01216	1342538	1343455	-	n	0
717	CCNA_01222	CCNA_01226	1348063	1353818	-	y	0
719	CCNA_01229	CCNA_01229	1355671	1357023	-	n	0
724	CCNA_01236	CCNA_01237	1363099	1363481	-	y	0
733	CCNA_01255	CCNA_01255	1382977	1383126	-	n	0
738	CCNA_01264	CCNA_01264	1394767	1395261	-	n	0
741	CCNA_01266	CCNA_01267	1395597	1396687	-	y	0
745	CCNA_01274	CCNA_01274	1400085	1401608	-	n	0
756	CCNA_01293	CCNA_01293	1418341	1418772	-	n	0
768	CCNA_01333	CCNA_01333	1446332	1446724	-	n	0
769	CCNA_01334	CCNA_01335	1446891	1448638	-	y	0
779	CCNA_01351	CCNA_01353	1463228	1467880	-	y	0
781	CCNA_01354	CCNA_01354	1468212	1469198	-	n	0
787	CCNA_01366	CCNA_01366	1482020	1482244	-	n	0
798	CCNA_01384	CCNA_01384	1500699	1502186	-	n	0
813	CCNA_01408	CCNA_01410	1526164	1529118	-	y	0
831	CCNA_01439	CCNA_01439	1551231	1552631	-	n	0
844	CCNA_01462	CCNA_01462	1569294	1570469	-	n	0
848	CCNA_01466	CCNA_01466	1574323	1574589	-	n	0
861	CCNA_01491	CCNA_01493	1599999	1603113	-	y	0
862	CCNA_01494	CCNA_01495	1603290	1606026	-	y	0
867	CCNA_01501	CCNA_01503	1611887	1613346	-	y	0
868	CCNA_01504	CCNA_01505	1614298	1616739	-	y	0
869	CCNA_01506	CCNA_01508	1616805	1618991	-	y	0
886	CCNA_01537	CCNA_01537	1645354	1645890	-	n	0
891	CCNA_01542	CCNA_01542	1651185	1653455	-	n	0
894	CCNA_01546	CCNA_01546	1656352	1658577	-	n	0
905	CCNA_01566	CCNA_01566	1682996	1683307	-	n	0
910	CCNA_01571	CCNA_01573	1688684	1690118	-	y	0
913	CCNA_01576	CCNA_01577	1692309	1694450	-	y	0
920	CCNA_01584	CCNA_01584	1699686	1702070	-	n	0
923	CCNA_01589	CCNA_01589	1708112	1709248	-	n	0
927	CCNA_01594	CCNA_01596	1715035	1718895	-	y	0
930	CCNA_01599	CCNA_01600	1720927	1722017	-	y	0
936	CCNA_01605	CCNA_01606	1725350	1726562	-	y	0
938	CCNA_01608	CCNA_01608	1727463	1728137	-	n	0
960	CCNA_01650	CCNA_01650	1770655	1771179	-	n	0
964	CCNA_01656	CCNA_01657	1777143	1778806	-	y	0
982	CCNA_01693	CCNA_01695	1820814	1826589	-	y	0
983	CCNA_01696	CCNA_01696	1826794	1828470	-	n	0
986	CCNA_01699	CCNA_01699	1830513	1831520	-	n	0
991	CCNA_01709	CCNA_01710	1840745	1842606	-	y	0
998	CCNA_01728	CCNA_01735	1856420	1864189	-	y	0
1000	CCNA_01737	CCNA_01737	1864901	1866424	-	n	0
1004	CCNA_01743	CCNA_01743	1871442	1872251	-	n	0
1005	CCNA_01744	CCNA_01744	1872325	1873437	-	n	0
1006	CCNA_01745	CCNA_01745	1873509	1874042	-	n	0
1010	CCNA_01754	CCNA_01754	1881367	1881672	-	n	0
1011	CCNA_01755	CCNA_01755	1881785	1883437	-	n	0
1012	CCNA_01756	CCNA_01756	1883535	1883654	-	n	0
1014	CCNA_01760	CCNA_01762	1887107	1891771	-	y	0
1019	CCNA_01768	CCNA_01769	1895834	1898175	-	y	0
1021	CCNA_01771	CCNA_01771	1898688	1898930	-	n	0
1028	CCNA_01780	CCNA_01780	1906954	1908453	-	n	0
1029	CCNA_01781	CCNA_01782	1908544	1911152	-	y	0
1034	CCNA_01787	CCNA_01787	1914921	1915856	-	n	0
1035	CCNA_01788	CCNA_01788	1916111	1916470	-	n	0
1036	CCNA_01789	CCNA_01789	1916649	1917164	-	n	0
1041	CCNA_01794	CCNA_01794	1920971	1921741	-	n	0
1046	CCNA_01807	CCNA_01808	1931701	1934419	-	y	0
1048	CCNA_01811	CCNA_01812	1935926	1937604	-	y	0
1052	CCNA_01823	CCNA_01823	1950040	1950258	-	n	0
1053	CCNA_01824	CCNA_01824	1950334	1950669	-	n	0
1056	CCNA_01828	CCNA_01828	1954767	1955342	-	n	0
1061	CCNA_01834	CCNA_01835	1965009	1968214	-	y	0
1063	CCNA_01837	CCNA_01837	1969053	1970081	-	n	0
1069	CCNA_01844	CCNA_01844	1976177	1976803	-	n	0
1070	CCNA_01845	CCNA_01851	1977086	1983781	-	y	0
1077	CCNA_01862	CCNA_01863	1996891	1998630	-	y	0
1079	CCNA_01868	CCNA_01869	2005193	2008671	-	y	0
1082	CCNA_01874	CCNA_01874	2010768	2012213	-	n	0
1084	CCNA_01876	CCNA_01876	2014046	2015716	-	n	0
1086	CCNA_01878	CCNA_01878	2016779	2018377	-	n	0
1088	CCNA_01885	CCNA_01885	2024476	2025252	-	n	0
1089	CCNA_01886	CCNA_01886	2025426	2028326	-	n	0
1091	CCNA_01889	CCNA_01889	2029278	2030912	-	n	0
1093	CCNA_01891	CCNA_01891	2032774	2033601	-	n	0
1095	CCNA_01894	CCNA_01894	2035926	2037557	-	n	0
1097	CCNA_01896	CCNA_01896	2039570	2039776	-	n	0
1101	CCNA_01907	CCNA_01909	2052344	2055085	-	y	0
1107	CCNA_01916	CCNA_01916	2058860	2059846	-	n	0
1149	CCNA_02002	CCNA_02002	2148110	2148739	-	n	0
1153	CCNA_02012	CCNA_02033	2158098	2177472	-	y	0
1154	CCNA_02035	CCNA_02035	2178958	2180166	-	n	0
1161	CCNA_02043	CCNA_02045	2188693	2192279	-	y	0
1164	CCNA_02049	CCNA_02049	2196860	2197255	-	n	0
1175	CCNA_02066	CCNA_02066	2218017	2218730	-	n	0
1180	CCNA_02076	CCNA_02078	2226974	2229875	-	y	0
1181	CCNA_02080	CCNA_02081	2230926	2232427	-	y	0
1186	CCNA_02089	CCNA_02089	2237967	2238341	-	n	0
1188	CCNA_02092	CCNA_02092	2240106	2240744	-	n	0
1199	CCNA_02106	CCNA_02106	2253663	2256422	-	n	0
1203	CCNA_02114	CCNA_02114	2263333	2263515	-	n	0
1205	CCNA_02116	CCNA_02116	2265728	2266525	-	n	0
1206	CCNA_02117	CCNA_02117	2266640	2267236	-	n	0
1213	CCNA_02127	CCNA_02127	2279617	2281278	-	n	0
1216	CCNA_02130	CCNA_02131	2283929	2287844	-	y	0
1225	CCNA_02152	CCNA_02153	2308548	2310124	-	y	0
1238	CCNA_02175	CCNA_02175	2327877	2328401	-	n	0
1243	CCNA_02180	CCNA_02180	2331553	2332653	-	n	0
1244	CCNA_02181	CCNA_02182	2332741	2334281	-	y	0
1251	CCNA_02192	CCNA_02193	2343481	2344412	-	y	0
1253	CCNA_02196	CCNA_02196	2346386	2346784	-	n	0
1257	CCNA_02201	CCNA_02201	2349785	2350345	-	n	0
1265	CCNA_02209	CCNA_02209	2356825	2357847	-	n	0
1275	CCNA_02220	CCNA_02220	2366252	2367700	-	n	0
1276	CCNA_02221	CCNA_02227	2367923	2375982	-	y	0
1279	CCNA_02230	CCNA_02230	2376868	2377827	-	n	0
1283	CCNA_02234	CCNA_02234	2383122	2383457	-	n	0
1291	CCNA_03964	CCNA_02245	2394598	2395106	-	y	0
1294	CCNA_02248	CCNA_02249	2397073	2397635	-	y	0
1297	CCNA_02254	CCNA_02254	2404518	2405678	-	n	0
1300	CCNA_02257	CCNA_02257	2409069	2409380	-	n	0
1309	CCNA_02268	CCNA_02268	2420938	2421585	-	n	0
1312	CCNA_02271	CCNA_02273	2423833	2425212	-	y	0
1324	CCNA_02289	CCNA_02291	2437366	2439589	-	y	0
1325	CCNA_02292	CCNA_02293	2439791	2441148	-	y	0
1327	CCNA_02297	CCNA_02298	2444280	2445762	-	y	0
1331	CCNA_02308	CCNA_02308	2453477	2454331	-	n	0
1335	CCNA_02313	CCNA_02313	2458478	2459416	-	n	0
1338	CCNA_02319	CCNA_02319	2461698	2462216	-	n	0
1342	CCNA_02324	CCNA_02324	2465823	2466731	-	n	0
1354	CCNA_02343	CCNA_02343	2482784	2484043	-	n	0
1363	CCNA_02356	CCNA_02356	2495393	2496361	-	n	0
1365	CCNA_02357	CCNA_02361	2496500	2501627	-	y	0
1366	CCNA_02362	CCNA_02362	2501722	2502216	-	n	0
1372	CCNA_02368	CCNA_02369	2510397	2513830	-	y	0
1375	CCNA_02372	CCNA_02375	2518633	2520256	-	y	0
1379	CCNA_02379	CCNA_02380	2522509	2523348	-	y	0
1383	CCNA_02386	CCNA_02389	2529502	2534233	-	y	0
1387	CCNA_02394	CCNA_02394	2537390	2538052	-	n	0
1389	CCNA_02396	CCNA_02396	2538661	2539389	-	n	0
1391	CCNA_02398	CCNA_02398	2540198	2541193	-	n	0
1396	CCNA_02407	CCNA_02407	2549896	2550660	-	n	0
1397	CCNA_02408	CCNA_02408	2550731	2551864	-	n	0
1400	CCNA_02411	CCNA_02411	2555134	2556000	-	n	0
1418	CCNA_02439	CCNA_02440	2579905	2582247	-	y	0
1420	CCNA_02442	CCNA_02442	2582757	2584259	-	n	0
1422	CCNA_02444	CCNA_02444	2585347	2586378	-	n	0
1429	CCNA_02456	CCNA_02456	2597600	2598337	-	n	0
1430	CCNA_02457	CCNA_02457	2598431	2599438	-	n	0
1438	CCNA_02470	CCNA_02470	2612678	2613682	-	n	0
1442	CCNA_02478	CCNA_02481	2622982	2629109	-	y	0
1443	CCNA_02482	CCNA_02485	2629234	2634048	-	y	0
1446	CCNA_02496	CCNA_02497	2644382	2647773	-	y	0
1448	CCNA_02506	CCNA_02506	2656074	2656214	-	n	0
1450	CCNA_02511	CCNA_02513	2661300	2664847	-	y	0
1465	CCNA_02538	CCNA_02538	2687023	2688045	-	n	0
1476	CCNA_02559	CCNA_02559	2706236	2706730	-	n	0
1489	CCNA_02578	CCNA_02578	2729198	2729842	-	n	0
1497	CCNA_02593	CCNA_02593	2741733	2742110	-	n	0
1500	CCNA_02597	CCNA_02597	2744512	2744892	-	n	0
1509	CCNA_02611	CCNA_02611	2757266	2758156	-	n	0
1512	CCNA_02615	CCNA_02617	2762802	2766480	-	y	0
1513	CCNA_02618	CCNA_02618	2766600	2767070	-	n	0
1517	CCNA_02622	CCNA_02622	2769600	2771456	-	n	0
1518	CCNA_02624	CCNA_02626	2773477	2776684	-	y	0
1522	CCNA_02631	CCNA_02631	2781597	2781770	-	n	0
1525	CCNA_02634	CCNA_02635	2785244	2787501	-	y	0
1529	CCNA_02647	CCNA_02647	2800802	2801722	-	n	0
1531	CCNA_02649	CCNA_02651	2803178	2805407	-	y	0
1535	CCNA_02655	CCNA_02655	2808776	2809300	-	n	0
1554	CCNA_02680	CCNA_02680	2832742	2833680	-	n	0
1556	CCNA_02682	CCNA_02683	2835214	2837312	-	y	0
1561	CCNA_02692	CCNA_02692	2845243	2845935	-	n	0
1563	CCNA_02694	CCNA_02694	2848273	2849238	-	n	0
1565	CCNA_02699	CCNA_02703	2852575	2859109	-	y	0
1571	CCNA_02710	CCNA_02710	2869616	2870272	-	n	0
1584	CCNA_02733	CCNA_02735	2895430	2897845	-	y	0
1588	CCNA_02739	CCNA_02740	2899970	2901381	-	y	0
1591	CCNA_02742	CCNA_02743	2902466	2906294	-	y	0
1592	CCNA_02744	CCNA_02744	2906466	2907182	-	n	0
1593	CCNA_02745	CCNA_02745	2907542	2908183	-	n	0
1597	CCNA_02749	CCNA_02751	2910514	2912677	-	y	0
1599	CCNA_02753	CCNA_02753	2915012	2917471	-	n	0
1602	CCNA_02756	CCNA_02756	2920073	2920831	-	n	0
1608	CCNA_02764	CCNA_02770	2926215	2931532	-	y	0
1611	CCNA_02775	CCNA_02775	2934282	2934473	-	n	0
1618	CCNA_02788	CCNA_02788	2945506	2945736	-	n	0
1619	CCNA_02789	CCNA_02789	2945814	2946023	-	n	0
1623	CCNA_02794	CCNA_02795	2953501	2955908	-	y	0
1624	CCNA_02796	CCNA_02797	2955973	2956338	-	y	0
1625	CCNA_02798	CCNA_02798	2956406	2957080	-	n	0
1627	CCNA_02801	CCNA_02801	2958323	2959330	-	n	0
1633	CCNA_02815	CCNA_02816	2971567	2973908	-	y	0
1636	CCNA_02819	CCNA_02819	2975200	2975355	-	n	0
1647	CCNA_02833	CCNA_02838	2987156	2991021	-	y	0
1648	CCNA_02839	CCNA_02839	2991299	2994175	-	n	0
1655	CCNA_02852	CCNA_02852	3005378	3006748	-	n	0
1656	CCNA_02853	CCNA_02855	3006909	3009450	-	y	0
1657	CCNA_02856	CCNA_02859	3009579	3011953	-	y	0
1660	CCNA_02861	CCNA_02862	3013149	3016860	-	y	0
1661	CCNA_02863	CCNA_02865	3016985	3018863	-	y	0
1665	CCNA_02867	CCNA_02869	3019649	3020612	-	y	0
1666	CCNA_02870	CCNA_03882	3020768	3021876	-	y	0
1667	CCNA_02872	CCNA_02872	3022019	3023239	-	n	0
1670	CCNA_02874	CCNA_02877	3023772	3025917	-	y	0
1671	CCNA_02878	CCNA_02878	3026557	3026715	-	n	0
1672	CCNA_02879	CCNA_02879	3026790	3026885	-	n	0
1673	CCNA_02880	CCNA_02880	3027016	3028719	-	n	0
1675	CCNA_02882	CCNA_02883	3030666	3032707	-	y	0
1676	CCNA_02884	CCNA_02884	3032855	3033622	-	n	0
1684	CCNA_02893	CCNA_02894	3040378	3043390	-	y	0
1690	CCNA_02902	CCNA_02902	3056617	3058752	-	n	0
1694	CCNA_02908	CCNA_02908	3063971	3064684	-	n	0
1701	CCNA_02923	CCNA_02923	3082765	3085839	-	n	0
1719	CCNA_02945	CCNA_02945	3104687	3106648	-	n	0
1724	CCNA_02955	CCNA_02957	3114400	3116042	-	y	0
1732.5	CCNA_03902	CCNA_03883	3125238	3125986	-	y	0
1734	CCNA_02972	CCNA_02972	3128129	3128749	-	n	0
1748	CCNA_02992	CCNA_02993	3144917	3146679	-	y	0
1754	CCNA_02999	CCNA_03000	3153497	3155121	-	y	0
1762	CCNA_03014	CCNA_03017	3167565	3170129	-	y	0
1763	CCNA_03019	CCNA_03019	3171579	3174431	-	n	0
1777	CCNA_03047	CCNA_03049	3200639	3204485	-	y	0
1779	CCNA_03051	CCNA_03051	3205573	3205971	-	n	0
1780	CCNA_03052	CCNA_03052	3206175	3207347	-	n	0
1783	CCNA_03055	CCNA_03055	3208375	3209055	-	n	0
1786	CCNA_03057	CCNA_03059	3210738	3212571	-	y	0
1793	CCNA_03067	CCNA_03067	3219562	3219960	-	n	0
1800	CCNA_03884	CCNA_03081	3228846	3229471	-	y	0
1802	CCNA_03083	CCNA_03083	3231328	3233052	-	n	0
1804	CCNA_03085	CCNA_03085	3234537	3235514	-	n	0
1805	CCNA_03086	CCNA_03086	3235578	3236024	-	n	0
1812	CCNA_03096	CCNA_03096	3245189	3247684	-	n	0
1816	CCNA_03101	CCNA_03102	3251453	3253851	-	y	0
1824	CCNA_03112	CCNA_03112	3261956	3263242	-	n	0
1831	CCNA_03121	CCNA_03123	3268559	3269770	-	y	0
1835	CCNA_03128	CCNA_03128	3276178	3277110	-	n	0
1836	CCNA_03129	CCNA_03129	3277316	3278692	-	n	0
1842	CCNA_03139	CCNA_03139	3288469	3290322	-	n	0
1844	CCNA_03142	CCNA_03142	3292250	3294208	-	n	0
1846	CCNA_03144	CCNA_03144	3296493	3298424	-	n	0
1851	CCNA_03150	CCNA_03150	3306126	3306284	-	n	0
1857	CCNA_03160	CCNA_03160	3316096	3316611	-	n	0
1861	CCNA_03165	CCNA_03165	3323565	3324974	-	n	0
1863	CCNA_03167	CCNA_03167	3325776	3326630	-	n	0
1866	CCNA_03170	CCNA_03172	3328757	3332722	-	y	0
1871	CCNA_03180	CCNA_03180	3339416	3340147	-	n	0
1873	CCNA_03184	CCNA_03184	3344054	3345748	-	n	0
1875	CCNA_03186	CCNA_03186	3346487	3347602	-	n	0
1881	CCNA_03196	CCNA_03196	3356661	3356855	-	n	0
1884	CCNA_03199	CCNA_03199	3358667	3359806	-	n	0
1892	CCNA_03208	CCNA_03209	3370723	3372908	-	y	0
1894	CCNA_03211	CCNA_03212	3374076	3375323	-	y	0
1899	CCNA_03217	CCNA_03217	3377955	3378587	-	n	0
1905	CCNA_03228	CCNA_03988	3392256	3397646	-	y	0
1906	CCNA_03233	CCNA_03241	3397643	3407138	-	y	0
1907	CCNA_03242	CCNA_03244	3407266	3410946	-	y	0
1919	CCNA_03259	CCNA_03262	3429300	3431492	-	y	0
1928	CCNA_03271	CCNA_03271	3439382	3440587	-	n	0
1929	CCNA_03274	CCNA_03275	3442639	3442846	-	y	0
1931	CCNA_03277	CCNA_03277	3443992	3445041	-	n	0
1933	CCNA_03279	CCNA_03279	3446411	3447247	-	n	0
