operon no.	locus tag	start	end 	sense		in operon	strand	in_operon	P1	P2	P3	P4	TSS_type	number_of_TSS	internal 	flag	non-coding	RNA	distance_between_start_and_first_tss
72	CCNA_00132	141633	142433	+	CDS	y	+	y	140974	0	0	0	TRUE	1	y	complex	0	0	145
72	CCNA_00133	142680	143894	+	CDS	y	+	y	140974	0	0	0	TRUE	1	y	complex	0	0	145
72	CCNA_00134	143989	144417	+	CDS	y	+	y	140974	0	0	0	TRUE	1	y	complex	0	0	145
72	CCNA_00135	144443	145276	+	CDS	y	+	y	140974	0	0	0	TRUE	1	y	complex	0	0	145
75	CCNA_00138	148752	150944	+	CDS	n	+	n	148715	0	0	0	TRUE	1	y	complex	0	0	37
78	CCNA_00146	157593	158186	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
79	CCNA_00147	158354	158470	+	CDS	n	+	n	158298	0	0	0	POTENTIAL	1	n	simple	0	0	56
80	CCNA_00148	158546	159079	+	CDS	y	+	y	158298	0	0	0	POTENTIAL	1	n	simple	0	0	248
80	CCNA_00149	159096	159323	+	CDS	y	+	y	158298	0	0	0	POTENTIAL	1	n	simple	0	0	248
83	CCNA_00152	161320	162396	+	CDS	y	+	y	161242	0	0	0	TRUE	1	y	complex	0	0	78
83	CCNA_00153	162409	163035	+	CDS	y	+	y	161242	0	0	0	TRUE	1	y	complex	0	0	78
85	CCNA_00155	163413	164531	+	CDS	y	+	y	163343	0	0	0	TRUE	1	n	simple	0	0	70
85	CCNA_00156	164664	164951	+	CDS	y	+	y	163343	0	0	0	TRUE	1	n	simple	0	0	70
85.1	CCNA_00157	165022	165393	+	CDS	n	+	n	165000	0	0	0	TRUE	1	n	simple	0	0	22
86	CCNA_00158	165621	166784	+	CDS	y	+	y	165621	0	0	0	POTENTIAL	1	n	simple	0	0	0
86	CCNA_00159	166781	169246	+	CDS	y	+	y	165621	0	0	0	POTENTIAL	1	n	simple	0	0	0
87	CCNA_00160	169387	170526	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
88	CCNA_00161	170951	171577	+	CDS	n	+	n	170741	170748	170951	0	TRUE	multiple	n	complex	0	0	210
89	CCNA_00162	171649	172917	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
89	CCNA_00163	172964	175183	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
89	CCNA_00164	175173	177098	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
92	CCNA_00167	179311	180120	+	CDS	n	+	n	179292	0	0	0	TRUE	1	y	complex	0	0	19
92.1	CCNA_00168	180205	180801	+	CDS	n	+	n	180165	0	0	0	TRUE	1	n	simple	0	0	40
93	CCNA_00169	181379	182917	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
94	CCNA_00170	182997	185663	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
95	CCNA_00171	185853	186290	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00172	186287	188350	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00173	188347	189822	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00174	189809	191020	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00175	191032	191484	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00176	191399	191956	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00177	191925	192308	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00178	192305	192895	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00179	192892	193866	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00180	193848	194954	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00181	194951	195427	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
95	CCNA_00182	195424	196140	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
99	CCNA_00189	203869	204135	+	CDS	y	+	y	203820	0	0	0	TRUE	1	n	simple	0	0	49
99	CCNA_00190	204137	204571	+	CDS	y	+	y	203820	0	0	0	TRUE	1	n	simple	0	0	49
99	CCNA_00191	204697	205173	+	CDS	y	+	y	203820	0	0	0	TRUE	1	n	simple	0	0	49
104	CCNA_00199	212387	214267	+	CDS	n	+	n	212363	0	0	0	TRUE	1	n	simple	0	0	24
106	CCNA_00201	215418	216098	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
107	CCNA_00202	216215	217270	+	CDS	y	+	y	216190	0	0	0	TRUE	1	n	simple	0	0	25
107	CCNA_00203	217328	218332	+	CDS	y	+	y	216190	0	0	0	TRUE	1	n	simple	0	0	25
109	CCNA_00206	220931	221641	+	CDS	y	+	y	220865	220894	0	0	TRUE	multiple	n	complex	0	0	66
109	CCNA_00207	221641	222282	+	CDS	y	+	y	220865	220894	0	0	TRUE	multiple	n	complex	0	0	66
112	CCNA_00210	225115	227526	+	CDS	y	+	y	225058	0	0	0	TRUE	1	y	complex	0	0	57
112	CCNA_00211	227686	228693	+	CDS	y	+	y	225058	0	0	0	TRUE	1	y	complex	0	0	57
112	CCNA_00212	228693	229571	+	CDS	y	+	y	225058	0	0	0	TRUE	1	y	complex	0	0	57
112	CCNA_00213	229568	230116	+	CDS	y	+	y	225058	0	0	0	TRUE	1	y	complex	0	0	57
113	CCNA_00214	230262	232307	+	CDS	n	+	n	230205	0	0	0	TRUE	1	y	complex	0	0	57
114	CCNA_00215	232614	233402	+	CDS	n	+	n	232550	0	0	0	TRUE	1	y	complex	0	0	64
116	CCNA_00217	233977	236127	+	CDS	n	+	n	0	0	0	0	NO	0	y	complex	0	0	0
118	CCNA_00220	237030	237635	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
120	CCNA_00222	238241	239860	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
120	CCNA_00223	239869	240651	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
122	CCNA_00225	243024	243056	+	CDS	n	+	n	243002	0	0	0	POTENTIAL	1	n	simple	0	0	22
123	CCNA_00226	243157	243432	+	CDS	n	+	n	243002	0	0	0	POTENTIAL	1	n	simple	0	0	155
125	CCNA_00229	244790	245764	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
127	CCNA_00231	247055	247540	+	CDS	n	+	n	246989	0	0	0	TRUE	1	n	simple	0	0	66
129	CCNA_00233	248082	249119	+	CDS	y	+	y	248014	248025	0	0	TRUE	multiple	y	complex	0	0	68
129	CCNA_00234	249116	250276	+	CDS	y	+	y	248014	248025	0	0	TRUE	multiple	y	complex	0	0	68
131	CCNA_00237	252525	253232	+	CDS	y	+	y	252437	0	0	0	TRUE	1	y	complex	0	0	88
131	CCNA_00238	253207	254811	+	CDS	y	+	y	252437	0	0	0	TRUE	1	y	complex	0	0	88
131	CCNA_00239	254808	255242	+	CDS	y	+	y	252437	0	0	0	TRUE	1	y	complex	0	0	88
131.1	CCNA_00240	255318	255725	+	CDS	y	+	y	255224	0	0	0	TRUE	1	n	simple	0	0	94
131.1	CCNA_00241	255722	256000	+	CDS	y	+	y	255224	0	0	0	TRUE	1	n	simple	0	0	94
133	CCNA_00244	256953	257594	+	CDS	y	+	y	256932	0	0	0	POTENTIAL	1	n	simple	0	0	21
133	CCNA_00245	257623	257907	+	CDS	y	+	y	256932	0	0	0	POTENTIAL	1	n	simple	0	0	21
133	CCNA_00246	257952	258737	+	CDS	y	+	y	256932	0	0	0	POTENTIAL	1	n	simple	0	0	21
136	CCNA_00249	260971	261561	+	CDS	y	+	y	260870	0	0	0	TRUE	1	y	complex	0	0	101
136	CCNA_00250	261642	262904	+	CDS	y	+	y	260870	0	0	0	TRUE	1	y	complex	0	0	101
136	CCNA_00251	262953	263672	+	CDS	y	+	y	260870	0	0	0	TRUE	1	y	complex	0	0	101
138	CCNA_00253	265999	267027	+	CDS	n	+	n	265957	0	0	0	TRUE	1	n	simple	0	0	42
139	CCNA_00254	267164	268066	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
145	CCNA_00261	273695	274738	+	CDS	n	+	n	273656	0	0	0	TRUE	1	n	simple	0	0	39
146	CCNA_00262	274921	275793	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
149	CCNA_00265	278017	279471	+	CDS	n	+	n	278017	0	0	0	POTENTIAL	1	y	complex	0	0	0
152	CCNA_00271	285270	285422	+	CDS	y	+	y	285227	0	0	0	TRUE	1	y	complex	0	0	43
152	CCNA_00272	285476	286765	+	CDS	y	+	y	285227	0	0	0	TRUE	1	y	complex	0	0	43
152	CCNA_00273	286774	287295	+	CDS	y	+	y	285227	0	0	0	TRUE	1	y	complex	0	0	43
153	CCNA_00274	287636	287998	+	CDS	n	+	n	287636	0	0	0	TRUE	1	n	simple	0	0	0
156	CCNA_00277	290161	291321	+	CDS	y	+	y	290161	0	0	0	TRUE	1	n	simple	0	0	0
156	CCNA_00278	291339	292259	+	CDS	y	+	y	290161	0	0	0	TRUE	1	n	simple	0	0	0
156	CCNA_00279	292311	292901	+	CDS	y	+	y	290161	0	0	0	TRUE	1	n	simple	0	0	0
158	CCNA_00282	294659	294991	+	CDS	n	+	n	294645	0	0	0	TRUE	1	n	simple	0	0	14
163	CCNA_00291	304469	305884	+	CDS	n	+	n	304431	0	0	0	TRUE	1	y	complex	0	0	38
163.1	CCNA_00292	306029	307462	+	CDS	y	+	y	305769	0	0	0	TRUE	1	n	simple	0	0	260
163.1	CCNA_00293	307455	308750	+	CDS	y	+	y	305769	0	0	0	TRUE	1	n	simple	0	0	260
163.1	CCNA_00294	308810	309634	+	CDS	y	+	y	305769	0	0	0	TRUE	1	n	simple	0	0	260
163.1	CCNA_00295	309660	310352	+	CDS	y	+	y	305769	0	0	0	TRUE	1	n	simple	0	0	260
163.1	CCNA_00296	310374	311066	+	CDS	y	+	y	305769	0	0	0	TRUE	1	n	simple	0	0	260
165	CCNA_00299	312678	313961	+	CDS	n	+	n	312678	0	0	0	TRUE	1	n	simple	0	0	0
167	CCNA_00301	314615	315697	+	CDS	y	+	y	314588	0	0	0	TRUE	1	y	complex	0	0	27
167	CCNA_00302	315702	316991	+	CDS	y	+	y	314588	0	0	0	TRUE	1	y	complex	0	0	27
169	CCNA_00308	323024	323689	+	CDS	n	+	n	0	0	0	0	NO	0	y	complex	0	0	0
172	CCNA_00318	333179	334138	+	CDS	n	+	n	333080	0	0	0	TRUE	1	n	simple	0	0	99
175	CCNA_00322	335959	336588	+	CDS	y	+	y	335761	0	0	0	TRUE	1	n	simple	0	0	198
175	CCNA_00323	336631	337728	+	CDS	y	+	y	335761	0	0	0	TRUE	1	n	simple	0	0	198
177	CCNA_00326	338634	339665	+	CDS	n	+	n	338634	0	0	0	POTENTIAL	1	n	simple	0	0	0
179	CCNA_00328	340575	341264	+	CDS	y	+	y	340560	0	0	0	TRUE	1	n	simple	0	0	15
179	CCNA_00329	341277	341825	+	CDS	y	+	y	340560	0	0	0	TRUE	1	n	simple	0	0	15
181	CCNA_00331	342674	343432	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
181	CCNA_00332	343435	344109	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
183	CCNA_00334	345020	345580	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
183	CCNA_00335	345618	346055	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
183	CCNA_00336	346066	347517	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
183	CCNA_00337	347595	348305	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
183	CCNA_00338	348479	350719	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
183.1	CCNA_00339	350788	352104	+	CDS	n	+	n	350719	350728	0	0	TRUE	multiple	n	complex	0	0	69
184	CCNA_00340	352434	353633	+	CDS	y	+	y	352401	0	0	0	TRUE	1	y	complex	0	0	33
184	CCNA_00341	353634	354518	+	CDS	y	+	y	352401	0	0	0	TRUE	1	y	complex	0	0	33
184	CCNA_00342	354697	357660	+	CDS	y	+	y	352401	0	0	0	TRUE	1	y	complex	0	0	33
184	CCNA_00343	357720	358928	+	CDS	y	+	y	352401	0	0	0	TRUE	1	y	complex	0	0	33
185	CCNA_00344	358988	359335	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
187	CCNA_00346	360419	361819	+	CDS	n	+	n	360335	0	0	0	TRUE	1	n	simple	0	0	84
188	CCNA_00347	361909	362088	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
191	CCNA_00351	366112	368271	+	CDS	n	+	n	366112	0	0	0	POTENTIAL	1	n	simple	0	0	0
193	CCNA_00353	369280	370374	+	CDS	n	+	n	369178	0	0	0	TRUE	1	n	simple	0	0	102
194	CCNA_00354	370445	371152	+	CDS	n	+	n	370413	370420	0	0	TRUE	multiple	n	complex	0	0	32
195	CCNA_00355	371323	372567	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
196	CCNA_00356	372638	373402	+	CDS	n	+	n	372614	0	0	0	TRUE	1	n	simple	0	0	24
197	CCNA_00357	373511	374938	+	CDS	n	+	n	373496	0	0	0	TRUE	1	n	simple	0	0	15
200	CCNA_00359	375919	376716	+	CDS	y	+	y	375821	375829	0	0	TRUE	multiple	n	complex	0	0	98
200	CCNA_00360	376916	377806	+	CDS	y	+	y	375821	375829	0	0	TRUE	multiple	n	complex	0	0	98
204	CCNA_00366	383009	383803	+	CDS	y	+	y	382974	0	0	0	POTENTIAL	1	n	simple	0	0	35
204	CCNA_00367	383800	384825	+	CDS	y	+	y	382974	0	0	0	POTENTIAL	1	n	simple	0	0	35
204	CCNA_00368	384831	385667	+	CDS	y	+	y	382974	0	0	0	POTENTIAL	1	n	simple	0	0	35
205	CCNA_00369	385817	387130	+	CDS	n	+	n	385754	0	0	0	POTENTIAL	1	n	simple	0	0	63
207	CCNA_00375	390599	390988	+	CDS	y	+	y	390576	0	0	0	TRUE	1	n	simple	0	0	23
207	CCNA_00376	391059	391838	+	CDS	y	+	y	390576	0	0	0	TRUE	1	n	simple	0	0	23
210	CCNA_00381	397466	398515	+	CDS	n	+	n	397466	0	0	0	POTENTIAL	1	n	simple	0	0	0
213	CCNA_00384	400574	401479	+	CDS	y	+	y	400574	0	0	0	TRUE	1	n	simple	0	0	0
213	CCNA_00385	401527	402861	+	CDS	y	+	y	400574	0	0	0	TRUE	1	n	simple	0	0	0
215	CCNA_00387	403575	403997	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
218	CCNA_00390	405999	407213	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
218	CCNA_00391	407210	407767	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
219	CCNA_00392	407848	409182	+	CDS	n	+	n	407825	0	0	0	TRUE	1	n	simple	0	0	23
221	CCNA_00395	411052	412842	+	CDS	n	+	n	411052	0	0	0	POTENTIAL	1	n	simple	0	0	0
223	CCNA_00397	413741	415279	+	CDS	n	+	n	413723	0	0	0	POTENTIAL	1	n	simple	0	0	18
225	CCNA_00399	416919	418016	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00400	418061	418504	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00401	418501	419271	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00402	419275	419691	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00403	419728	420699	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00404	420699	421214	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
225	CCNA_00405	421211	422068	+	CDS	y	+	y	416696	416883	0	0	TRUE	multiple	y	complex	0	0	223
227	CCNA_00407	422528	423007	+	CDS	n	+	n	422462	0	0	0	TRUE	1	n	simple	0	0	66
229	CCNA_00409	424406	424450	+	CDS	y	+	y	424385	0	0	0	TRUE	1	y	complex	0	0	21
229	CCNA_00410	424513	425043	+	CDS	y	+	y	424385	0	0	0	TRUE	1	y	complex	0	0	21
229	CCNA_00411	425076	425639	+	CDS	y	+	y	424385	0	0	0	TRUE	1	y	complex	0	0	21
229	CCNA_00412	425636	426286	+	CDS	y	+	y	424385	0	0	0	TRUE	1	y	complex	0	0	21
229.1	CCNA_00413	426379	427632	+	CDS	y	+	y	426336	0	0	0	TRUE	1	n	simple	0	0	43
229.1	CCNA_00414	427653	428354	+	CDS	y	+	y	426336	0	0	0	TRUE	1	n	simple	0	0	43
232	CCNA_00419	430733	431269	+	CDS	y	+	n	430669	0	0	0	POTENTIAL	1	y	complex	0	0	64
234	CCNA_00423	433404	433874	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
235	CCNA_00424	434121	435560	+	CDS	n	+	n	434061	434097	0	0	TRUE	multiple	n	complex	0	0	60
237	CCNA_00426	436545	436889	+	CDS	n	+	n	436545	0	0	0	POTENTIAL	1	n	simple	0	0	0
238	CCNA_00427	436958	437146	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
238	CCNA_00428	437146	437328	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
238	CCNA_00429	437383	437550	+	CDS	y	+	y	0	0	0	0	NO	0	y	complex	0	0	0
240	CCNA_00431	437761	437883	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
242	CCNA_00433	438748	439005	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
242	CCNA_00434	439068	440003	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
243	CCNA_00435	440156	441607	+	CDS	y	+	y	440097	0	0	0	TRUE	1	n	simple	0	0	59
243	CCNA_00436	441717	442865	+	CDS	y	+	y	440097	0	0	0	TRUE	1	n	simple	0	0	59
244	CCNA_00437	443064	444677	+	CDS	n	+	n	443054	0	0	0	TRUE	1	n	simple	0	0	10
246	CCNA_00439	445497	447518	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00440	447518	447805	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00441	447802	448167	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00442	448237	450525	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00443	450529	450996	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00444	450996	451877	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00445	451877	452911	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00446	452915	453304	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00447	453301	453864	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00448	453868	454251	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00449	454259	454861	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
246	CCNA_00450	454858	455328	+	CDS	y	+	y	445497	0	0	0	TRUE	1	y	complex	0	0	0
249	CCNA_00451	455598	458639	+	CDS	n	+	n	455306	0	0	0	TRUE	1	y	complex	0	0	292
251	CCNA_00455	461992	464661	+	CDS	n	+	n	461880	0	0	0	TRUE	1	n	simple	0	0	112
252	CCNA_00459	471542	472783	+	CDS	n	+	n	471473	0	0	0	TRUE	1	n	simple	0	0	69
253	CCNA_00460	473245	473400	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
254	CCNA_00464	477514	477678	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
255	CCNA_00465	477921	479033	+	CDS	n	+	n	477805	477863	477921	0	TRUE	multiple	n	complex	0	0	116
256	CCNA_00466	479191	480435	+	CDS	y	+	y	479167	0	0	0	TRUE	1	y	complex	0	0	24
256	CCNA_00467	480439	481710	+	CDS	y	+	y	479167	0	0	0	TRUE	1	y	complex	0	0	24
264	CCNA_00479	495332	495655	+	CDS	n	+	n	495157	0	0	0	POTENTIAL	1	n	simple	0	0	175
266	CCNA_00481	497352	497597	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
266	CCNA_00482	497584	498855	+	CDS	y	+	y	0	0	0	0	NO	0	n	simple	0	0	0
269	CCNA_00486	502235	504724	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
270	CCNA_00487	504911	506605	+	CDS	n	+	n	504834	0	0	0	TRUE	1	n	simple	0	0	77
272	CCNA_00490	507838	508722	+	CDS	n	+	n	507795	0	0	0	TRUE	1	n	simple	0	0	43
274	CCNA_00492	509704	511095	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
274	CCNA_00493	511098	511559	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
274	CCNA_00494	511566	512027	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
274	CCNA_00495	512080	512334	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
274	CCNA_00496	512331	514298	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
274	CCNA_00497	514298	515224	+	CDS	y	+	y	509658	0	0	0	TRUE	1	y	complex	0	0	46
277	CCNA_00502	518474	519211	+	CDS	n	+	n	518474	0	0	0	TRUE	1	n	simple	0	0	0
278	CCNA_00503	519310	519732	+	CDS	n	+	n	519268	0	0	0	TRUE	1	n	simple	0	0	42
280	CCNA_00505	520398	520949	+	CDS	y	+	y	520210	0	0	0	TRUE	1	n	simple	0	0	188
280	CCNA_00506	520955	522235	+	CDS	y	+	y	520210	0	0	0	TRUE	1	n	simple	0	0	188
280	CCNA_00507	522241	523086	+	CDS	y	+	y	520210	0	0	0	TRUE	1	n	simple	0	0	188
284	CCNA_00514	528078	528908	+	CDS	n	+	n	528062	0	0	0	POTENTIAL	1	n	simple	0	0	16
