#operonID	geneID	start	end	strand	length	product
CHR67	HVO_0428	385077	385526	-	449	UspA domain protein
CHR68	HVO_0430	386169	386621	+	452	UPF0146 family protein
CHR68	HVO_0431	386653	387507	+	854	HAD superfamily hydrolase
CHR69	HVO_0440	392044	392424	-	380	conserved hypothetical protein
CHR69	HVO_0441	392426	393052	-	626	beta-lactamase domain protein
CHR70	HVO_0442	393182	393352	+	170	conserved hypothetical protein
CHR70	HVO_0443	393349	393960	+	611	UPF0215 family protein
CHR70	HVO_0444	393985	394581	+	596	uracil-DNA glycosylase
CHR71	HVO_0445	394719	395684	-	965	ABC-type transport system permease protein (probable substrate phosphate/phosphonate)
CHR71	HVO_0446	395674	396477	-	803	ABC-type transport system ATP-binding protein (probable substrate phosphate/phosphonate)
CHR72	HVO_0460	409132	409338	-	206	conserved hypothetical protein
CHR72	HVO_0461	409378	410376	-	998	cytochrome bd ubiquinol oxidase subunit II
CHR72	HVO_0462	410369	411793	-	1424	cytochrome bd ubiquinol oxidase subunit I
CHR73	HVO_0474	422870	423604	-	734	protein-L-isoaspartate O-methyltransferase
CHR73	HVO_0475	423626	424564	-	938	homolog to S-adenosylmethionine-dependent methyltransferase
CHR74	HVO_0509	447374	447841	-	467	NUDIX family hydrolase
CHR74	HVO_0510	447838	448179	-	341	dihydroneopterin aldolase%2C archaeal-type
CHR75	HVO_0526	458359	458583	+	224	homolog to plasmid pHK2 ORF1 (nonfunctional)
CHR75	HVO_0526_A	458584	459087	+	503	homolog to plasmid pHK2 ORF1 (nonfunctional)
CHR76	HVO_0527	459356	459949	-	593	conserved hypothetical protein (nonfunctional)
CHR76	HVO_0527_A	459084	459356	-	272	conserved hypothetical protein (nonfunctional)
CHR77	HVO_0530	461838	463211	+	1373	ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)
CHR77	HVO_0531	463222	464286	+	1064	ABC-type transport system permease protein (probable substrate sugar)
CHR77	HVO_0532	464283	465227	+	944	ABC-type transport system permease protein (probable substrate sugar)
CHR78	HVO_0538	468630	469064	-	434	SirR/DtxR family transcription regulator
CHR78	HVO_0539	469061	469891	-	830	conserved hypothetical protein
CHR79	HVO_0551	481150	483357	-	2207	DNA mismatch repair protein MutL
CHR79	HVO_0552	483354	486128	-	2774	DNA mismatch repair protein MutS
CHR80	HVO_0553	486347	487591	+	1244	chemotactic signal transduction system periplasmic substrate-binding protein BasB
CHR80	HVO_0554	487588	490083	+	2495	transducer protein BasT
CHR81	HVO_0556	492257	492727	+	470	ISH18-type transposase ISHvo10 (nonfunctional)
CHR81	HVO_0556_A	492728	493255	+	527	ISH18-type transposase ISHvo10 (nonfunctional)
CHR82	HVO_0562	496045	497121	-	1076	ABC-type transport system permease protein (probable substrate maltose)
CHR82	HVO_0563	497118	498053	-	935	ABC-type transport system permease protein (probable substrate maltose)
CHR82	HVO_0564	498059	499357	-	1298	ABC-type transport system periplasmic substrate-binding protein (probable substrate maltose)
CHR83	HVO_0567	502893	505076	+	2183	glycoside hydrolase family protein
CHR83	HVO_0568	505103	506152	+	1049	TrmB family transcription regulator
CHR84	HVO_0581	516141	517343	-	1202	cell division protein FtsZ%2C type II
CHR84	HVO_0582	517346	517531	-	185	CopG domain protein
CHR85	HVO_0586	519896	520531	+	635	HAD superfamily hydrolase
CHR85	HVO_0587	520522	521430	+	908	adenosylcobinamide-phosphate synthase
CHR85	HVO_0588	521421	522185	+	764	adenosylcobinamide-GDP ribazoletransferase
CHR85	HVO_0589	522185	522778	+	593	adenosylcobinamide-phosphate guanylyltransferase
CHR85	HVO_0590	522769	523836	+	1067	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase
CHR85	HVO_0591	523826	524848	+	1022	L-threonine-O-3-phosphate decarboxylase
CHR85	HVO_0592	524841	525578	+	737	adenosylcobinamide amidohydrolase
CHR86	HVO_0595	527070	527843	+	773	MinD/ParA domain protein
CHR86	HVO_0596	527840	528424	+	584	conserved hypothetical protein
CHR87	HVO_0600	531046	531579	+	533	ACT domain protein
CHR87	HVO_0601	531576	532526	+	950	homoserine dehydrogenase
CHR88	HVO_0610	541192	541707	+	515	DUF1468 family protein
CHR88	HVO_0611	541707	543194	+	1487	DUF112 family protein
CHR89	HVO_0614	545379	545921	-	542	conserved hypothetical protein
CHR89	HVO_0615	545918	546391	-	473	conserved hypothetical protein
CHR89	HVO_0616	546384	547079	-	695	conserved hypothetical protein
CHR89	HVO_0617	547072	547644	-	572	conserved hypothetical protein
CHR89	HVO_0618	547637	548350	-	713	conserved hypothetical protein
CHR89	HVO_0619	548347	550266	-	1919	type IV pilus biogenesis complex membrane subunit
CHR89	HVO_0620	550263	552629	-	2366	type IV pilus biogenesis complex ATPase subunit
CHR90	HVO_0628	560896	562620	+	1724	ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)
CHR90	HVO_0629	562646	563665	+	1019	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CHR90	HVO_0630	563662	564597	+	935	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CHR90	HVO_0631	564604	564999	+	395	conserved hypothetical protein
CHR91	HVO_0632	565023	567599	-	2576	sensor box histidine kinase
CHR91	HVO_0633	567596	569050	-	1454	KaiC-type circadian clock protein CirC
CHR92	HVO_0635	571195	572157	+	962	DUF4129 domain protein
CHR92	HVO_0636	572154	572726	+	572	conserved hypothetical protein
CHR92	HVO_0637	572723	573991	+	1268	DUF11/DUF58 family protein
CHR92	HVO_0638	573979	574485	+	506	conserved hypothetical protein
CHR93	HVO_0650	583221	583484	-	263	DUF3194 family protein
CHR93	HVO_0651	583485	583868	-	383	prefoldin beta subunit
CHR94	HVO_0652	583912	584181	-	269	KEOPS complex subunit Pcc1
CHR94	HVO_0653	584183	584317	-	134	DNA-directed RNA polymerase subunit P
CHR94	HVO_0654	584352	584621	-	269	50S ribosomal protein L43e
CHR95	HVO_0658	587495	588886	-	1391	tRNA pseudouridine(13) synthase TruD
CHR95	HVO_0659	588886	589224	-	338	peptidyl-tRNA hydrolase
CHR96	HVO_0661	590190	590777	+	587	dCTP deaminase (dUMP-forming)
CHR96	HVO_0662	590774	591673	+	899	HTH domain protein / thiamine-phosphate synthase
CHR96	HVO_0663	591686	592441	+	755	probable S-adenosylmethionine-dependent methyltransferase
CHR97	HVO_0667	595636	596685	-	1049	homolog to NAD kinase
CHR97	HVO_0668	596686	597696	-	1010	2-oxoacid dehydrogenase E1 component beta subunit
CHR97	HVO_0669	597693	598727	-	1034	2-oxoacid dehydrogenase E1 component alpha subunit
CHR98	HVO_0678	605951	606286	+	335	cupin 2 barrel domain protein (nonfunctional)
CHR98	HVO_0678_A	606291	606410	+	119	cupin 2 barrel domain protein (nonfunctional)
CHR99	HVO_0685	614347	615231	+	884	DUF3100 family protein
CHR99	HVO_0686	615233	615697	+	464	conserved hypothetical protein
CHR100	HVO_0689	617591	621313	+	3722	chromosome segregation protein Smc
CHR100	HVO_0690	621306	622433	+	1127	chromosome segregation and condensation protein ScpA
CHR100	HVO_0691	622466	622942	+	476	conserved hypothetical protein
CHR101	HVO_0698	627962	628153	-	191	tRNA/rRNA pseudouridine synthase complex protein Nop10
CHR101	HVO_0699	628158	628958	-	800	translation initiation factor aIF-2 alpha subunit
CHR101	HVO_0700	628977	629171	-	194	30S ribosomal protein S27e
CHR101	HVO_0701	629175	629456	-	281	50S ribosomal protein L42e
CHR102	HVO_0704	632375	633160	+	785	probable glycosyltransferase%2C type 2
CHR102	HVO_0705	633153	633620	+	467	GtrA family protein
CHR103	HVO_0708	634430	635422	-	992	aminodeoxychorismate lyase
CHR103	HVO_0709	635419	636138	-	719	aminodeoxychorismate synthase component 2
CHR103	HVO_0710	636135	637649	-	1514	aminodeoxychorismate synthase component 1
CHR104	HVO_0712	638991	639269	-	278	shikimate dehydrogenase (nonfunctional)
CHR104	HVO_0712_B	638458	638946	-	488	shikimate dehydrogenase (nonfunctional)
CHR104	HVO_0712_B	638458	638946	-	488	shikimate dehydrogenase (nonfunctional)
CHR105	HVO_0718	644717	644890	+	173	protein translocase subunit SecE
CHR105	HVO_0719	644892	645344	+	452	transcription elongation factor Spt5
CHR106	HVO_0726	650251	651075	-	824	endonuclease V
CHR106	HVO_0727	651077	651967	-	890	rhomboid family protein
CHR107	HVO_0731	653749	654309	-	560	conserved hypothetical protein
CHR107	HVO_0732	654302	654895	-	593	ribonuclease H%2C type 1
CHR108	HVO_0734	656079	657341	+	1262	DUF650/DUF651 domain protein
CHR108	HVO_0735	657377	657550	+	173	conserved hypothetical protein
CHR109	HVO_0737	658118	658789	-	671	conserved hypothetical protein
CHR109	HVO_0738	658792	659073	-	281	conserved hypothetical protein
CHR110	HVO_0740	660288	660854	-	566	DUF82 family protein
CHR110	HVO_0741	660851	662599	-	1748	DNA-directed DNA polymerase X
CHR110	HVO_0742	662596	663036	-	440	conserved hypothetical protein
CHR111	HVO_0746	667174	667800	+	626	conserved hypothetical protein
CHR111	HVO_0747	667797	668258	+	461	conserved hypothetical protein
CHR111	HVO_0748	668291	670273	+	1982	type IV pilus biogenesis complex ATPase subunit
CHR111	HVO_0749	670267	672030	+	1763	type IV pilus biogenesis complex membrane subunit
CHR112	HVO_0750	672085	672555	+	470	conserved hypothetical protein
CHR112	HVO_0751	672533	672925	+	392	conserved hypothetical protein
CHR112	HVO_0752	672922	673806	+	884	conserved hypothetical protein
CHR112	HVO_0753	673803	676859	+	3056	conserved hypothetical protein
CHR113	HVO_0754	676918	677337	+	419	conserved hypothetical protein
CHR113	HVO_0755	677334	678230	+	896	homolog to NAD-dependent epimerase/dehydratase
CHR114	HVO_0760	682316	683422	+	1106	probable glycosyltransferase%2C type 2
CHR114	HVO_0761	683419	683907	+	488	conserved hypothetical protein
CHR114	HVO_0762	683937	684533	+	596	NUDIX family hydrolase
CHR115	HVO_0766	687866	688354	-	488	Hsp20-type molecular chaperone
CHR115	HVO_0767	688351	688509	-	158	small CPxCG-related zinc finger protein
CHR116	HVO_0780	700343	700999	-	656	UPF0126 family protein
CHR116	HVO_0781	700999	701787	-	788	S-adenosylmethionine hydroxide adenosyltransferase family protein
CHR116	HVO_0782	701789	702334	-	545	nicotinamide-nucleotide adenylyltransferase
CHR117	HVO_0783	702504	704588	+	2084	ATP-dependent protease Lon
CHR117	HVO_0784	704595	705614	+	1019	Abi/CAAX family protein
CHR118	HVO_0787	706709	707464	+	755	indole-3-glycerol-phosphate synthase
CHR118	HVO_0788	707461	708729	+	1268	tryptophan synthase beta subunit
CHR118	HVO_0789	708729	709562	+	833	tryptophan synthase alpha subunit
CHR118	HVO_0790	709587	710387	+	800	2-amino-3%2C7-dideoxy-D-threo-hept-6-ulosonate synthase
CHR119	HVO_0796	715844	716650	+	806	ABC-type transport system periplasmic substrate-binding protein (probable substrate iron/cobalamin)
CHR119	HVO_0797	716671	717192	+	521	probable non-canonical purine NTP phosphatase
CHR120	HVO_0803	722661	723857	-	1196	homolog to restriction system mrr
CHR120	HVO_0804	723854	724015	-	161	conserved hypothetical protein
CHR121	HVO_0819	739212	739907	+	695	SirR/DtxR family transcription regulator SirR
CHR121	HVO_0820	739904	740605	+	701	conserved hypothetical protein
CHR122	HVO_0827	746707	746964	+	257	MTH865 family protein
CHR122	HVO_0828	746978	747700	+	722	conserved hypothetical protein
CHR122	HVO_0829	747740	749566	+	1826	peptidase S9 family protein
CHR123	HVO_0830	749624	750043	+	419	methylmalonyl-CoA mutase subunit B (cobalamin-binding subunit)
CHR123	HVO_0831	750040	751158	+	1118	YgfD family GTPase
CHR124	HVO_0832	751246	752172	+	926	alpha/beta hydrolase fold protein
CHR124	HVO_0833	752204	752347	+	143	conserved hypothetical protein
CHR125	HVO_0834	752362	752742	-	380	DUF35 family protein
CHR125	HVO_0835	752739	753905	-	1166	acetyl-CoA C-acetyltransferase
CHR126	HVO_0839	756983	757264	-	281	conserved hypothetical protein
CHR126	HVO_0840	757257	757646	-	389	conserved hypothetical protein
CHR126	HVO_0841	757686	758450	-	764	cytochrome bc1 complex cytochrome b/c subunit
CHR126	HVO_0842	758461	759255	-	794	cytochrome bc1 complex cytochrome b subunit
CHR126	HVO_0843	759259	759648	-	389	conserved hypothetical protein
CHR126	HVO_0844	759648	760286	-	638	halocyanin
CHR127	HVO_0852	764328	764597	+	269	NP_1176A family transcription regulator
CHR127	HVO_0852_A	764624	765037	+	413	conserved hypothetical protein
CHR127	HVO_0853	765034	766359	+	1325	DNA double-strand break repair protein Mre11
CHR127	HVO_0854	766356	769037	+	2681	DNA double-strand break repair ATPase Rad50
CHR128	HVO_0855	769063	769500	-	437	conserved hypothetical protein
CHR128	HVO_0856	769528	770085	-	557	conserved hypothetical protein
CHR129	HVO_0859	774651	775556	+	905	Fe-S cluster assembly ATPase SufC
CHR129	HVO_0860	775569	776999	+	1430	SufB domain protein
CHR129	HVO_0861	777003	778211	+	1208	SufB domain protein
CHR130	HVO_0862	778355	778846	+	491	conserved hypothetical protein
CHR130	HVO_0863	778851	779303	+	452	SirR/DtxR family transcription regulator
CHR131	HVO_0864_A	780439	780918	+	479	conserved hypothetical protein (nonfunctional)
CHR131	HVO_0864_B	780919	781164	+	245	conserved hypothetical protein (nonfunctional)
CHR132	HVO_0871	791288	791623	+	335	conserved hypothetical protein (nonfunctional)
CHR132	HVO_0871_A	791623	791784	+	161	conserved hypothetical protein (nonfunctional)
CHR133	HVO_0885	802107	802304	+	197	small CPxCG-related zinc finger protein
CHR133	HVO_0886	802327	802476	+	149	hypothetical protein
CHR134	HVO_0887	802517	803380	-	863	oxoglutarate--ferredoxin oxidoreductase beta subunit
CHR134	HVO_0888	803377	805137	-	1760	oxoglutarate--ferredoxin oxidoreductase alpha subunit
CHR135	HVO_0890	806141	806962	-	821	ABC-type transport system permease protein (probable substrate copper)
CHR135	HVO_0891	806959	807810	-	851	ABC-type transport system ATP-binding protein (probable substrate copper)
CHR135	HVO_0892	807803	809728	-	1925	ABC-type transport system periplasmic substrate-binding protein (probable substrate copper)
CHR136	HVO_0900	818606	819574	+	968	ABC-type transport system permease protein (probable substrate branched-chain amino acids)
CHR136	HVO_0901	819571	820752	+	1181	ABC-type transport system permease protein (probable substrate branched-chain amino acids)
CHR136	HVO_0902	820749	821507	+	758	ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)
CHR136	HVO_0903	821504	822247	+	743	ABC-type transport system ATP-binding protein (probable substrate branched-chain amino acids)
CHR137	HVO_0911	827150	828259	+	1109	GTP-binding protein Drg
CHR137	HVO_0912	828256	828747	+	491	TIGR04206 family protein
