Type	Start	Stop	Gene	Strand	Size (aa)
Annotated	111341	112006	HVO_RS05260	+	222
Annotated	112088	112264	HVO_RS05265	+	59
Annotated	112767	114137	HVO_RS05275	+	457
Annotated	115896	117293	HVO_RS05290	+	466
Annotated	120802	121179	HVO_RS05320	+	126
Annotated	123087	124739	HVO_RS05345	-	551
Annotated	124992	125534	HVO_RS05350	-	181
Annotated	125628	126500	HVO_RS05355	-	291
Annotated	126602	126892	HVO_RS05360	-	97
Annotated	126998	127177	HVO_RS05365	+	60
Annotated	127203	128030	HVO_RS05370	-	276
Annotated	128123	129109	HVO_RS05375	-	329
Annotated	142507	142956	HVO_RS05455	+	150
Annotated	142995	143201	HVO_RS05460	-	69
Annotated	143303	144259	HVO_RS05465	-	319
Annotated	144416	144727	HVO_RS05470	+	104
Annotated	144786	145355	HVO_RS05475	+	190
Annotated	146821	147666	HVO_RS05490	-	282
Annotated	148866	149378	HVO_RS05500	-	171
Annotated	149375	149722	HVO_RS05505	-	116
Annotated	151659	152945	HVO_RS05520	+	429
Annotated	154332	154754	HVO_RS05535	+	141
Annotated	154782	155429	HVO_RS05540	-	216
Annotated	155649	155852	HVO_RS05545	+	68
Annotated	155952	157052	HVO_RS05550	-	367
Annotated	157202	157795	HVO_RS05555	+	198
Annotated	157928	158671	HVO_RS05560	-	248
Annotated	162031	162816	HVO_RS05575	+	262
Annotated	162982	163761	HVO_RS05580	+	260
Annotated	165330	165506	HVO_RS05595	-	59
Annotated	165626	167782	HVO_RS05600	-	719
Annotated	169702	170184	HVO_RS05615	-	161
Annotated	170259	170897	HVO_RS05620	+	213
Annotated	170943	171839	HVO_RS05625	-	299
Annotated	174066	174335	HVO_RS05635	+	90
Annotated	176077	176769	HVO_RS05650	+	231
Annotated	176934	177101	HVO_RS05655	-	56
Annotated	178741	180114	HVO_RS05670	+	458
Annotated	181313	182296	HVO_RS05690	+	328
Annotated	185459	188227	HVO_RS05705	+	923
Annotated	189223	189936	HVO_RS05715	+	238
Annotated	190112	191275	HVO_RS05720	+	388
Annotated	191384	191674	HVO_RS05725	+	97
Annotated	191877	192200	HVO_RS05730	+	108
Annotated	192245	192619	HVO_RS05735	+	125
Annotated	192742	193194	HVO_RS05740	+	151
Annotated	193386	194348	HVO_RS05745	+	321
Annotated	198709	199314	HVO_RS05770	+	202
Annotated	199368	201476	HVO_RS05775	+	703
Annotated	207442	208257	HVO_RS05820	-	272
Annotated	208346	208762	HVO_RS05825	-	139
Annotated	209051	209686	HVO_RS05830	-	212
Annotated	209687	209917	HVO_RS05835	-	77
Annotated	210884	211711	HVO_RS05845	-	276
Annotated	214846	215811	HVO_RS05865	+	322
Annotated	215944	217314	HVO_RS05870	-	457
Annotated	217441	217899	HVO_RS05875	+	153
Annotated	218337	219419	HVO_RS05880	-	361
Annotated	219536	220561	HVO_RS05885	+	342
Annotated	220622	221566	HVO_RS05890	-	315
Annotated	221699	222217	HVO_RS05895	+	173
Annotated	225232	226647	HVO_RS05915	-	472
Annotated	226809	227072	HVO_RS05920	+	88
Annotated	233436	233702	HVO_RS05965	+	89
Annotated	233714	234040	HVO_RS05970	+	109
Annotated	237481	237741	HVO_RS05990	+	87
Annotated	254076	256130	HVO_RS06070	-	685
Annotated	256281	256670	HVO_RS06075	-	130
Annotated	256758	257930	HVO_RS06080	+	391
Annotated	259521	259982	HVO_RS06095	+	154
Annotated	260022	260435	HVO_RS06100	-	138
Annotated	260600	261190	HVO_RS06105	-	197
Annotated	261191	262126	HVO_RS06110	-	312
Annotated	264341	265126	HVO_RS06130	-	262
Annotated	265238	265732	HVO_RS06135	-	165
Annotated	265809	266291	HVO_RS06140	-	161
Annotated	266382	267068	HVO_RS06145	+	229
Annotated	267117	268112	HVO_RS06150	-	332
Annotated	270240	271373	HVO_RS06160	+	378
Annotated	273508	274305	HVO_RS06175	-	266
Annotated	275700	277091	HVO_RS06185	+	464
Annotated	278458	278790	HVO_RS06200	+	111
Annotated	281153	281410	HVO_RS06210	+	86
Annotated	281432	282016	HVO_RS06215	+	195
Annotated	282013	283059	HVO_RS06220	+	349
Annotated	283383	285143	HVO_RS06230	+	587
Annotated	288859	289566	HVO_RS06245	+	236
Annotated	289648	290031	HVO_RS06250	+	128
Annotated	290089	291333	HVO_RS06255	-	415
Annotated	291490	293214	HVO_RS06260	+	575
Annotated	293437	295200	HVO_RS06265	-	588
Annotated	298435	299373	HVO_RS06285	+	313
Annotated	300176	301015	HVO_RS06295	-	280
Annotated	304921	306147	HVO_RS06320	+	409
Annotated	306250	306504	HVO_RS06325	+	85
Annotated	306563	307537	HVO_RS06330	-	325
Annotated	312095	312322	HVO_RS06370	+	76
Annotated	312319	313884	HVO_RS06375	+	522
Annotated	313886	315715	HVO_RS06380	+	610
Annotated	315728	318652	HVO_RS06385	+	975
Annotated	318645	319904	HVO_RS06390	+	420
Annotated	321385	321813	HVO_RS06405	+	143
Annotated	321816	322430	HVO_RS06410	+	205
Annotated	323485	325668	HVO_RS06420	+	728
Annotated	325966	326535	HVO_RS06425	+	190
Annotated	327676	328941	HVO_RS06435	+	422
Annotated	328944	329252	HVO_RS06440	+	103
Annotated	330652	331095	HVO_RS06455	+	148
Annotated	334392	334589	HVO_RS06495	-	66
Annotated	338106	338621	HVO_RS06530	-	172
Annotated	339578	339793	HVO_RS06535	-	72
Annotated	343321	343560	HVO_RS06565	+	80
Annotated	343699	345018	HVO_RS06570	-	440
Annotated	345139	345441	HVO_RS06575	-	101
Annotated	345603	346082	HVO_RS06580	+	160
Annotated	347026	347382	HVO_RS06590	+	119
Annotated	347502	350453	HVO_RS06595	+	984
Annotated	353383	354480	HVO_RS06615	-	366
Annotated	354646	354945	HVO_RS06620	-	100
Annotated	355050	356090	HVO_RS06625	+	347
Annotated	356161	356541	HVO_RS06630	+	127
Annotated	356734	357192	HVO_RS06635	+	153
Annotated	357270	357947	HVO_RS06640	+	226
Annotated	361646	363052	HVO_RS06655	-	469
Annotated	363049	363423	HVO_RS06660	-	125
Annotated	365957	367695	HVO_RS06680	-	579
Annotated	369241	371091	HVO_RS06695	-	617
Annotated	371518	373026	HVO_RS06700	-	503
Annotated	376085	377716	HVO_RS06715	+	544
Annotated	377834	379714	HVO_RS06720	+	627
Annotated	379829	380122	HVO_RS06725	-	98
Annotated	380247	380561	HVO_RS06730	+	105
Annotated	382515	383456	HVO_RS06740	+	314
Annotated	385077	385526	HVO_RS06755	-	150
Annotated	385608	386129	HVO_RS06760	-	174
Annotated	386653	387507	HVO_RS06770	+	285
Annotated	387864	388532	HVO_RS06780	+	223
Annotated	390432	391040	HVO_RS06795	-	203
Annotated	391096	391260	HVO_RS06800	-	55
Annotated	391499	391768	HVO_RS06805	+	90
Annotated	391882	392028	HVO_RS06810	+	49
Annotated	392426	393052	HVO_RS06820	-	209
Annotated	393182	393352	HVO_RS06825	+	57
Annotated	393985	394581	HVO_RS06835	+	199
Annotated	394719	395684	HVO_RS06840	-	322
Annotated	397884	398543	HVO_RS06855	+	220
Annotated	399548	399955	HVO_RS06865	+	136
Annotated	400072	400515	HVO_RS06870	+	148
Annotated	400730	403606	HVO_RS06875	+	959
Annotated	403730	403948	HVO_RS06880	+	73
Annotated	404006	405001	HVO_RS06885	-	332
Annotated	405300	406943	HVO_RS06890	-	548
Annotated	407159	407551	HVO_RS06895	-	131
Annotated	407615	407797	HVO_RS06900	-	61
Annotated	408453	408659	HVO_RS06910	-	69
Annotated	408661	409047	HVO_RS06915	-	129
Annotated	409132	409338	HVO_RS06920	-	69
Annotated	410369	411793	HVO_RS06930	-	475
Annotated	412138	412344	HVO_RS06935	+	69
Annotated	415459	416598	HVO_RS06950	-	380
Annotated	416899	418107	HVO_RS06955	+	403
Annotated	422618	422818	HVO_RS06985	+	67
Annotated	422870	423604	HVO_RS06990	-	245
Annotated	425456	426415	HVO_RS07005	-	320
Annotated	427742	428230	HVO_RS07015	-	163
Annotated	428646	429851	HVO_RS07025	-	402
Annotated	429927	430979	HVO_RS07030	-	351
Annotated	431247	431609	HVO_RS07035	+	121
Annotated	431634	432506	HVO_RS07040	-	291
Annotated	432592	433122	HVO_RS07045	-	177
Annotated	433283	433930	HVO_RS07050	+	216
Annotated	434848	435303	HVO_RS07060	+	152
Annotated	435432	435830	HVO_RS07065	+	133
Annotated	435901	436059	HVO_RS07070	+	53
Annotated	436448	436909	HVO_RS07075	+	154
Annotated	437012	437659	HVO_RS07080	+	216
Annotated	437774	438166	HVO_RS07085	+	131
Annotated	438284	439078	HVO_RS07090	+	265
Annotated	439362	440087	HVO_RS07100	-	242
Annotated	440611	440805	HVO_RS07110	-	65
Annotated	442587	442790	HVO_RS07130	+	68
Annotated	446839	447285	HVO_RS07160	-	149
Annotated	450349	450960	HVO_RS07190	-	204
Annotated	451105	451329	HVO_RS07195	+	75
Annotated	453269	454720	HVO_RS07215	+	484
Annotated	454913	455344	HVO_RS07220	+	144
Annotated	455344	456357	HVO_RS07225	+	338
Annotated	462054	463211	HVO_RS07260	+	386
Annotated	463243	464286	HVO_RS07265	+	348
Annotated	465348	466499	HVO_RS07275	+	384
Annotated	467702	468232	HVO_RS07285	+	177
Annotated	470736	473552	HVO_RS07305	-	939
Annotated	476452	476949	HVO_RS07325	+	166
Annotated	479663	480625	HVO_RS07340	-	321
Annotated	490290	491960	HVO_RS07370	+	557
Annotated	493539	494351	HVO_RS07380	-	271
Annotated	494488	494841	HVO_RS07385	+	118
Annotated	495226	495816	HVO_RS07395	-	197
Annotated	499582	500721	HVO_RS07415	+	380
Annotated	500782	502788	HVO_RS07420	-	669
Annotated	506363	507274	HVO_RS07435	-	304
Annotated	509723	510550	HVO_RS07450	+	276
Annotated	510605	511480	HVO_RS07455	+	292
Annotated	512426	513064	HVO_RS07465	-	213
Annotated	513213	513560	HVO_RS07470	+	116
Annotated	513578	513793	HVO_RS07475	-	72
Annotated	514996	515961	HVO_RS07490	+	322
Annotated	516141	517343	HVO_RS07495	-	401
Annotated	517346	517531	HVO_RS07500	-	62
Annotated	518847	519830	HVO_RS07515	+	328
Annotated	528489	528956	HVO_RS07570	+	156
Annotated	529064	529795	HVO_RS07575	+	244
Annotated	532608	533282	HVO_RS07595	-	225
Annotated	533893	534561	HVO_RS07600	-	223
Annotated	534891	535787	HVO_RS07605	+	299
Annotated	535848	536621	HVO_RS07610	-	258
Annotated	536843	537532	HVO_RS07615	-	230
Annotated	537737	538747	HVO_RS07620	-	337
Annotated	538994	540037	HVO_RS07625	+	348
Annotated	541192	541707	HVO_RS07635	+	172
Annotated	543730	544161	HVO_RS07645	+	144
Annotated	554747	555640	HVO_RS07695	-	298
Annotated	556293	556805	HVO_RS07705	+	171
Annotated	560896	562620	HVO_RS07725	+	575
Annotated	567596	569050	HVO_RS07750	-	485
Annotated	576993	577172	HVO_RS07795	+	60
Annotated	580081	580632	HVO_RS07815	+	184
Annotated	583221	583484	HVO_RS07825	-	88
Annotated	583485	583868	HVO_RS07830	-	128
Annotated	583912	584181	HVO_RS07835	-	90
Annotated	584352	584621	HVO_RS07845	-	90
Annotated	585788	586513	HVO_RS07855	-	242
Annotated	590190	590777	HVO_RS07880	+	196
Annotated	593079	594002	HVO_RS07900	-	308
Annotated	598977	599957	HVO_RS07925	+	327
Annotated	604398	605702	HVO_RS07955	-	435
Annotated	607278	608000	HVO_RS07970	-	241
Annotated	608106	609110	HVO_RS07975	+	335
Annotated	609107	611629	HVO_RS07980	-	841
Annotated	612687	614177	HVO_RS07990	-	497
Annotated	617184	617507	HVO_RS08010	+	108
Annotated	622466	622942	HVO_RS08025	+	159
Annotated	622950	623810	HVO_RS08030	-	287
Annotated	624993	625706	HVO_RS08040	-	238
Annotated	627140	627907	HVO_RS08050	-	256
Annotated	627962	628153	HVO_RS08055	-	64
Annotated	628158	628958	HVO_RS08060	-	267
Annotated	628977	629171	HVO_RS08065	-	65
Annotated	629175	629456	HVO_RS08070	-	94
Annotated	629659	629919	HVO_RS08075	+	87
Annotated	633967	634392	HVO_RS08100	+	142
Annotated	635419	636138	HVO_RS08110	-	240
Annotated	636135	637649	HVO_RS08115	-	505
Annotated	637764	638414	HVO_RS08120	-	217
Annotated	643397	644536	HVO_RS08145	+	380
Annotated	644717	644890	HVO_RS08150	+	58
Annotated	644892	645344	HVO_RS08155	+	151
Annotated	645525	645827	HVO_RS08160	-	101
Annotated	645956	646690	HVO_RS08165	+	245
Annotated	646747	647271	HVO_RS08170	-	175
Annotated	649318	650163	HVO_RS08185	-	282
Annotated	651077	651967	HVO_RS08195	-	297
Annotated	652485	653018	HVO_RS08200	-	178
Annotated	653354	653713	HVO_RS08205	+	120
Annotated	654302	654895	HVO_RS08215	-	198
Annotated	655014	655994	HVO_RS08220	+	327
Annotated	656079	657341	HVO_RS08225	+	421
Annotated	657583	658038	HVO_RS08230	-	152
Annotated	658792	659073	HVO_RS08240	-	94
Annotated	659245	660234	HVO_RS08245	+	330
Annotated	660851	662599	HVO_RS08255	-	583
Annotated	662596	663036	HVO_RS08260	-	147
Annotated	663290	664639	HVO_RS08265	+	450
Annotated	678332	679516	HVO_RS08330	+	395
Annotated	683937	684533	HVO_RS08355	+	199
Annotated	684671	685159	HVO_RS08360	-	163
Annotated	687866	688354	HVO_RS08375	-	163
Annotated	688631	690328	HVO_RS08380	+	566
Annotated	690496	690900	HVO_RS08385	-	135
Annotated	690965	691660	HVO_RS08390	-	232
Annotated	691757	692545	HVO_RS08395	-	263
Annotated	692660	692932	HVO_RS08400	-	91
Annotated	693320	694084	HVO_RS08405	+	255
Annotated	694155	695057	HVO_RS08410	+	301
Annotated	697240	698802	HVO_RS08430	+	521
Annotated	702504	704588	HVO_RS08455	+	695
Annotated	704595	705614	HVO_RS08460	+	340
Annotated	705717	706055	HVO_RS08465	+	113
Annotated	706742	707464	HVO_RS08475	+	241
Annotated	707461	708729	HVO_RS08480	+	423
Annotated	709587	710387	HVO_RS08490	+	267
Annotated	710480	710893	HVO_RS08495	+	138
Annotated	711644	712822	HVO_RS08500	+	393
Annotated	714561	715568	HVO_RS08515	-	336
Annotated	716671	717192	HVO_RS08525	+	174
Annotated	719373	719642	HVO_RS08535	+	90
Annotated	719859	720482	HVO_RS08540	-	208
Annotated	720565	721839	HVO_RS08545	-	425
Annotated	721979	722581	HVO_RS08550	-	201
Annotated	722661	723857	HVO_RS08555	-	399
Annotated	724281	724529	HVO_RS08560	-	83
Annotated	724574	726331	HVO_RS08565	-	586
Annotated	726805	727110	HVO_RS08575	-	102
Annotated	727241	729463	HVO_RS08580	-	741
Annotated	729754	730320	HVO_RS08585	-	189
Annotated	730369	731442	HVO_RS08590	-	358
Annotated	734938	735717	HVO_RS08610	-	260
Annotated	739212	739907	HVO_RS08630	+	232
Annotated	741511	742557	HVO_RS08645	+	349
Annotated	742827	743468	HVO_RS08650	+	214
Annotated	743574	744632	HVO_RS08655	+	353
Annotated	744741	745364	HVO_RS08660	-	208
Annotated	745509	746555	HVO_RS08665	-	349
Annotated	746707	746964	HVO_RS08670	+	86
Annotated	746978	747700	HVO_RS08675	+	241
Annotated	749624	750043	HVO_RS08685	+	140
Annotated	750046	751158	HVO_RS08690	+	371
Annotated	751246	752172	HVO_RS08695	+	309
Annotated	754108	755415	HVO_RS08710	+	436
Annotated	756402	756845	HVO_RS08720	-	148
Annotated	756983	757264	HVO_RS08725	-	94
Annotated	757686	758450	HVO_RS08735	-	255
Annotated	758461	759255	HVO_RS08740	-	265
Annotated	759259	759648	HVO_RS08745	-	130
Annotated	759648	760286	HVO_RS08750	-	213
Annotated	762939	764156	HVO_RS08770	-	406
Annotated	764328	764597	HVO_RS08775	+	90
Annotated	765034	766359	HVO_RS08785	+	442
Annotated	770134	770319	HVO_RS08805	-	62
Annotated	770425	774432	HVO_RS08810	+	1336
Annotated	774651	775556	HVO_RS08815	+	302
Annotated	775569	776999	HVO_RS08820	+	477
Annotated	777003	778211	HVO_RS08825	+	403
Annotated	778355	778846	HVO_RS08830	+	164
Annotated	778851	779303	HVO_RS08835	+	151
Annotated	781408	782166	HVO_RS08850	+	253
Annotated	783131	783823	HVO_RS08860	+	231
Annotated	783867	784856	HVO_RS08865	-	330
Annotated	784965	789500	HVO_RS08870	-	1512
Annotated	789658	791124	HVO_RS08875	-	489
Annotated	792555	794477	HVO_RS08890	+	641
Annotated	795023	795406	HVO_RS08900	+	128
Annotated	795975	796781	HVO_RS08910	-	269
Annotated	797576	798499	HVO_RS08920	+	308
Annotated	798590	799591	HVO_RS08925	+	334
Annotated	800808	800999	HVO_RS08935	-	64
Annotated	801088	801870	HVO_RS08940	-	261
Annotated	802517	803380	HVO_RS08950	-	288
Annotated	803377	805137	HVO_RS08955	-	587
Annotated	805444	806088	HVO_RS08960	+	215
Annotated	807803	809728	HVO_RS08975	-	642
Annotated	809951	811651	HVO_RS08980	+	567
Annotated	824054	825817	HVO_RS09045	-	588
Annotated	825916	826275	HVO_RS09050	-	120
Annotated	826378	826743	HVO_RS09055	-	122
Annotated	830369	831148	HVO_RS09080	+	260
Annotated	831303	832214	HVO_RS09085	+	304
Annotated	832235	833044	HVO_RS09090	-	270
Annotated	833824	834033	HVO_RS09100	+	70
Annotated	843073	843501	HVO_RS09155	+	143
Annotated	850537	850977	HVO_RS09185	-	147
Annotated	851558	851878	HVO_RS09195	-	107
Annotated	851945	854425	HVO_RS09200	-	827
Annotated	854428	855222	HVO_RS09205	-	265
Annotated	855224	855442	HVO_RS09210	-	73
Annotated	855608	855835	HVO_RS09215	+	76
Annotated	855836	856375	HVO_RS09220	+	180
Annotated	856375	858144	HVO_RS09225	+	590
Annotated	858517	858738	HVO_RS09235	+	74
Annotated	858873	859304	HVO_RS09240	+	144
Annotated	859880	860539	HVO_RS09250	+	220
Annotated	864395	864859	HVO_RS09270	-	155
Annotated	866976	867422	HVO_RS09285	-	149
Annotated	868340	869185	HVO_RS09295	+	282
Annotated	869187	869798	HVO_RS09300	+	204
Annotated	869825	870199	HVO_RS09305	+	125
Annotated	870707	871132	HVO_RS09315	+	142
Annotated	871193	872671	HVO_RS09320	+	493
Annotated	872721	873692	HVO_RS09325	+	324
Annotated	879448	880692	HVO_RS09345	-	415
Annotated	882969	883490	HVO_RS09355	-	174
Annotated	888441	889052	HVO_RS09380	+	204
Annotated	889252	889668	HVO_RS09385	+	139
Annotated	889665	890366	HVO_RS09390	+	234
Annotated	890363	892036	HVO_RS09395	+	558
Annotated	893649	893909	HVO_RS09410	+	87
Annotated	893906	894274	HVO_RS09415	+	123
Annotated	894580	896616	HVO_RS09425	+	679
Annotated	901676	902458	HVO_RS09450	+	261
Annotated	902466	902693	HVO_RS09455	-	76
Annotated	904367	905404	HVO_RS09465	-	346
Annotated	905599	906702	HVO_RS09470	+	368
Annotated	907962	908150	HVO_RS09480	+	63
Annotated	908202	909338	HVO_RS09485	-	379
Annotated	909365	911458	HVO_RS09490	-	698
Annotated	911666	911926	HVO_RS09495	+	87
Annotated	913053	913850	HVO_RS09505	+	266
Annotated	913947	914231	HVO_RS09510	-	95
Annotated	916212	917606	HVO_RS09525	+	465
Annotated	918994	920016	HVO_RS09540	+	341
Annotated	920489	920722	HVO_RS09550	-	78
Annotated	921476	922882	HVO_RS09560	-	469
Annotated	923045	923803	HVO_RS09565	+	253
Annotated	923927	924355	HVO_RS09570	-	143
Annotated	924352	924837	HVO_RS09575	-	162
Annotated	925901	927802	HVO_RS09585	+	634
Annotated	929621	930880	HVO_RS09595	-	420
Annotated	931827	932915	HVO_RS09605	+	363
Annotated	933017	933832	HVO_RS09610	+	272
Annotated	934270	935421	HVO_RS09620	-	384
Annotated	936539	936811	HVO_RS09630	-	91
Annotated	939491	940519	HVO_RS09650	-	343
Annotated	941377	943500	HVO_RS09660	-	708
Annotated	943502	945196	HVO_RS09665	-	565
Annotated	945888	946256	HVO_RS09675	-	123
Annotated	946398	946871	HVO_RS09680	+	158
Annotated	947001	947627	HVO_RS09685	+	209
Annotated	951010	951300	HVO_RS09705	+	97
Annotated	952064	952876	HVO_RS09715	-	271
Annotated	956966	957649	HVO_RS09730	+	228
Annotated	959346	960344	HVO_RS09745	-	333
Annotated	960564	960842	HVO_RS09750	+	93
Annotated	960843	962114	HVO_RS09755	+	424
Annotated	962244	962924	HVO_RS09760	+	227
Annotated	964613	966217	HVO_RS09770	-	535
Annotated	972789	974486	HVO_RS09815	-	566
Annotated	978529	978930	HVO_RS09840	+	134
Annotated	979089	979655	HVO_RS09845	+	189
Annotated	979756	980430	HVO_RS09850	+	225
Annotated	980512	981357	HVO_RS09855	+	282
Annotated	981367	981666	HVO_RS09860	-	100
Annotated	981781	982749	HVO_RS09865	+	323
Annotated	982791	983513	HVO_RS09870	-	241
Annotated	983588	984540	HVO_RS09875	-	317
Annotated	984665	985642	HVO_RS09880	-	326
Annotated	985780	986346	HVO_RS09885	-	189
Annotated	986514	986858	HVO_RS09890	-	115
Annotated	986942	987574	HVO_RS09895	-	211
Annotated	987571	988644	HVO_RS09900	-	358
Annotated	990555	992132	HVO_RS09910	+	526
Annotated	993047	993472	HVO_RS09920	+	142
Annotated	993598	996114	HVO_RS09925	+	839
Annotated	996959	997312	HVO_RS09935	+	118
Annotated	997547	998305	HVO_RS09940	-	253
Annotated	998801	999427	HVO_RS09950	-	209
Annotated	1000245	1000799	HVO_RS09960	-	185
Annotated	1001944	1002810	HVO_RS09970	-	289
Annotated	1004075	1004917	HVO_RS09980	-	281
Annotated	1004914	1005675	HVO_RS09985	-	254
Annotated	1005672	1006589	HVO_RS09990	-	306
Annotated	1006980	1007477	HVO_RS09995	+	166
Annotated	1007487	1008407	HVO_RS10000	-	307
Annotated	1008781	1009260	HVO_RS10005	+	160
Annotated	1011070	1011480	HVO_RS10015	+	137
Annotated	1012676	1012900	HVO_RS10025	-	75
Annotated	1017090	1018259	HVO_RS10050	+	390
Annotated	1019803	1020444	HVO_RS10070	+	214
Annotated	1020707	1021228	HVO_RS10075	-	174
Annotated	1021329	1021658	HVO_RS10080	+	110
Annotated	1022943	1023128	HVO_RS10090	+	62
Annotated	1023195	1024244	HVO_RS10095	-	350
Annotated	1024386	1024670	HVO_RS10100	+	95
Annotated	1024689	1026173	HVO_RS10105	-	495
Annotated	1026290	1028068	HVO_RS10110	-	593
Annotated	1028819	1029697	HVO_RS10120	+	293
Annotated	1030927	1031508	HVO_RS10130	-	194
Annotated	1031564	1031749	HVO_RS10135	-	62
Annotated	1031858	1033189	HVO_RS10140	-	444
Annotated	1033423	1033728	HVO_RS10145	+	102
Annotated	1033994	1036267	HVO_RS10150	-	758
Annotated	1040246	1041094	HVO_RS10170	-	283
Annotated	1041315	1042391	HVO_RS10175	-	359
Annotated	1042509	1043651	HVO_RS10180	+	381
Annotated	1044118	1044393	HVO_RS10190	+	92
Annotated	1045260	1045706	HVO_RS10200	+	149
Annotated	1045827	1046489	HVO_RS10205	-	221
Annotated	1046482	1046724	HVO_RS10210	-	81
Annotated	1046721	1047842	HVO_RS10215	-	374
Annotated	1047847	1048314	HVO_RS10220	-	156
Annotated	1049190	1049582	HVO_RS10230	+	131
Annotated	1049584	1050838	HVO_RS10235	+	418
Annotated	1050964	1052475	HVO_RS10240	+	504
Annotated	1057957	1061259	HVO_RS10275	-	1101
Annotated	1061644	1061919	HVO_RS10285	-	92
Annotated	1062179	1062679	HVO_RS10290	+	167
Annotated	1062761	1063573	HVO_RS10295	+	271
Annotated	1063656	1064564	HVO_RS10300	-	303
Annotated	1064561	1064809	HVO_RS10305	-	83
Annotated	1067603	1068031	HVO_RS10325	-	143
Annotated	1068963	1069910	HVO_RS10335	-	316
Annotated	1070008	1070550	HVO_RS10340	+	181
Annotated	1070635	1071165	HVO_RS10345	+	177
Annotated	1071166	1071843	HVO_RS10350	+	226
Annotated	1071848	1072603	HVO_RS10355	+	252
Annotated	1075523	1076554	HVO_RS10375	+	344
Annotated	1077208	1077651	HVO_RS10385	-	148
Annotated	1079116	1079298	HVO_RS10395	+	61
Annotated	1079366	1079590	HVO_RS10400	+	75
Annotated	1079634	1080065	HVO_RS10405	+	144
Annotated	1080889	1082415	HVO_RS10415	-	509
Annotated	1082548	1083267	HVO_RS10420	+	240
Annotated	1083296	1084135	HVO_RS10425	-	280
Annotated	1089724	1090161	HVO_RS10460	-	146
Annotated	1090314	1091456	HVO_RS10465	+	381
Annotated	1091481	1091936	HVO_RS10470	-	152
Annotated	1095684	1096214	HVO_RS10485	-	177
Annotated	1099534	1099872	HVO_RS10510	+	113
Annotated	1100086	1100727	HVO_RS10515	+	214
Annotated	1100738	1101400	HVO_RS10520	+	221
Annotated	1101720	1102460	HVO_RS10525	-	247
Annotated	1116184	1116657	HVO_RS10590	+	158
Annotated	1117313	1118905	HVO_RS10600	+	531
Annotated	1121664	1122844	HVO_RS10610	-	393
Annotated	1124517	1126013	HVO_RS10630	-	499
Annotated	1129774	1130748	HVO_RS10650	+	325
Annotated	1131262	1132479	HVO_RS10660	-	406
Annotated	1132536	1133597	HVO_RS10665	-	354
Annotated	1133594	1134265	HVO_RS10670	-	224
Annotated	1135740	1136432	HVO_RS10680	-	231
