id	source	region	left	right	feature	strand	new_locus	old_locus	exon
NC_013967.1	RefSeq	gene	252148	254004	CDS	-	HVO_RS06065	HVO_0282	
NC_013967.1	RefSeq	gene	254076	256130	CDS	-	HVO_RS06070	HVO_0283	
NC_013967.1	RefSeq	gene	256281	256670	CDS	-	HVO_RS06075	HVO_0284	
NC_013967.1	RefSeq	gene	256758	257930	CDS	+	HVO_RS06080	HVO_0285	
NC_013967.1	RefSeq	gene	257951	258775	CDS	-	HVO_RS06085	HVO_0286	
NC_013967.1	RefSeq	gene	258948	259067	CDS	-		HVO_0287	
NC_013967.1	RefSeq	gene	259521	259982	CDS	+	HVO_RS06095	HVO_0289	
NC_013967.1	RefSeq	gene	260022	260435	CDS	-	HVO_RS06100	HVO_0290	
NC_013967.1	RefSeq	gene	260600	261190	CDS	-	HVO_RS06105	HVO_0291	
NC_013967.1	RefSeq	gene	261191	262126	CDS	-	HVO_RS06110	HVO_0292	
NC_013967.1	RefSeq	gene	262298	262579	CDS	+	HVO_RS06115	HVO_0293	
NC_013967.1	RefSeq	gene	262634	263638	CDS	+	HVO_RS06120	HVO_0294	
NC_013967.1	RefSeq	gene	263680	264327	CDS	+	HVO_RS06125	HVO_0295	
NC_013967.1	RefSeq	gene	264341	265126	CDS	-	HVO_RS06130	HVO_0296	
NC_013967.1	RefSeq	gene	265238	265732	CDS	-	HVO_RS06135	HVO_0297	
NC_013967.1	RefSeq	gene	265809	266291	CDS	-	HVO_RS06140	HVO_0298	
NC_013967.1	RefSeq	gene	266382	267068	CDS	+	HVO_RS06145	HVO_0299	
NC_013967.1	RefSeq	gene	267117	268112	CDS	-	HVO_RS06150	HVO_0300	
NC_013967.1	RefSeq	gene	268262	270109	CDS	+	HVO_RS06155	HVO_0301	
NC_013967.1	RefSeq	gene	270240	271373	CDS	+	HVO_RS06160	HVO_0302	
NC_013967.1	RefSeq	gene	271412	272254	CDS	-	HVO_RS06165	HVO_0303	
NC_013967.1	RefSeq	gene	272558	273511	CDS	-	HVO_RS06170	HVO_0304	
NC_013967.1	RefSeq	gene	273508	274305	CDS	-	HVO_RS06175	HVO_0305	
NC_013967.1	RefSeq	gene	274375	275553	CDS	-	HVO_RS06180	HVO_0306	
NC_013967.1	RefSeq	gene	275700	277091	CDS	+	HVO_RS06185	HVO_0307	
NC_013967.1	RefSeq	gene	277131	277613	CDS	+	HVO_RS06190	HVO_0308	
NC_013967.1	RefSeq	gene	277680	278303	CDS	-	HVO_RS06195	HVO_0309	
