id	source	region	left	right	feature	strand	new_locus	old_locus
NC_013967.1	RefSeq	gene	55092	55670		-	HVO_RS04970	HVO_0056
NC_013967.1	RefSeq	gene	55732	56178		-	HVO_RS04975	HVO_0057
NC_013967.1	RefSeq	gene	56181	57515		-	HVO_RS04980	HVO_0058
NC_013967.1	RefSeq	gene	57512	58591		-	HVO_RS04985	HVO_0059
NC_013967.1	RefSeq	gene	58588	60027		-	HVO_RS04990	HVO_0060
NC_013967.1	RefSeq	gene	60034	61083		-	HVO_RS04995	HVO_0061
NC_013967.1	RefSeq	gene	61296	63134		-	HVO_RS05000	HVO_0062
NC_013967.1	RefSeq	gene	63370	63537		+		HVO_0063
NC_013967.1	RefSeq	gene	63622	64041		+	HVO_RS05005	HVO_0064
NC_013967.1	RefSeq	gene	64044	67652		+	HVO_RS05010	HVO_0065
NC_013967.1	RefSeq	gene	67810	69072		-	HVO_RS05015	HVO_0066
NC_013967.1	RefSeq	gene	69249	69536		+	HVO_RS05020	HVO_0067
NC_013967.1	RefSeq	gene	69607	70503		+	HVO_RS05025	HVO_0068
NC_013967.1	RefSeq	gene	70535	72082		-	HVO_RS05030	HVO_0069
NC_013967.1	RefSeq	gene	72161	72538		-	HVO_RS05035	HVO_0070
NC_013967.1	RefSeq	gene	72583	72900		-	HVO_RS05040	HVO_0071
NC_013967.1	RefSeq	gene	73059	73280		-	HVO_RS05045	HVO_0072
NC_013967.1	RefSeq	gene	74663	76093		-	HVO_RS05055	HVO_0073
NC_013967.1	RefSeq	gene	73836	74666		+	HVO_RS05050	HVO_0074
NC_013967.1	RefSeq	gene	76230	77447		-	HVO_RS05060	HVO_0075
NC_013967.1	RefSeq	gene	77449	78192		-	HVO_RS05065	HVO_0076
NC_013967.1	RefSeq	gene	78189	79070		-	HVO_RS05070	HVO_0077
NC_013967.1	RefSeq	gene	79072	80163		-	HVO_RS05075	HVO_0078
NC_013967.1	RefSeq	gene	80270	80659		+	HVO_RS05080	HVO_0079
NC_013967.1	RefSeq	gene	80735	80968		+	HVO_RS05085	HVO_0080
NC_013967.1	RefSeq	gene	81002	82339		-	HVO_RS05090	HVO_0081
NC_013967.1	RefSeq	gene	82482	83189		-	HVO_RS05095	HVO_0082
NC_013967.1	RefSeq	gene	83382	83753		-	HVO_RS05100	HVO_0083
NC_013967.1	RefSeq	gene	83757	85127		-	HVO_RS05105	HVO_0084
NC_013967.1	RefSeq	gene	85507	85866		-	HVO_RS05110	HVO_0085
NC_013967.1	RefSeq	gene	85863	87281		-	HVO_RS05115	HVO_0086
NC_013967.1	RefSeq	gene	87625	88608		-	HVO_RS05120	HVO_0087
NC_013967.1	RefSeq	gene	89307	89471		-		HVO_0090
NC_013967.1	RefSeq	gene	89547	90341		-	HVO_RS05130	HVO_0091
NC_013967.1	RefSeq	gene	90474	90758		+	HVO_RS05135	HVO_0092
NC_013967.1	RefSeq	gene	90921	91928		-	HVO_RS05140	HVO_0093
NC_013967.1	RefSeq	gene	92064	92270		+		HVO_0094
NC_013967.1	RefSeq	gene	92298	92993		-	HVO_RS05145	HVO_0095
NC_013967.1	RefSeq	gene	93097	94029		-	HVO_RS05150	HVO_0096
NC_013967.1	RefSeq	gene	94154	95038		-	HVO_RS05155	HVO_0097
NC_013967.1	RefSeq	gene	95156	95359		+	HVO_RS05160	HVO_0098
NC_013967.1	RefSeq	gene	95441	97351		+	HVO_RS05165	HVO_0099
NC_013967.1	RefSeq	gene	97756	97950		+	HVO_RS05170	HVO_0099A
NC_013967.1	RefSeq	gene	98087	99214		-	HVO_RS05175	HVO_0100
NC_013967.1	RefSeq	gene	99292	99930		-	HVO_RS05180	HVO_0101
NC_013967.1	RefSeq	gene	100055	100936		+	HVO_RS05185	HVO_0102
NC_013967.1	RefSeq	gene	100943	101548		+	HVO_RS05190	HVO_0103
NC_013967.1	RefSeq	gene	101807	102838		+	HVO_RS05195	HVO_0104
NC_013967.1	RefSeq	gene	103089	104234		+	HVO_RS05200	HVO_0105
NC_013967.1	RefSeq	gene	104245	104658		+	HVO_RS05205	HVO_0106
NC_013967.1	RefSeq	gene	104705	105133		-	HVO_RS05210	HVO_0107
NC_013967.1	RefSeq	gene	105206	105793		-	HVO_RS05215	HVO_0108
NC_013967.1	RefSeq	gene	105867	107147		-	HVO_RS05220	HVO_0109
NC_013967.1	RefSeq	gene	107327	108373		+	HVO_RS05225	HVO_0110
NC_013967.1	RefSeq	gene	108419	108721		-	HVO_RS05230	HVO_0111
NC_013967.1	RefSeq	gene	108722	109462		-	HVO_RS05235	HVO_0112
NC_013967.1	RefSeq	gene	109554	110171		+	HVO_RS05240	HVO_0113
NC_013967.1	RefSeq	gene	110198	110752		+	HVO_RS05245	HVO_0114
NC_013967.1	RefSeq	gene	110903	111055		+	HVO_RS05250	HVO_0115
NC_013967.1	RefSeq	gene	111059	111337		+	HVO_RS05255	HVO_0116
NC_013967.1	RefSeq	gene	111341	112006		+	HVO_RS05260	HVO_0117
NC_013967.1	RefSeq	gene	112088	112264		+	HVO_RS05265	HVO_0118
NC_013967.1	RefSeq	gene	112264	112734		+	HVO_RS05270	HVO_0119
NC_013967.1	RefSeq	gene	112767	114137		+	HVO_RS05275	HVO_0120
NC_013967.1	RefSeq	gene	114180	114797		-	HVO_RS05280	HVO_0121
NC_013967.1	RefSeq	gene	114831	115805		-	HVO_RS05285	HVO_0122
NC_013967.1	RefSeq	gene	115896	117293		+	HVO_RS05290	HVO_0123
NC_013967.1	RefSeq	gene	117403	117984		+	HVO_RS05295	HVO_0124
NC_013967.1	RefSeq	gene	117985	118545		+	HVO_RS05300	HVO_0125
NC_013967.1	RefSeq	gene	118620	119639		+	HVO_RS05305	HVO_0126
NC_013967.1	RefSeq	gene	119674	120090		-	HVO_RS05310	HVO_0127
NC_013967.1	RefSeq	gene	120093	120662		-	HVO_RS05315	HVO_0128
NC_013967.1	RefSeq	gene	120802	121179		+	HVO_RS05320	HVO_0129
NC_013967.1	RefSeq	gene	121710	121985		+	HVO_RS05330	HVO_0131
NC_013967.1	RefSeq	gene	122368	122781		-	HVO_RS05340	HVO_0132
NC_013967.1	RefSeq	gene	123087	124739		-	HVO_RS05345	HVO_0133
NC_013967.1	RefSeq	gene	124992	125534		-	HVO_RS05350	HVO_0134
NC_013967.1	RefSeq	gene	125628	126500		-	HVO_RS05355	HVO_0135
NC_013967.1	RefSeq	gene	126602	126892		-	HVO_RS05360	HVO_0136
NC_013967.1	RefSeq	gene	126998	127177		+	HVO_RS05365	HVO_0136A
NC_013967.1	RefSeq	gene	127203	128030		-	HVO_RS05370	HVO_0137
NC_013967.1	RefSeq	gene	128123	129109		-	HVO_RS05375	HVO_0138
NC_013967.1	RefSeq	gene	129130	129504		+	HVO_RS05380	HVO_0139
NC_013967.1	RefSeq	gene	129520	131589		-	HVO_RS05385	HVO_0140
NC_013967.1	RefSeq	gene	131765	132754		+	HVO_RS05390	HVO_0141
NC_013967.1	RefSeq	gene	132763	133107		+	HVO_RS05395	HVO_0142
NC_013967.1	RefSeq	gene	133150	134028		-	HVO_RS05400	HVO_0143
NC_013967.1	RefSeq	gene	134083	135036		-	HVO_RS05405	HVO_0144
NC_013967.1	RefSeq	gene	135168	136193		+	HVO_RS05410	HVO_0145
NC_013967.1	RefSeq	gene	136193	136798		+	HVO_RS05415	HVO_0146
NC_013967.1	RefSeq	gene	137039	137458		+	HVO_RS05420	HVO_0147
NC_013967.1	RefSeq	gene	137455	139161		+	HVO_RS05425	HVO_0148
NC_013967.1	RefSeq	gene	139158	139553		+	HVO_RS05430	HVO_0149
NC_013967.1	RefSeq	gene	139550	140173		+	HVO_RS05435	HVO_0150
NC_013967.1	RefSeq	gene	140173	141072		+	HVO_RS05440	HVO_0151
NC_013967.1	RefSeq	gene	141072	141731		+	HVO_RS05445	HVO_0152
NC_013967.1	RefSeq	gene	141728	142417		+	HVO_RS05450	HVO_0153
NC_013967.1	RefSeq	gene	142507	142956		+	HVO_RS05455	HVO_0154
NC_013967.1	RefSeq	gene	142995	143201		-	HVO_RS05460	HVO_0155
NC_013967.1	RefSeq	gene	143303	144259		-	HVO_RS05465	HVO_0156
NC_013967.1	RefSeq	gene	144416	144727		+	HVO_RS05470	HVO_0157
NC_013967.1	RefSeq	gene	144786	145355		+	HVO_RS05475	HVO_0158
NC_013967.1	RefSeq	gene	145435	145812		+	HVO_RS05480	HVO_0159
NC_013967.1	RefSeq	gene	145831	146799		+	HVO_RS05485	HVO_0160
NC_013967.1	RefSeq	gene	146821	147666		-	HVO_RS05490	HVO_0161
NC_013967.1	RefSeq	gene	147744	148844		+	HVO_RS05495	HVO_0162
NC_013967.1	RefSeq	gene	148866	149378		-	HVO_RS05500	HVO_0163
NC_013967.1	RefSeq	gene	149375	149722		-	HVO_RS05505	HVO_0164
NC_013967.1	RefSeq	gene	149886	151178		+	HVO_RS05510	HVO_0165
NC_013967.1	RefSeq	gene	151249	151560		-	HVO_RS05515	HVO_0166
NC_013967.1	RefSeq	gene	151659	152945		+	HVO_RS05520	HVO_0167
NC_013967.1	RefSeq	gene	153018	153350		-	HVO_RS05525	HVO_0168
NC_013967.1	RefSeq	gene	153435	154259		+	HVO_RS05530	HVO_0169
NC_013967.1	RefSeq	gene	154332	154754		+	HVO_RS05535	HVO_0170
NC_013967.1	RefSeq	gene	154782	155429		-	HVO_RS05540	HVO_0171
NC_013967.1	RefSeq	gene	155649	155852		+	HVO_RS05545	HVO_0172
NC_013967.1	RefSeq	gene	155952	157052		-	HVO_RS05550	HVO_0173
NC_013967.1	RefSeq	gene	157202	157795		+	HVO_RS05555	HVO_0174
NC_013967.1	RefSeq	gene	157928	158671		-	HVO_RS05560	HVO_0175
NC_013967.1	RefSeq	gene	159403	161649		-	HVO_RS05570	HVO_0176
NC_013967.1	RefSeq	gene	158945	159406		+	HVO_RS05565	HVO_0177
NC_013967.1	RefSeq	gene	162031	162816		+	HVO_RS05575	HVO_0179
NC_013967.1	RefSeq	gene	162982	163761		+	HVO_RS05580	HVO_0180
NC_013967.1	RefSeq	gene	163911	164312		+	HVO_RS05585	HVO_0181
NC_013967.1	RefSeq	gene	164618	165337		-	HVO_RS05590	HVO_0183
NC_013967.1	RefSeq	gene	165330	165506		-	HVO_RS05595	HVO_0184
NC_013967.1	RefSeq	gene	165626	167782		-	HVO_RS05600	HVO_0185
NC_013967.1	RefSeq	gene	167913	169238		+	HVO_RS05605	HVO_0186
NC_013967.1	RefSeq	gene	169351	169671		+	HVO_RS05610	HVO_0187
NC_013967.1	RefSeq	gene	169702	170184		-	HVO_RS05615	HVO_0188
NC_013967.1	RefSeq	gene	170259	170897		+	HVO_RS05620	HVO_0189
NC_013967.1	RefSeq	gene	170943	171839		-	HVO_RS05625	HVO_0190
NC_013967.1	RefSeq	gene	172017	174011		+	HVO_RS05630	HVO_0191
NC_013967.1	RefSeq	gene	174329	174736		-	HVO_RS05640	HVO_0192
NC_013967.1	RefSeq	gene	174066	174335		+	HVO_RS05635	HVO_0193
NC_013967.1	RefSeq	gene	174892	176016		+	HVO_RS05645	HVO_0194
NC_013967.1	RefSeq	gene	176077	176769		+	HVO_RS05650	HVO_0195
NC_013967.1	RefSeq	gene	176934	177101		-	HVO_RS05655	HVO_0196
NC_013967.1	RefSeq	gene	177286	178047		+	HVO_RS05660	HVO_0197
NC_013967.1	RefSeq	gene	178195	178344		+		HVO_0197A
NC_013967.1	RefSeq	gene	178439	178678		+	HVO_RS05665	HVO_0198
NC_013967.1	RefSeq	gene	178741	180114		+	HVO_RS05670	HVO_0199
NC_013967.1	RefSeq	gene	180124	180504		-	HVO_RS05675	HVO_0200
NC_013967.1	RefSeq	gene	180588	180998		-	HVO_RS05680	HVO_0201
NC_013967.1	RefSeq	gene	181007	181207		-	HVO_RS05685	HVO_0202
NC_013967.1	RefSeq	gene	181313	182296		+	HVO_RS05690	HVO_0203
NC_013967.1	RefSeq	gene	182364	184730		-	HVO_RS05695	HVO_0204
NC_013967.1	RefSeq	gene	184851	185336		-	HVO_RS05700	HVO_0205
NC_013967.1	RefSeq	gene	185459	188227		+	HVO_RS05705	HVO_0206
NC_013967.1	RefSeq	gene	188332	189108		+	HVO_RS05710	HVO_0207
NC_013967.1	RefSeq	gene	189223	189936		+	HVO_RS05715	HVO_0208
NC_013967.1	RefSeq	gene	190112	191275		+	HVO_RS05720	HVO_0209
NC_013967.1	RefSeq	gene	191384	191674		+	HVO_RS05725	HVO_0210
NC_013967.1	RefSeq	gene	191877	192200		+	HVO_RS05730	HVO_0211
NC_013967.1	RefSeq	gene	192245	192619		+	HVO_RS05735	HVO_0212
NC_013967.1	RefSeq	gene	192742	193194		+	HVO_RS05740	HVO_0213
NC_013967.1	RefSeq	gene	193386	194348		+	HVO_RS05745	HVO_0214
NC_013967.1	RefSeq	gene	194367	196481		-	HVO_RS05750	HVO_0215
NC_013967.1	RefSeq	gene	196563	197267		-	HVO_RS05755	HVO_0216
NC_013967.1	RefSeq	gene	197261	197962		-	HVO_RS05760	HVO_0217
NC_013967.1	RefSeq	gene	197963	198541		-	HVO_RS05765	HVO_0218
NC_013967.1	RefSeq	gene	198709	199314		+	HVO_RS05770	HVO_0219
NC_013967.1	RefSeq	gene	199368	201476		+	HVO_RS05775	HVO_0220
NC_013967.1	RefSeq	gene	201577	201879		+	HVO_RS05780	HVO_0221
NC_013967.1	RefSeq	gene	202030	202368		+	HVO_RS05785	HVO_0222
NC_013967.1	RefSeq	gene	202365	203306		+	HVO_RS05790	HVO_0223
NC_013967.1	RefSeq	gene	203358	204212		+	HVO_RS05795	HVO_0224
NC_013967.1	RefSeq	gene	204209	204871		+	HVO_RS05800	HVO_0225
NC_013967.1	RefSeq	gene	204965	205831		-	HVO_RS05805	HVO_0226
NC_013967.1	RefSeq	gene	205994	206515		+	HVO_RS05810	HVO_0227
NC_013967.1	RefSeq	gene	206630	207373		-	HVO_RS05815	HVO_0228
NC_013967.1	RefSeq	gene	207442	208257		-	HVO_RS05820	HVO_0229
NC_013967.1	RefSeq	gene	208346	208762		-	HVO_RS05825	HVO_0230
NC_013967.1	RefSeq	gene	209051	209686		-	HVO_RS05830	HVO_0231
NC_013967.1	RefSeq	gene	209687	209917		-	HVO_RS05835	HVO_0232
NC_013967.1	RefSeq	gene	209972	210823		-	HVO_RS05840	HVO_0233
NC_013967.1	RefSeq	gene	210884	211711		-	HVO_RS05845	HVO_0234
NC_013967.1	RefSeq	gene	211808	212152		-	HVO_RS05850	HVO_0235
NC_013967.1	RefSeq	gene	212299	213429		+	HVO_RS05855	HVO_0236
NC_013967.1	RefSeq	gene	213507	214844		+	HVO_RS05860	HVO_0237
NC_013967.1	RefSeq	gene	214846	215811		+	HVO_RS05865	HVO_0238
NC_013967.1	RefSeq	gene	215944	217314		-	HVO_RS05870	HVO_0239
NC_013967.1	RefSeq	gene	217441	217899		+	HVO_RS05875	HVO_0240
NC_013967.1	RefSeq	gene	217905	218021		-		HVO_0241
NC_013967.1	RefSeq	gene	218337	219419		-	HVO_RS05880	HVO_0242
NC_013967.1	RefSeq	gene	219536	220561		+	HVO_RS05885	HVO_0243
NC_013967.1	RefSeq	gene	220622	221566		-	HVO_RS05890	HVO_0244
NC_013967.1	RefSeq	gene	221699	222217		+	HVO_RS05895	HVO_0245
NC_013967.1	RefSeq	gene	222424	223386		-	HVO_RS05900	HVO_0246
NC_013967.1	RefSeq	gene	223483	223650		+		HVO_0247
NC_013967.1	RefSeq	gene	223693	224892		+	HVO_RS05905	HVO_0248
NC_013967.1	RefSeq	gene	224889	225164		+	HVO_RS05910	HVO_0249
NC_013967.1	RefSeq	gene	225232	226647		-	HVO_RS05915	HVO_0250
NC_013967.1	RefSeq	gene	226809	227072		+	HVO_RS05920	HVO_0251
NC_013967.1	RefSeq	gene	227072	227578		+	HVO_RS05925	HVO_0252
NC_013967.1	RefSeq	gene	227672	228271		+	HVO_RS05930	HVO_0253
NC_013967.1	RefSeq	gene	228343	229032		-	HVO_RS05935	HVO_0254
NC_013967.1	RefSeq	gene	229170	230783		+	HVO_RS05940	HVO_0255
NC_013967.1	RefSeq	gene	230787	231071		+	HVO_RS05945	HVO_0256
NC_013967.1	RefSeq	gene	231140	231331		-	HVO_RS05950	HVO_0257
NC_013967.1	RefSeq	gene	231538	232569		-	HVO_RS05955	HVO_0258
NC_013967.1	RefSeq	gene	233436	233702		+	HVO_RS05965	HVO_0260
NC_013967.1	RefSeq	gene	233714	234040		+	HVO_RS05970	HVO_0261
NC_013967.1	RefSeq	gene	234157	234963		+	HVO_RS20100	HVO_0262
NC_013967.1	RefSeq	gene	235110	236276		-	HVO_RS05975	HVO_0263
NC_013967.1	RefSeq	gene	236612	236932		+	HVO_RS05980	HVO_0264
NC_013967.1	RefSeq	gene	236934	237194		-	HVO_RS05985	HVO_0264A
NC_013967.1	RefSeq	gene	237481	237741		+	HVO_RS05990	HVO_0265
NC_013967.1	RefSeq	gene	237743	237988		+	HVO_RS05995	HVO_0266
NC_013967.1	RefSeq	gene	237992	238198		-	HVO_RS20105	HVO_0267
NC_013967.1	RefSeq	gene	238338	238736		+	HVO_RS06000	HVO_0268
NC_013967.1	RefSeq	gene	238733	238948		+	HVO_RS06005	HVO_0269
NC_013967.1	RefSeq	gene	238945	239475		+	HVO_RS06010	HVO_0270
NC_013967.1	RefSeq	gene	239482	241095		+	HVO_RS06015	HVO_0271
NC_013967.1	RefSeq	gene	241129	241704		+	HVO_RS06020	HVO_0272
NC_013967.1	RefSeq	gene	241698	242492		+	HVO_RS06025	HVO_0273
NC_013967.1	RefSeq	gene	242489	243640		+	HVO_RS06030	HVO_0274
NC_013967.1	RefSeq	gene	243876	245228		+	HVO_RS06035	HVO_0275
NC_013967.1	RefSeq	gene	245331	246683		+	HVO_RS06040	HVO_0276
NC_013967.1	RefSeq	gene	248186	249184		+	HVO_RS06050	HVO_0278
NC_013967.1	RefSeq	gene	249749	251479		-	HVO_RS06055	HVO_0279
NC_013967.1	RefSeq	gene	251603	251728		-		HVO_0280
NC_013967.1	RefSeq	gene	251728	251964		-	HVO_RS20110	HVO_0280A
NC_013967.1	RefSeq	gene	252148	254004		-	HVO_RS06065	HVO_0282
NC_013967.1	RefSeq	gene	254076	256130		-	HVO_RS06070	HVO_0283
NC_013967.1	RefSeq	gene	256281	256670		-	HVO_RS06075	HVO_0284
NC_013967.1	RefSeq	gene	256758	257930		+	HVO_RS06080	HVO_0285
NC_013967.1	RefSeq	gene	257951	258775		-	HVO_RS06085	HVO_0286
NC_013967.1	RefSeq	gene	258948	259067		-		HVO_0287
NC_013967.1	RefSeq	gene	259521	259982		+	HVO_RS06095	HVO_0289
NC_013967.1	RefSeq	gene	260022	260435		-	HVO_RS06100	HVO_0290
NC_013967.1	RefSeq	gene	260600	261190		-	HVO_RS06105	HVO_0291
NC_013967.1	RefSeq	gene	261191	262126		-	HVO_RS06110	HVO_0292
NC_013967.1	RefSeq	gene	262298	262579		+	HVO_RS06115	HVO_0293
NC_013967.1	RefSeq	gene	262634	263638		+	HVO_RS06120	HVO_0294
NC_013967.1	RefSeq	gene	263680	264327		+	HVO_RS06125	HVO_0295
NC_013967.1	RefSeq	gene	264341	265126		-	HVO_RS06130	HVO_0296
NC_013967.1	RefSeq	gene	265238	265732		-	HVO_RS06135	HVO_0297
NC_013967.1	RefSeq	gene	265809	266291		-	HVO_RS06140	HVO_0298
NC_013967.1	RefSeq	gene	266382	267068		+	HVO_RS06145	HVO_0299
NC_013967.1	RefSeq	gene	267117	268112		-	HVO_RS06150	HVO_0300
NC_013967.1	RefSeq	gene	268262	270109		+	HVO_RS06155	HVO_0301
NC_013967.1	RefSeq	gene	270240	271373		+	HVO_RS06160	HVO_0302
NC_013967.1	RefSeq	gene	271412	272254		-	HVO_RS06165	HVO_0303
NC_013967.1	RefSeq	gene	272558	273511		-	HVO_RS06170	HVO_0304
NC_013967.1	RefSeq	gene	273508	274305		-	HVO_RS06175	HVO_0305
NC_013967.1	RefSeq	gene	274375	275553		-	HVO_RS06180	HVO_0306
NC_013967.1	RefSeq	gene	275700	277091		+	HVO_RS06185	HVO_0307
NC_013967.1	RefSeq	gene	277131	277613		+	HVO_RS06190	HVO_0308
NC_013967.1	RefSeq	gene	277680	278303		-	HVO_RS06195	HVO_0309
NC_013967.1	RefSeq	gene	278458	278790		+	HVO_RS06200	HVO_0310
NC_013967.1	RefSeq	gene	278777	280978		+	HVO_RS06205	HVO_0311
NC_013967.1	RefSeq	gene	281153	281410		+	HVO_RS06210	HVO_0312
NC_013967.1	RefSeq	gene	281432	282016		+	HVO_RS06215	HVO_0313
NC_013967.1	RefSeq	gene	282013	283059		+	HVO_RS06220	HVO_0314
NC_013967.1	RefSeq	gene	283056	283376		+	HVO_RS06225	HVO_0315
NC_013967.1	RefSeq	gene	283383	285143		+	HVO_RS06230	HVO_0316
NC_013967.1	RefSeq	gene	285148	286554		+	HVO_RS06235	HVO_0317
NC_013967.1	RefSeq	gene	286684	288660		+	HVO_RS06240	HVO_0318
NC_013967.1	RefSeq	gene	288859	289566		+	HVO_RS06245	HVO_0319
NC_013967.1	RefSeq	gene	289648	290031		+	HVO_RS06250	HVO_0320
NC_013967.1	RefSeq	gene	290089	291333		-	HVO_RS06255	HVO_0321
NC_013967.1	RefSeq	gene	291490	293214		+	HVO_RS06260	HVO_0322
NC_013967.1	RefSeq	gene	293254	293391		+		HVO_0323
NC_013967.1	RefSeq	gene	293437	295200		-	HVO_RS06265	HVO_0324
NC_013967.1	RefSeq	gene	296025	296738		+	HVO_RS06270	HVO_0326
NC_013967.1	RefSeq	gene	296735	297424		+	HVO_RS06275	HVO_0327
NC_013967.1	RefSeq	gene	297455	298345		-	HVO_RS06280	HVO_0328
NC_013967.1	RefSeq	gene	298435	299373		+	HVO_RS06285	HVO_0329
NC_013967.1	RefSeq	gene	299452	300096		-	HVO_RS06290	HVO_0330
NC_013967.1	RefSeq	gene	300176	301015		-	HVO_RS06295	HVO_0331
NC_013967.1	RefSeq	gene	301142	301684		+	HVO_RS06300	HVO_0332
NC_013967.1	RefSeq	gene	301751	302281		+	HVO_RS06305	HVO_0333
NC_013967.1	RefSeq	gene	302356	303069		+	HVO_RS06310	HVO_0334
NC_013967.1	RefSeq	gene	303256	304668		+	HVO_RS06315	HVO_0335
NC_013967.1	RefSeq	gene	304921	306147		+	HVO_RS06320	HVO_0336
NC_013967.1	RefSeq	gene	306250	306504		+	HVO_RS06325	HVO_0337
NC_013967.1	RefSeq	gene	306563	307537		-	HVO_RS06330	HVO_0338
NC_013967.1	RefSeq	gene	307680	308948		+	HVO_RS06335	HVO_0339
NC_013967.1	RefSeq	gene	308973	309416		-	HVO_RS06340	HVO_0340
NC_013967.1	RefSeq	gene	309492	310541		+	HVO_RS06345	HVO_0341
NC_013967.1	RefSeq	gene	310562	310897		+	HVO_RS06350	HVO_0342
NC_013967.1	RefSeq	gene	310894	311250		+	HVO_RS06355	HVO_0343
NC_013967.1	RefSeq	gene	312095	312322		+	HVO_RS06370	HVO_0346
NC_013967.1	RefSeq	gene	312319	313884		+	HVO_RS06375	HVO_0347
NC_013967.1	RefSeq	gene	313886	315715		+	HVO_RS06380	HVO_0348
NC_013967.1	RefSeq	gene	315728	318652		+	HVO_RS06385	HVO_0349
NC_013967.1	RefSeq	gene	318645	319904		+	HVO_RS06390	HVO_0350
